DEA,expression_type,MVI,Normalization,label
limma,dlfq,Impseq,No_norm,1.0
limma,dlfq,bpca,No_norm,1.0
DEqMS,dlfq,Impseq,No_norm,1.0
limma,dlfq,Impseq,lossf,1.0
limma,dlfq,Impseq,Rlr,1.0
limma,dlfq,SeqKNN,No_norm,1.0
limma,dlfq,missForest,No_norm,1.0
limma,dlfq,Impseqrob,No_norm,1.0
DEqMS,dlfq,SeqKNN,No_norm,1.0
limma,dlfq,bpca,Rlr,1.0
limma,dlfq,bpca,lossf,1.0
DEqMS,dlfq,missForest,No_norm,1.0
limma,dlfq,SeqKNN,lossf,1.0
limma,LFQ,SeqKNN,lossf,1.0
limma,dlfq,SeqKNN,Rlr,1.0
DEqMS,dlfq,bpca,No_norm,1.0
proDA,dlfq,Impseq,No_norm,1.0
limma,dlfq,missForest,lossf,1.0
DEqMS,dlfq,Impseq,lossf,1.0
limma,dlfq,missForest,Rlr,1.0
ROTS,dlfq,missForest,No_norm,1.0
ROTS,dlfq,SeqKNN,No_norm,1.0
limma,dlfq,nbavg,No_norm,1.0
limma,dlfq,Impseq,center.median,1.0
DEqMS,dlfq,Impseq,Rlr,1.0
DEqMS,dlfq,Impseqrob,No_norm,1.0
DEP,dlfq,Impseq,No_norm,1.0
ROTS,dlfq,SeqKNN,lossf,1.0
proDA,dlfq,Impseq,lossf,1.0
ROTS,dlfq,SeqKNN,Rlr,1.0
limma,dlfq,MinProb,No_norm,1.0
limma,LFQ,SeqKNN,Rlr,1.0
limma,dlfq,Impseq,center.mean,1.0
ROTS,dlfq,Impseq,No_norm,1.0
DEqMS,LFQ,SeqKNN,lossf,1.0
limma,dlfq,MinDet,No_norm,1.0
ROTS,dlfq,Impseqrob,No_norm,1.0
proDA,dlfq,Impseq,Rlr,1.0
limma,dlfq,knn,No_norm,1.0
ROTS,dlfq,missForest,Rlr,1.0
proDA,LFQ,SeqKNN,lossf,1.0
DEqMS,dlfq,SeqKNN,lossf,1.0
limma,dlfq,Impseqrob,lossf,1.0
proDA,dlfq,bpca,No_norm,1.0
ROTS,LFQ,knn,lossf,1.0
ROTS,LFQ,SeqKNN,lossf,1.0
limma,LFQ,SeqKNN,center.median,1.0
ROTS,LFQ,SeqKNN,Rlr,1.0
limma,dlfq,Impseqrob,Rlr,1.0
ROTS,dlfq,bpca,No_norm,1.0
DEP,dlfq,missForest,No_norm,1.0
