"ANOVA","DEP","limma","proDA","ROTS","SAM","ttest"
"|Maxquant|intensity|MLE|blank_geomean_B.A_HEqe277_TMT10",0.622260221324096,0.625478207073174,0.623555785375156,0.614886870284805,0.623438718722268,0,0.587832495976499
"|Maxquant|intensity|MLE|blank_geomean_C.A_HEqe277_TMT10",0.955700332971604,0.938218788698005,0.95832585690955,0.957574143492901,0.955945227359472,0,0.946263929270169
"|Maxquant|intensity|MLE|blank_geomean_C.B_HEqe277_TMT10",0.675087733758596,0.676836993061982,0.676879998239969,0.674256509373128,0.675535320869769,0.660400126809949,0.674551800452099
"|Maxquant|intensity|MLE|blank_geomean_B.A_HYqfl683_TMT11",0.941720631792875,0.942027019894783,0.942158947214231,0.941611542897211,0.942092985863835,0,0.929829526281458
"|Maxquant|intensity|MLE|blank_geomean_C.A_HYqfl683_TMT11",0.968453345888448,0.96856908048541,0.96856908048541,0.96778301889425,0.969305482741288,0.968142304046763,0.963140929977061
"|Maxquant|intensity|MLE|blank_geomean_C.B_HYqfl683_TMT11",0.67002857635298,0.67239787677755,0.669074014173574,0.666595953755282,0.669598518375874,0.662907800253648,0.654742826049829
"|Maxquant|intensity|MLE|blank_geomean_A.B_HYms2faims815_TMT16",0.938808707257396,0.879897473878368,0.938808707257396,0.938045234131902,0.938808707257396,0,0.930788083235994
"|Maxquant|intensity|MLE|blank_geomean_B.D_HYms2faims815_TMT16",0.959635824091711,0.842838338210031,0.959635824091711,0.959742992088481,0.959635824091711,0,0.956705588032344
"|Maxquant|intensity|MLE|blank_geomean_C.E_HYms2faims815_TMT16",0.949588094640605,0.836727969845096,0.949483185167309,0.94855084780315,0.949378264101165,0,0.904580258507019
"|Maxquant|intensity|MLE|blank_geomean_B.C_HYsps2815_TMT16",0.959637696686333,0.920266769814532,0.959483846954413,0.957737996658649,0.959483846954413,0,0.95639384969214
"|Maxquant|intensity|MLE|blank_geomean_B.E_HYsps2815_TMT16",0.949877936253841,0.920388719246388,0.949740665240898,0.949464436974365,0.949444102965053,0,0.929530868878968
"|Maxquant|intensity|MLE|blank_geomean_A.C_HYsps2815_TMT16",0.948353562091838,0.886716602447097,0.946721105356125,0.944620228180513,0.948507453137409,0,0.939305276102164
"|Maxquant|intensity|MLE|blank_geomean_A.D_HYms2815_TMT16",0.908240731692638,0.828120990159685,0.908240731692638,0.908240731692638,0.908240731692638,0,0.908388530930255
"|Maxquant|intensity|MLE|blank_geomean_A.E_HYms2815_TMT16",0.888208946281333,0.829184626794705,0.888208946281333,0.888451858619057,0.888208946281333,0,0.891327479980112
"|Maxquant|intensity|MLE|blank_geomean_D.E_HYms2815_TMT16",0.390539913538523,0.390539913538523,0.390539913538523,0,0.390539913538523,0,0.0568928485923793
"|Maxquant|intensity|MLE|sum_geomean_B.C_HYsps2815_TMT16",0,0,0,0,0,0,0
"|Maxquant|intensity|MLE|sum_geomean_B.E_HYsps2815_TMT16",0,0,0,0,0,0,0
"|Maxquant|intensity|MLE|sum_geomean_A.C_HYsps2815_TMT16",0,0,0,0,0.0500131265010871,0,0
"|Maxquant|intensity|MLE|max_geomean_B.A_HEqe277_TMT10",0,0,0,0,0,0,0
"|Maxquant|intensity|MLE|max_geomean_C.A_HEqe277_TMT10",0,0,0,0,0,0,0
"|Maxquant|intensity|MLE|max_geomean_C.B_HEqe277_TMT10",0,0,0,0,0.0208929762854763,0,0
"|Maxquant|intensity|MLE|center.mean_geomean_B.A_HEqe277_TMT10",0.141363907014146,0.136969928052391,0.136969928052391,0.136978548748378,0.139986723263285,0,0.120013460516308
"|Maxquant|intensity|MLE|center.mean_geomean_C.A_HEqe277_TMT10",0.91606249072755,0.931461725922466,0.931292104120266,0.93109062887857,0.928729660061311,0,0.928903238169557
"|Maxquant|intensity|MLE|center.mean_geomean_C.B_HEqe277_TMT10",0.807634545963368,0.820225415404946,0.819696066904888,0.818888793812837,0.817844107455487,0.819949531037052,0.818350762164273
"|Maxquant|intensity|MLE|center.mean_geomean_B.A_HYqfl683_TMT11",0.930760814242514,0.941786557840895,0.941786557840895,0.941852479274346,0.942531066792354,0,0.941567645937812
"|Maxquant|intensity|MLE|center.mean_geomean_C.A_HYqfl683_TMT11",0.952251174135374,0.96108639483906,0.96108639483906,0.96115363894583,0.961768782340163,0.96108639483906,0.960925302610502
"|Maxquant|intensity|MLE|center.mean_geomean_C.B_HYqfl683_TMT11",0.128608339824172,0.122068268815674,0.122068268815674,0.111432573976582,0.128635306451725,0.111432573976582,0.111432573976582
"|Maxquant|intensity|MLE|center.mean_geomean_A.B_HYms2faims815_TMT16",0.709634414211167,0.719459413678468,0.718323723288233,0.718402725072721,0.718244712814113,0,0.717343979185585
"|Maxquant|intensity|MLE|center.mean_geomean_B.D_HYms2faims815_TMT16",0.86921543523968,0.884053655777623,0.884467441737925,0.884777654213146,0.884467441737925,0,0.883741631137403
"|Maxquant|intensity|MLE|center.mean_geomean_C.E_HYms2faims815_TMT16",0.805744781589459,0.822730729835424,0.822730729835424,0.822161957469841,0.822696821239863,0,0.818493263473421
"|Maxquant|intensity|MLE|center.mean_geomean_B.C_HYsps2815_TMT16",0.796765559386415,0.808092391724964,0.80969628160941,0.809499626104134,0.809705819061268,0,0.80965240788382
"|Maxquant|intensity|MLE|center.mean_geomean_B.E_HYsps2815_TMT16",0.825689154541658,0.846520622491612,0.846520622491612,0.84580267204028,0.846973591358707,0,0.841012711921947
"|Maxquant|intensity|MLE|center.mean_geomean_A.C_HYsps2815_TMT16",0.520549416020319,0.515058110044066,0.515596592271681,0.515952441030855,0.516933123327916,0,0.517177816692092
"|Maxquant|intensity|MLE|center.mean_geomean_A.D_HYms2815_TMT16",0.675944175230101,0.679010448656749,0.679448755608465,0.679621975006451,0.679448755608465,0,0.678654542881598
"|Maxquant|intensity|MLE|center.mean_geomean_A.E_HYms2815_TMT16",0.587935274309217,0.585579338759506,0.586261037871314,0.586431338829988,0.586317458838204,0,0.586487479853475
"|Maxquant|intensity|MLE|center.mean_geomean_D.E_HYms2815_TMT16",0.203448815382499,0.205056598984934,0.205056598984934,0.193700645710434,0.208162540615663,0,0.158874107728168
"|Maxquant|intensity|MLE|center.median_geomean_B.A_HEqe277_TMT10",0.15171993473885,0.146214027445845,0.146214027445845,0.144723464871214,0.150471716313055,0,0.128784853098841
"|Maxquant|intensity|MLE|center.median_geomean_C.A_HEqe277_TMT10",0.915656122781469,0.932738338092064,0.93250902319294,0.932708219436197,0.929823361109679,0,0.929775338686376
"|Maxquant|intensity|MLE|center.median_geomean_C.B_HEqe277_TMT10",0.798359954228191,0.813532330030991,0.812731740370084,0.812495289671526,0.810813988758278,0.812978627316099,0.811413199813788
"|Maxquant|intensity|MLE|center.median_geomean_B.A_HYqfl683_TMT11",0.934875916773171,0.942663046218443,0.942663046218443,0.942729029002706,0.94340661836693,0,0.942445564679524
"|Maxquant|intensity|MLE|center.median_geomean_C.A_HYqfl683_TMT11",0.955281760664525,0.96108639483906,0.96108639483906,0.96115363894583,0.961768782340163,0.96108639483906,0.960925302610502
"|Maxquant|intensity|MLE|center.median_geomean_C.B_HYqfl683_TMT11",0.128608339824172,0.131765907694011,0.122068268815674,0.111432573976582,0.128617329328242,0.111432573976582,0.111432573976582
"|Maxquant|intensity|MLE|center.median_geomean_A.B_HYms2faims815_TMT16",0.68327799514118,0.691204919192655,0.689626823711005,0.690097508331499,0.689551036379197,0,0.688987796201871
"|Maxquant|intensity|MLE|center.median_geomean_B.D_HYms2faims815_TMT16",0.872650751575384,0.890071380566369,0.890588112906307,0.890898008448797,0.890588112906307,0,0.889963154900568
"|Maxquant|intensity|MLE|center.median_geomean_C.E_HYms2faims815_TMT16",0.794121779686284,0.813333103726667,0.813333103726667,0.812756502714263,0.813306384864199,0,0.810376558728729
"|Maxquant|intensity|MLE|center.median_geomean_B.C_HYsps2815_TMT16",0.807534102896395,0.819077707963902,0.820835764736427,0.820261671374725,0.820499043372914,0,0.820364755424857
"|Maxquant|intensity|MLE|center.median_geomean_B.E_HYsps2815_TMT16",0.827695692505456,0.846520622491612,0.846520622491612,0.846293134634146,0.846973591358707,0,0.841506119246247
"|Maxquant|intensity|MLE|center.median_geomean_A.C_HYsps2815_TMT16",0.499623515834401,0.488002825914857,0.489987161594858,0.490151044282626,0.490666497275612,0,0.491961138921814
"|Maxquant|intensity|MLE|center.median_geomean_A.D_HYms2815_TMT16",0.699185314224307,0.700674239694536,0.70124273815698,0.701668809733399,0.70124273815698,0,0.700426231683887
"|Maxquant|intensity|MLE|center.median_geomean_A.E_HYms2815_TMT16",0.602534362921315,0.599195723537017,0.599362607184184,0.599362607184184,0.599427207309816,0,0.599399227670997
"|Maxquant|intensity|MLE|center.median_geomean_D.E_HYms2815_TMT16",0.198623255550594,0.198646990181204,0.198646990181204,0.186902001245098,0.201853113762294,0,0.152641305347653
"|Maxquant|intensity|MLE|div.mean_geomean_B.A_HEqe277_TMT10",0,0,0,0,0,0,0
"|Maxquant|intensity|MLE|div.mean_geomean_C.A_HEqe277_TMT10",0,0,0,0,0,0,0
"|Maxquant|intensity|MLE|div.mean_geomean_C.B_HEqe277_TMT10",0,0,0,0,0.0208929762854763,0,0
"|Maxquant|intensity|MLE|div.mean_geomean_B.A_HYqfl683_TMT11",0,0,0,0,0.0287697576106653,0,0
"|Maxquant|intensity|MLE|div.mean_geomean_C.A_HYqfl683_TMT11",0,0,0,0,0.0406808977250122,0,0
"|Maxquant|intensity|MLE|div.mean_geomean_C.B_HYqfl683_TMT11",0,0,0,0,0.028767748198572,0,0
"|Maxquant|intensity|MLE|div.mean_geomean_A.B_HYms2faims815_TMT16",0,0,0,0,0,0,0
"|Maxquant|intensity|MLE|div.mean_geomean_B.D_HYms2faims815_TMT16",0,0,0,0,0,0,0
"|Maxquant|intensity|MLE|div.mean_geomean_C.E_HYms2faims815_TMT16",0,0,0,0,0,0,0
"|Maxquant|intensity|MLE|div.mean_geomean_B.C_HYsps2815_TMT16",0,0,0,0,0,0,0
"|Maxquant|intensity|MLE|div.mean_geomean_B.E_HYsps2815_TMT16",0,0,0,0,0,0,0
"|Maxquant|intensity|MLE|div.mean_geomean_A.C_HYsps2815_TMT16",0,0,0,0,0.0500131265010871,0,0
"|Maxquant|intensity|MLE|div.mean_geomean_A.D_HYms2815_TMT16",0,0,0,0,0,0,0
"|Maxquant|intensity|MLE|div.mean_geomean_A.E_HYms2815_TMT16",0,0,0,0,0,0,0
"|Maxquant|intensity|MLE|div.mean_geomean_D.E_HYms2815_TMT16",0,0,0,0,0,0,0
"|Maxquant|intensity|MLE|div.median_geomean_B.A_HEqe277_TMT10",0,0,0,0,0,0,0
"|Maxquant|intensity|MLE|div.median_geomean_C.A_HEqe277_TMT10",0,0,0,0,0,0,0
"|Maxquant|intensity|MLE|div.median_geomean_C.B_HEqe277_TMT10",0,0,0,0,0.0208929762854763,0,0
"|Maxquant|intensity|MLE|div.median_geomean_B.A_HYqfl683_TMT11",0,0,0,0,0.0287697576106653,0,0
"|Maxquant|intensity|MLE|div.median_geomean_C.A_HYqfl683_TMT11",0,0,0,0,0.0406808977250122,0,0
"|Maxquant|intensity|MLE|div.median_geomean_C.B_HYqfl683_TMT11",0,0,0,0,0.028767748198572,0,0
"|Maxquant|intensity|MLE|div.median_geomean_A.B_HYms2faims815_TMT16",0,0,0,0,0,0,0
"|Maxquant|intensity|MLE|div.median_geomean_B.D_HYms2faims815_TMT16",0,0,0,0,0,0,0
"|Maxquant|intensity|MLE|div.median_geomean_C.E_HYms2faims815_TMT16",0,0,0,0,0,0,0
"|Maxquant|intensity|MLE|div.median_geomean_B.C_HYsps2815_TMT16",0,0,0,0,0,0,0
"|Maxquant|intensity|MLE|div.median_geomean_B.E_HYsps2815_TMT16",0,0,0,0,0,0,0
"|Maxquant|intensity|MLE|div.median_geomean_A.C_HYsps2815_TMT16",0,0,0,0,0.0500131265010871,0,0
"|Maxquant|intensity|MLE|div.median_geomean_A.D_HYms2815_TMT16",0,0,0,0,0,0,0
"|Maxquant|intensity|MLE|div.median_geomean_A.E_HYms2815_TMT16",0,0,0,0,0,0,0
"|Maxquant|intensity|MLE|div.median_geomean_D.E_HYms2815_TMT16",0,0,0,0,0,0,0
"|Maxquant|intensity|MLE|quantiles_geomean_A.B_HYms2faims815_TMT16",0.730587658406906,0.733644212541467,0.730667956001082,0.729548729473229,0.730587658406906,0,0.729548729473229
