"mat1","mat2","abbr1","abbr2","mean","median","t_pval","significance","contrast"
"1","ANOVA","DEP","A","B","0.0453529706833226","0","3.3959854541536e-69","****","ANOVA-DEP"
"2","ANOVA","limma","A","C","0.00146865079113273","0","0.00206459756510521","**","ANOVA-limma"
"3","ANOVA","proDA","A","D","0.00756984328731132","0","6.81376892652397e-12","****","ANOVA-proDA"
"4","ANOVA","ROTS","A","E","0.00297142840912468","0","8.85648951555325e-05","****","ANOVA-ROTS"
"5","ANOVA","SAM","A","F","0.427899508791661","0.453656497370877","0","****","ANOVA-SAM"
"6","ANOVA","ttest","A","G","0.0119016766380991","0.00027846929241504","3.80156156192292e-28","****","ANOVA-ttest"
"7","DEP","limma","B","C","-0.0438843198921899","0","2.60504114772769e-66","****","DEP-limma"
"8","DEP","proDA","B","D","-0.0377831273960113","0","2.9638560944722e-45","****","DEP-proDA"
"9","DEP","ROTS","B","E","-0.0423815422741979","-0.000231483772799024","1.8653743666316e-61","****","DEP-ROTS"
"10","DEP","SAM","B","F","0.382546538108338","0.285563329269463","0","****","DEP-SAM"
"11","DEP","ttest","B","G","-0.0334512940452235","0","2.62656923430404e-36","****","DEP-ttest"
"12","limma","proDA","C","D","0.00610119249617859","0","1.17574404106778e-14","****","limma-proDA"
"13","limma","ROTS","C","E","0.00150277761799195","0","0.000248758041972839","***","limma-ROTS"
"14","limma","SAM","C","F","0.426430858000528","0.362189321145018","0","****","limma-SAM"
"15","limma","ttest","C","G","0.0104330258469663","0.000838273795843503","9.85206872842356e-43","****","limma-ttest"
"16","proDA","ROTS","D","E","-0.00459841487818664","0","4.85922125399508e-10","****","proDA-ROTS"
"17","proDA","SAM","D","F","0.42032966550435","0.341693193700765","0","****","proDA-SAM"
"18","proDA","ttest","D","G","0.00433183335078775","0.000722321911688972","1.69267879592967e-28","****","proDA-ttest"
"19","ROTS","SAM","E","F","0.424928080382536","0.367734455860019","0","****","ROTS-SAM"
"20","ROTS","ttest","E","G","0.00893024822897439","0.000737157582198056","6.90992610688531e-31","****","ROTS-ttest"
"21","SAM","ttest","F","G","-0.415997832153562","-0.333382118404557","0","****","SAM-ttest"
