"V1","V2","V3"
"1","QRILC","1","1"
"2","blank","0.933333333333333","2"
"3","MinProb","0.866666666666667","3"
"4","GMS","0.8","4"
"5","nbavg","0.733333333333333","5"
"6","min","0.666666666666667","6"
"7","mice","0.6","7"
"8","Impseq","0.533333333333333","8"
"9","Impseqrob","0.466666666666667","9"
"10","bpca","0.4","10"
"11","MLE","0.333333333333333","11"
"12","SeqKNN","0.266666666666667","12"
"13","missForest","0.2","13"
"14","MinDet","0.133333333333333","14"
"15","knn","0.0666666666666667","15"
"16","zero","0","16"
