"mat1","mat2","abbr1","abbr2","mean","median","t_pval","significance","contrast"
"1","blank","bpca","A","B","0.00552840172482352","0","0.005912124220472","**","blank-bpca"
"2","blank","GMS","A","C","0.00166259776980565","0","0.528363972843417","na","blank-GMS"
"3","blank","Impseq","A","D","0.00551560428182193","0","0.00603339414099838","**","blank-Impseq"
"4","blank","Impseqrob","A","E","0.00551622172835896","0","0.00602843414548516","**","blank-Impseqrob"
"5","blank","knn","A","F","0.00959187044050585","0","0.000253909755134252","***","blank-knn"
"6","blank","mice","A","G","0.00538703815720816","0","0.00414389935863642","**","blank-mice"
"7","blank","min","A","H","0.00520680361979975","0","0.010923969377507","*","blank-min"
"8","blank","MinDet","A","I","0.00575743944120343","0","0.00420744441235386","**","blank-MinDet"
"9","blank","MinProb","A","J","3.96951824729296e-05","0","0.77804572299799","na","blank-MinProb"
"10","blank","missForest","A","K","0.00571097193569391","0","0.00444767008107462","**","blank-missForest"
"11","blank","MLE","A","L","0.00565925196743778","0","0.00530049834909348","**","blank-MLE"
"12","blank","nbavg","A","M","0.00494681050730456","0","0.018689529848481","*","blank-nbavg"
"13","blank","QRILC","A","N","-0.000134347568035233","0","0.197235862214918","na","blank-QRILC"
"14","blank","SeqKNN","A","O","0.00567929065513389","0","0.00467122847229774","**","blank-SeqKNN"
"15","blank","zero","A","P","0.0218534495916254","0","2.36769689545247e-07","****","blank-zero"
"16","bpca","GMS","B","C","-0.00386580395501787","0","0.0239142398391064","*","bpca-GMS"
"17","bpca","Impseq","B","D","-1.27974430015892e-05","0","0.153904527442318","na","bpca-Impseq"
"18","bpca","Impseqrob","B","E","-1.21799964645592e-05","0","0.270721169009485","na","bpca-Impseqrob"
"19","bpca","knn","B","F","0.00406346871568233","0","0.016747163555899","*","bpca-knn"
"20","bpca","mice","B","G","-0.000141363567615355","0","0.95833466543684","na","bpca-mice"
"21","bpca","min","B","H","-0.000321598105023769","0","0.438187626319264","na","bpca-min"
"22","bpca","MinDet","B","I","0.000229037716379914","0","0.100788840497202","na","bpca-MinDet"
"23","bpca","MinProb","B","J","-0.00548870654235059","0","0.00632779073373115","**","bpca-MinProb"
"24","bpca","missForest","B","K","0.000182570210870395","0","0.00421100219189667","**","bpca-missForest"
"25","bpca","MLE","B","L","0.000130850242614264","0","0.696687595699737","na","bpca-MLE"
"26","bpca","nbavg","B","M","-0.000581591217518959","0","0.839137382864732","na","bpca-nbavg"
"27","bpca","QRILC","B","N","-0.00566274929285875","0","0.00496093435405306","**","bpca-QRILC"
"28","bpca","SeqKNN","B","O","0.000150888930310368","0","0.0324528790098259","*","bpca-SeqKNN"
"29","bpca","zero","B","P","0.0163250478668019","0","1.25769352738233e-05","****","bpca-zero"
"30","GMS","Impseq","C","D","0.00385300651201628","0","0.0244046742516179","*","GMS-Impseq"
"31","GMS","Impseqrob","C","E","0.00385362395855331","0","0.0243847712938085","*","GMS-Impseqrob"
"32","GMS","knn","C","F","0.0079292726707002","0","0.000970075610793435","***","GMS-knn"
"33","GMS","mice","C","G","0.00372444038740251","0","0.24408333807188","na","GMS-mice"
"34","GMS","min","C","H","0.0035442058499941","0","0.043613775832419","*","GMS-min"
"35","GMS","MinDet","C","I","0.00409484167139778","0","0.0170814467609657","*","GMS-MinDet"
"36","GMS","MinProb","C","J","-0.00162290258733272","0","0.53857726076506","na","GMS-MinProb"
"37","GMS","missForest","C","K","0.00404837416588826","0","0.0180492091781403","*","GMS-missForest"
"38","GMS","MLE","C","L","0.00399665419763213","0","0.0214053457524245","*","GMS-MLE"
"39","GMS","nbavg","C","M","0.00328421273749891","0","0.324551583001733","na","GMS-nbavg"
"40","GMS","QRILC","C","N","-0.00179694533784088","0","0.496586654002083","na","GMS-QRILC"
"41","GMS","SeqKNN","C","O","0.00401669288532823","0","0.0189284902661479","*","GMS-SeqKNN"
"42","GMS","zero","C","P","0.0201908518218197","0","8.58599329629123e-07","****","GMS-zero"
"43","Impseq","Impseqrob","D","E","6.17446537030059e-07","0","0.913249708045855","na","Impseq-Impseqrob"
"44","Impseq","knn","D","F","0.00407626615868392","0","0.0164913328402918","*","Impseq-knn"
"45","Impseq","mice","D","G","-0.000128566124613765","0","0.962106143588132","na","Impseq-mice"
"46","Impseq","min","D","H","-0.00030880066202218","0","0.461025907729709","na","Impseq-min"
"47","Impseq","MinDet","D","I","0.000241835159381503","0","0.0855529448492915","na","Impseq-MinDet"
"48","Impseq","MinProb","D","J","-0.005475909099349","0","0.00645432241900368","**","Impseq-MinProb"
"49","Impseq","missForest","D","K","0.000195367653871984","0","0.00358097438278456","**","Impseq-missForest"
"50","Impseq","MLE","D","L","0.000143647685615853","0","0.674954353937624","na","Impseq-MLE"
"51","Impseq","nbavg","D","M","-0.00056879377451737","0","0.842632927674508","na","Impseq-nbavg"
"52","Impseq","QRILC","D","N","-0.00564995184985716","0","0.00506137676323754","**","Impseq-QRILC"
