"mat1","mat2","abbr1","abbr2","mean","median","t_pval","significance","contrast"
"1","blank","center.mean","A","B","0.151019227405939","0.103527820972393","2.89353260876408e-110","****","blank-center.mean"
"2","blank","center.median","A","C","0.151494105375595","0.102551356235593","9.92182803899806e-111","****","blank-center.median"
"3","blank","div.mean","A","D","0.716249069235355","0.904580258507019","0","****","blank-div.mean"
"4","blank","div.median","A","E","0.716249073239905","0.904580258507019","0","****","blank-div.median"
"5","blank","lossf","A","F","0.062132381939768","0.00995983691813795","3.93249495049455e-33","****","blank-lossf"
"6","blank","max","A","G","0.715982546913726","0.89744019796602","0","****","blank-max"
"7","blank","MBQN","A","H","0.343729404600616","0.286436501280639","3.9872993054736e-237","****","blank-MBQN"
"8","blank","quantiles","A","I","0.148271760982421","0.105863125384422","2.18530770134467e-109","****","blank-quantiles"
"9","blank","quantiles.robust","A","J","0.154266187675536","0.115614665547466","4.604235391819e-107","****","blank-quantiles.robust"
"10","blank","Rlr","A","K","0.0622651585920998","0.0144315714496129","5.87012231317001e-33","****","blank-Rlr"
"11","blank","sum","A","L","0.716892064176126","0.905778378579831","0","****","blank-sum"
"12","blank","TIC","A","M","0.167212426495565","0.13996651581675","1.08007854595159e-118","****","blank-TIC"
"13","blank","vsn","A","N","0.714000226609348","0.891327479980112","0","****","blank-vsn"
"14","center.mean","center.median","B","C","0.00047487796965602","0","0.18055884737946","na","center.mean-center.median"
"15","center.mean","div.mean","B","D","0.565229841829416","0.709712443175525","1.13730708725438e-310","****","center.mean-div.mean"
"16","center.mean","div.median","B","E","0.565229845833966","0.709712443175525","1.1373080688139e-310","****","center.mean-div.median"
"17","center.mean","lossf","B","F","-0.0888868454661709","-0.065003910857549","8.85729557236237e-82","****","center.mean-lossf"
"18","center.mean","max","B","G","0.564963319507787","0.709712443175525","1.09085881485206e-310","****","center.mean-max"
"19","center.mean","MBQN","B","H","0.192710177194677","0.13015963230955","1.48388752046577e-99","****","center.mean-MBQN"
"20","center.mean","quantiles","B","I","-0.00274746642351757","1.79808934570036e-05","0.0706939637761086","na","center.mean-quantiles"
"21","center.mean","quantiles.robust","B","J","0.0032469602695969","0.00180467773819193","0.168995987637846","na","center.mean-quantiles.robust"
"22","center.mean","Rlr","B","K","-0.0887540688138391","-0.053697966332668","1.94810968886649e-103","****","center.mean-Rlr"
"23","center.mean","sum","B","L","0.565872836770187","0.709712443175525","5.95110585768214e-311","****","center.mean-sum"
"24","center.mean","TIC","B","M","0.0161931990896257","0","7.69586972037825e-23","****","center.mean-TIC"
"25","center.mean","vsn","B","N","0.562980999203409","0.709712443175525","1.56230920528456e-309","****","center.mean-vsn"
"26","center.median","div.mean","C","D","0.56475496385976","0.700426231683887","2.43920910101571e-310","****","center.median-div.mean"
"27","center.median","div.median","C","E","0.56475496786431","0.700426231683887","2.43921121998738e-310","****","center.median-div.median"
"28","center.median","lossf","C","F","-0.089361723435827","-0.071600928232247","3.17340244655814e-82","****","center.median-lossf"
"29","center.median","max","C","G","0.564488441538131","0.700426231683887","2.35584170742242e-310","****","center.median-max"
"30","center.median","MBQN","C","H","0.192235299225021","0.130584669010008","2.08228250679164e-100","****","center.median-MBQN"
"31","center.median","quantiles","C","I","-0.00322234439317359","0.003916013305883","0.0517087990283337","na","center.median-quantiles"
"32","center.median","quantiles.robust","C","J","0.00277208229994088","0.00753331225850296","0.256220056572938","na","center.median-quantiles.robust"
"33","center.median","Rlr","C","K","-0.0892289467834951","-0.055694418127416","3.60145091443041e-102","****","center.median-Rlr"
"34","center.median","sum","C","L","0.565397958800531","0.700426231683887","1.22990482821788e-310","****","center.median-sum"
"35","center.median","TIC","C","M","0.0157183211199697","0","1.66837646370158e-24","****","center.median-TIC"
"36","center.median","vsn","C","N","0.562506121233753","0.700426231683887","3.86721818238307e-309","****","center.median-vsn"
"37","div.mean","div.median","D","E","4.00455029469785e-09","0","0.317528058507226","na","div.mean-div.median"
