"pauc001feature","pauc001sr","pauc001rank","pauc005feature","pauc005sr","pauc005rank","pauc01feature","pauc01sr","pauc01rank","nMCCfeature","nMCCsr","nMCCrank","G-meanfeature","G-meansr","G-meanrank","avg_rank"
"1","MLE",1,1,"MLE",0.8,4,"MLE",0.8,4,"MLE",0.133333333333333,14,"MLE",0.333333333333333,11,6.8
"2","MinProb",0.933333333333333,2,"MinProb",1,1,"MinProb",1,1,"MinProb",0.933333333333333,2,"MinProb",0.866666666666667,3,1.8
"3","blank",0.866666666666667,3,"blank",0.533333333333333,8,"blank",0.466666666666667,9,"blank",0.866666666666667,3,"blank",0.933333333333333,2,5
"4","missForest",0.8,4,"missForest",0.666666666666667,6,"missForest",0.533333333333333,8,"missForest",0.266666666666667,12,"missForest",0.2,13,8.6
"5","SeqKNN",0.733333333333333,5,"SeqKNN",0.733333333333333,5,"SeqKNN",0.666666666666667,6,"SeqKNN",0.466666666666667,9,"SeqKNN",0.266666666666667,12,7.4
"6","GMS",0.666666666666667,6,"GMS",0.4,10,"GMS",0.2,13,"GMS",0.8,4,"GMS",0.8,4,7.4
"7","QRILC",0.6,7,"QRILC",0.866666666666667,3,"QRILC",0.866666666666667,3,"QRILC",1,1,"QRILC",1,1,3
"8","bpca",0.533333333333333,8,"bpca",0.266666666666667,12,"bpca",0.333333333333333,11,"bpca",0.533333333333333,8,"bpca",0.4,10,9.8
"9","Impseq",0.466666666666667,9,"Impseq",0.2,13,"Impseq",0.266666666666667,12,"Impseq",0.6,7,"Impseq",0.533333333333333,8,9.8
"10","Impseqrob",0.4,10,"Impseqrob",0.333333333333333,11,"Impseqrob",0.4,10,"Impseqrob",0.666666666666667,6,"Impseqrob",0.466666666666667,9,9.2
"11","mice",0.333333333333333,11,"mice",0.466666666666667,9,"mice",0.6,7,"mice",0.733333333333333,5,"mice",0.6,7,7.8
"12","MinDet",0.266666666666667,12,"MinDet",0.933333333333333,2,"MinDet",0.933333333333333,2,"MinDet",0.2,13,"MinDet",0.133333333333333,14,8.6
"13","min",0.2,13,"min",0.6,7,"min",0.733333333333333,5,"min",0.333333333333333,11,"min",0.666666666666667,6,8.4
"14","nbavg",0.133333333333333,14,"nbavg",0.133333333333333,14,"nbavg",0.133333333333333,14,"nbavg",0.4,10,"nbavg",0.733333333333333,5,11.4
"15","knn",0.0666666666666667,15,"knn",0.0666666666666667,15,"knn",0.0666666666666667,15,"knn",0.0666666666666667,15,"knn",0.0666666666666667,15,15
"16","zero",0,16,"zero",0,16,"zero",0,16,"zero",0,16,"zero",0,16,16
