"pauc001feature","pauc001sr","pauc001rank","pauc005feature","pauc005sr","pauc005rank","pauc01feature","pauc01sr","pauc01rank","nMCCfeature","nMCCsr","nMCCrank","G-meanfeature","G-meansr","G-meanrank","avg_rank"
"1","lossf",1,1,"lossf",0.769230769230769,4,"lossf",0.769230769230769,4,"lossf",0.923076923076923,2,"lossf",0.923076923076923,2,2.6
"2","blank",0.923076923076923,2,"blank",0.846153846153846,3,"blank",0.846153846153846,3,"blank",1,1,"blank",1,1,2
"3","max",0.846153846153846,3,"max",1,1,"max",1,1,"max",0.230769230769231,11,"max",0.230769230769231,11,5.4
"4","Rlr",0.769230769230769,4,"Rlr",0.692307692307692,5,"Rlr",0.692307692307692,5,"Rlr",0.846153846153846,3,"Rlr",0.846153846153846,3,4
"5","sum",0.692307692307692,5,"sum",0.923076923076923,2,"sum",0.923076923076923,2,"sum",0,14,"sum",0,14,7.4
"6","vsn",0.615384615384615,6,"vsn",0.615384615384615,6,"vsn",0.615384615384615,6,"vsn",0.307692307692308,10,"vsn",0.307692307692308,10,7.6
"7","center.median",0.538461538461538,7,"center.median",0.538461538461538,7,"center.median",0.538461538461538,7,"center.median",0.769230769230769,4,"center.median",0.615384615384615,6,6.2
"8","center.mean",0.461538461538462,8,"center.mean",0.461538461538462,8,"center.mean",0.461538461538462,8,"center.mean",0.692307692307692,5,"center.mean",0.692307692307692,5,6.8
"9","div.mean",0.384615384615385,9,"div.mean",0.307692307692308,10,"div.mean",0.153846153846154,12,"div.mean",0.153846153846154,12,"div.mean",0.153846153846154,12,11
"10","TIC",0.307692307692308,10,"TIC",0.384615384615385,9,"TIC",0.307692307692308,10,"TIC",0.461538461538462,8,"TIC",0.461538461538462,8,9
"11","div.median",0.230769230769231,11,"div.median",0.230769230769231,11,"div.median",0.230769230769231,11,"div.median",0.0769230769230769,13,"div.median",0.0769230769230769,13,11.8
"12","quantiles",0.153846153846154,12,"quantiles",0.153846153846154,12,"quantiles",0.384615384615385,9,"quantiles",0.615384615384615,6,"quantiles",0.769230769230769,4,8.6
"13","quantiles.robust",0.0769230769230769,13,"quantiles.robust",0.0769230769230769,13,"quantiles.robust",0.0769230769230769,13,"quantiles.robust",0.538461538461538,7,"quantiles.robust",0.538461538461538,7,10.6
"14","MBQN",0,14,"MBQN",0,14,"MBQN",0,14,"MBQN",0.384615384615385,9,"MBQN",0.384615384615385,9,12
