"ANOVA","DEP","limma","proDA","ROTS","SAM","ttest"
"|Maxquant|intensity|MLE|blank_nMcc_B.A_HEqe277_TMT10",0.766630855761858,0.779013420193918,0.780674692906944,0.778746365976496,0.771234149837286,0.5,0.767963716978315
"|Maxquant|intensity|MLE|blank_nMcc_C.A_HEqe277_TMT10",0.956894650242822,0.956238696948592,0.963844172646896,0.96548311345001,0.95743367438126,0.5,0.960405510967259
"|Maxquant|intensity|MLE|blank_nMcc_C.B_HEqe277_TMT10",0.790466129811809,0.799539065807363,0.799737107600262,0.802047961538015,0.79120756984997,0.802651254399224,0.806251612863314
"|Maxquant|intensity|MLE|blank_nMcc_B.A_HYqfl683_TMT11",0.962498046822535,0.962245098479843,0.962749881335122,0.963515092646684,0.962497327977173,0.5,0.958791288991636
"|Maxquant|intensity|MLE|blank_nMcc_C.A_HYqfl683_TMT11",0.977743941959375,0.97946526759824,0.97946526759824,0.979218667457924,0.978239903638839,0.97921810591409,0.976746128394035
"|Maxquant|intensity|MLE|blank_nMcc_C.B_HYqfl683_TMT11",0.8173327599685,0.817878953976077,0.818911322202615,0.817640237199953,0.818486524036645,0.816102841117655,0.811931076000976
"|Maxquant|intensity|MLE|blank_nMcc_A.B_HYms2faims815_TMT16",0.953326022811298,0.916779130437173,0.953326022811298,0.952947299971754,0.953326022811298,0.5,0.948115092775581
"|Maxquant|intensity|MLE|blank_nMcc_B.D_HYms2faims815_TMT16",0.961217875398215,0.894294597669912,0.961217875398215,0.961404834646382,0.961217875398215,0.5,0.959603412816697
"|Maxquant|intensity|MLE|blank_nMcc_C.E_HYms2faims815_TMT16",0.960075568355307,0.891318738832327,0.959878154041204,0.959498783478322,0.959680886530234,0.5,0.930669644933538
"|Maxquant|intensity|MLE|blank_nMcc_B.C_HYsps2815_TMT16",0.951798156416034,0.94230349242577,0.95153968423472,0.951019714780976,0.95153968423472,0.5,0.952516577184549
"|Maxquant|intensity|MLE|blank_nMcc_B.E_HYsps2815_TMT16",0.958767450451957,0.943246805703623,0.959056713373314,0.959641132946299,0.958475758194973,0.5,0.947470634882957
"|Maxquant|intensity|MLE|blank_nMcc_A.C_HYsps2815_TMT16",0.938154695039123,0.922413669572219,0.937370616402052,0.937401554193331,0.938405423418449,0.5,0.93947056048955
"|Maxquant|intensity|MLE|blank_nMcc_A.D_HYms2815_TMT16",0.893143240244567,0.885094906703236,0.893143240244567,0.893143240244567,0.893143240244567,0.5,0.893606417796329
"|Maxquant|intensity|MLE|blank_nMcc_A.E_HYms2815_TMT16",0.864547711717799,0.885521008388582,0.864547711717799,0.864864992064942,0.864547711717799,0.5,0.868997165363782
"|Maxquant|intensity|MLE|blank_nMcc_D.E_HYms2815_TMT16",0.665268223258672,0.665268223258672,0.665268223258672,0.5,0.665268223258672,0.5,0.51753706123061
"|Maxquant|intensity|MLE|sum_nMcc_B.C_HYsps2815_TMT16",0.5,0.5,0.5,0.5,0.493542307304386,0.5,0.5
"|Maxquant|intensity|MLE|sum_nMcc_B.E_HYsps2815_TMT16",0.49543423618536,0.5,0.5,0.5,0.493542307304386,0.5,0.5
"|Maxquant|intensity|MLE|sum_nMcc_A.C_HYsps2815_TMT16",0.49543423618536,0.5,0.5,0.5,0.516229370140284,0.5,0.5
"|Maxquant|intensity|MLE|max_nMcc_B.A_HEqe277_TMT10",0.5,0.5,0.5,0.5,0.497348284724319,0.5,0.5
"|Maxquant|intensity|MLE|max_nMcc_C.A_HEqe277_TMT10",0.5,0.5,0.5,0.5,0.49406942595822,0.5,0.5
"|Maxquant|intensity|MLE|max_nMcc_C.B_HEqe277_TMT10",0.5,0.497348284724319,0.497348284724319,0.5,0.50062596598327,0.5,0.5
"|Maxquant|intensity|MLE|center.mean_nMcc_B.A_HEqe277_TMT10",0.533892382815883,0.553491285495041,0.553491285495041,0.554411414719682,0.543629795067213,0.5,0.548290138291573
"|Maxquant|intensity|MLE|center.mean_nMcc_C.A_HEqe277_TMT10",0.926818483742619,0.938959392378545,0.938946756906409,0.939995552595262,0.931771660790506,0.5,0.941925720513596
"|Maxquant|intensity|MLE|center.mean_nMcc_C.B_HEqe277_TMT10",0.871847949521165,0.885108656209267,0.884803657000665,0.885756051016074,0.875432305981119,0.886364112819926,0.886163653099789
"|Maxquant|intensity|MLE|center.mean_nMcc_B.A_HYqfl683_TMT11",0.95643606608839,0.962751053555536,0.962751053555536,0.963004386072788,0.962749223026175,0.5,0.964798178131164
"|Maxquant|intensity|MLE|center.mean_nMcc_C.A_HYqfl683_TMT11",0.968773640752179,0.974508339889624,0.974508339889624,0.974757053663397,0.973032326391674,0.974508339889624,0.975256999921257
"|Maxquant|intensity|MLE|center.mean_nMcc_C.B_HYqfl683_TMT11",0.548272358591622,0.556517906049739,0.556517906049739,0.551584287604358,0.552568177556418,0.551584287604358,0.551584287604358
"|Maxquant|intensity|MLE|center.mean_nMcc_A.B_HYms2faims815_TMT16",0.8187928860966,0.823929846033898,0.823307014668136,0.823581663271734,0.823032717304651,0.5,0.823234213903591
"|Maxquant|intensity|MLE|center.mean_nMcc_B.D_HYms2faims815_TMT16",0.876168434070448,0.885631555006625,0.886324331236172,0.886845112521657,0.886324331236172,0.5,0.886492849889728
"|Maxquant|intensity|MLE|center.mean_nMcc_C.E_HYms2faims815_TMT16",0.869753279081115,0.879877219548648,0.879877219548648,0.879715559212555,0.879142291098492,0.5,0.878796291532168
"|Maxquant|intensity|MLE|center.mean_nMcc_B.C_HYsps2815_TMT16",0.769309167066385,0.781586917453915,0.782889125027942,0.78252592176227,0.783036801869317,0.5,0.782458297059174
"|Maxquant|intensity|MLE|center.mean_nMcc_B.E_HYsps2815_TMT16",0.885425557016055,0.897840705620548,0.897840705620548,0.897936268421976,0.897069774759649,0.5,0.895337924845546
"|Maxquant|intensity|MLE|center.mean_nMcc_A.C_HYsps2815_TMT16",0.584961442965865,0.600547212004283,0.600803365400517,0.599928198468601,0.604606890687707,0.5,0.598452106427173
"|Maxquant|intensity|MLE|center.mean_nMcc_A.D_HYms2815_TMT16",0.665631931633509,0.672078156290027,0.672379377309769,0.672386199761543,0.672379377309769,0.5,0.671495663991745
"|Maxquant|intensity|MLE|center.mean_nMcc_A.E_HYms2815_TMT16",0.609089076191088,0.615170280711361,0.615560329743382,0.615657826295756,0.6157792094711,0.5,0.615318228895164
"|Maxquant|intensity|MLE|center.mean_nMcc_D.E_HYms2815_TMT16",0.580826550237427,0.582616687740754,0.582616687740754,0.577385781655879,0.5830131284505,0.5,0.563837016439558
"|Maxquant|intensity|MLE|center.median_nMcc_B.A_HEqe277_TMT10",0.538343536953891,0.557961242414635,0.557961242414635,0.558124681336866,0.548415069967137,0.5,0.552453316803906
"|Maxquant|intensity|MLE|center.median_nMcc_C.A_HEqe277_TMT10",0.926653968921955,0.940374015601537,0.94022523671812,0.941437268819029,0.932770201051782,0.5,0.94279184038926
