"mat1","mat2","abbr1","abbr2","mean","median","t_pval","significance","contrast"
"1","ANOVA","DEP","A","B","0.0133251563931208","0","3.51663566862857e-30","****","ANOVA-DEP"
"2","ANOVA","limma","A","C","-0.00406252185612513","-0.000254556045012511","1.03283744738311e-84","****","ANOVA-limma"
"3","ANOVA","proDA","A","D","-0.00306717676233385","-0.00039003953774247","6.38801273641637e-15","****","ANOVA-proDA"
"4","ANOVA","ROTS","A","E","-0.00246672712903168","0","3.47031802357851e-67","****","ANOVA-ROTS"
"5","ANOVA","SAM","A","F","0.171812191982222","0.108592156732379","0","****","ANOVA-SAM"
"6","ANOVA","ttest","A","G","-0.00200631540617021","0","1.91273136269299e-05","****","ANOVA-ttest"
"7","DEP","limma","B","C","-0.0173876782492459","0","1.44307044889959e-51","****","DEP-limma"
"8","DEP","proDA","B","D","-0.0163923331554546","-0.00023369893606201","3.90726622954794e-43","****","DEP-proDA"
"9","DEP","ROTS","B","E","-0.0157918835221524","0","3.42246121126036e-42","****","DEP-ROTS"
"10","DEP","SAM","B","F","0.158487035589101","0.094644409262977","0","****","DEP-SAM"
"11","DEP","ttest","B","G","-0.015331471799291","0","4.33463981998914e-38","****","DEP-ttest"
"12","limma","proDA","C","D","0.000995345093791288","0","0.000539886162510746","***","limma-proDA"
"13","limma","ROTS","C","E","0.00159579472709346","0","2.7939896297162e-24","****","limma-ROTS"
"14","limma","SAM","C","F","0.175874713838347","0.108772783451499","0","****","limma-SAM"
"15","limma","ttest","C","G","0.00205620644995492","0","4.14659087295238e-09","****","limma-ttest"
"16","proDA","ROTS","D","E","0.000600449633302167","6.82245177396901e-06","0.0876995152325931","na","proDA-ROTS"
"17","proDA","SAM","D","F","0.174879368744555","0.106317945271863","0","****","proDA-SAM"
"18","proDA","ttest","D","G","0.00106086135616363","0","4.56581883158792e-09","****","proDA-ttest"
"19","ROTS","SAM","E","F","0.174278919111253","0.109549414876457","0","****","ROTS-SAM"
"20","ROTS","ttest","E","G","0.000460411722861467","0","0.295672608981253","na","ROTS-ttest"
"21","SAM","ttest","F","G","-0.173818507388392","-0.0955639702516899","0","****","SAM-ttest"
