"mat1","mat2","abbr1","abbr2","mean","median","t_pval","significance","contrast"
"1","blank","bpca","A","B","0.00247120105737179","0","0.0117496139505927","*","blank-bpca"
"2","blank","GMS","A","C","0.000580472640168707","0","0.647918320825014","na","blank-GMS"
"3","blank","Impseq","A","D","0.0024595126267365","0","0.0121565298303945","*","blank-Impseq"
"4","blank","Impseqrob","A","E","0.00245770521214229","0","0.0122210445769487","*","blank-Impseqrob"
"5","blank","knn","A","F","0.00465856679824747","0","0.000265658120101119","***","blank-knn"
"6","blank","mice","A","G","0.002444280305797","0","0.00595711954567323","**","blank-mice"
"7","blank","min","A","H","0.00260441128214312","0","0.00847847004040134","**","blank-min"
"8","blank","MinDet","A","I","0.00265141248989506","0","0.00688728203126928","**","blank-MinDet"
"9","blank","MinProb","A","J","-8.02163576779392e-05","0","0.172079813637786","na","blank-MinProb"
"10","blank","missForest","A","K","0.00261553215151884","0","0.00761666415349495","**","blank-missForest"
"11","blank","MLE","A","L","0.00294000185981102","0","0.00278357034681978","**","blank-MLE"
"12","blank","nbavg","A","M","0.00254451721127498","0","0.0130116210904992","*","blank-nbavg"
"13","blank","QRILC","A","N","-0.00016427781453714","0","0.0010059882314899","**","blank-QRILC"
"14","blank","SeqKNN","A","O","0.00251272568551828","0","0.0103867281398935","*","blank-SeqKNN"
"15","blank","zero","A","P","0.0103045891482683","0","5.41715817314885e-08","****","blank-zero"
"16","bpca","GMS","B","C","-0.00189072841720308","0","0.0193698845911123","*","bpca-GMS"
"17","bpca","Impseq","B","D","-1.16884306352884e-05","0","0.0721949701032285","na","bpca-Impseq"
"18","bpca","Impseqrob","B","E","-1.34958452295045e-05","0","0.00232156298169479","**","bpca-Impseqrob"
"19","bpca","knn","B","F","0.00218736574087568","0","0.00783308398068114","**","bpca-knn"
"20","bpca","mice","B","G","-2.69207515747885e-05","0","0.983579982338182","na","bpca-mice"
"21","bpca","min","B","H","0.000133210224771326","0","0.339519539452443","na","bpca-min"
"22","bpca","MinDet","B","I","0.000180211432523267","0","0.000613428674074946","***","bpca-MinDet"
"23","bpca","MinProb","B","J","-0.00255141741504973","0","0.00935999689777401","**","bpca-MinProb"
"24","bpca","missForest","B","K","0.000144331094147049","0","0.000132928466991927","***","bpca-missForest"
"25","bpca","MLE","B","L","0.000468800802439227","0","3.84218270416049e-07","****","bpca-MLE"
"26","bpca","nbavg","B","M","7.3316153903192e-05","0","0.958339915961841","na","bpca-nbavg"
"27","bpca","QRILC","B","N","-0.00263547887190893","0","0.00730296383985284","**","bpca-QRILC"
"28","bpca","SeqKNN","B","O","4.15246281464892e-05","0","0.136174640573112","na","bpca-SeqKNN"
"29","bpca","zero","B","P","0.00783338809089653","0","1.56545604628082e-06","****","bpca-zero"
"30","GMS","Impseq","C","D","0.0018790399865678","0","0.0201272356029005","*","GMS-Impseq"
"31","GMS","Impseqrob","C","E","0.00187723257197358","0","0.0202471091541901","*","GMS-Impseqrob"
"32","GMS","knn","C","F","0.00407809415807877","0","0.000401304273551305","***","GMS-knn"
"33","GMS","mice","C","G","0.0018638076656283","0","0.225158370261799","na","GMS-mice"
"34","GMS","min","C","H","0.00202393864197441","0","0.0136914674140604","*","GMS-min"
"35","GMS","MinDet","C","I","0.00207093984972635","0","0.0105907989600906","*","GMS-MinDet"
"36","GMS","MinProb","C","J","-0.000660688997846646","0","0.603517795369738","na","GMS-MinProb"
"37","GMS","missForest","C","K","0.00203505951135013","0","0.0119218160069281","*","GMS-missForest"
"38","GMS","MLE","C","L","0.00235952921964231","0","0.00374392013905285","**","GMS-MLE"
"39","GMS","nbavg","C","M","0.00196404457110628","0","0.22500068491996","na","GMS-nbavg"
"40","GMS","QRILC","C","N","-0.000744750454705847","0","0.558391149503474","na","GMS-QRILC"
"41","GMS","SeqKNN","C","O","0.00193225304534957","0","0.0168974671040747","*","GMS-SeqKNN"
"42","GMS","zero","C","P","0.00972411650809962","0","8.78933096926708e-08","****","GMS-zero"
"43","Impseq","Impseqrob","D","E","-1.80741459421608e-06","0","0.742567917386612","na","Impseq-Impseqrob"
"44","Impseq","knn","D","F","0.00219905417151097","0","0.00753692352022144","**","Impseq-knn"
"45","Impseq","mice","D","G","-1.52323209395001e-05","0","0.9907087952116","na","Impseq-mice"
"46","Impseq","min","D","H","0.000144898655406615","0","0.303230252488246","na","Impseq-min"
"47","Impseq","MinDet","D","I","0.000191899863158555","0","0.000276823844609098","***","Impseq-MinDet"
"48","Impseq","MinProb","D","J","-0.00253972898441444","0","0.00969085270741485","**","Impseq-MinProb"
"49","Impseq","missForest","D","K","0.000156019524782338","0","4.54732556428682e-05","****","Impseq-missForest"
"50","Impseq","MLE","D","L","0.000480489233074515","0","4.71095691972934e-07","****","Impseq-MLE"
"51","Impseq","nbavg","D","M","8.50045845384804e-05","0","0.951706226994224","na","Impseq-nbavg"
"52","Impseq","QRILC","D","N","-0.00262379044127364","0","0.00756835491757962","**","Impseq-QRILC"
"53","Impseq","SeqKNN","D","O","5.32130587817776e-05","0","0.0476398619069983","*","Impseq-SeqKNN"
"54","Impseq","zero","D","P","0.00784507652153182","0","1.51395590979207e-06","****","Impseq-zero"
"55","Impseqrob","knn","E","F","0.00220086158610519","0","0.00746882326691431","**","Impseqrob-knn"
"56","Impseqrob","mice","E","G","-1.3424906345284e-05","0","0.99181135426156","na","Impseqrob-mice"
"57","Impseqrob","min","E","H","0.000146706070000831","0","0.29666665182554","na","Impseqrob-min"
"58","Impseqrob","MinDet","E","I","0.000193707277752771","0","0.000269838050035893","***","Impseqrob-MinDet"
"59","Impseqrob","MinProb","E","J","-0.00253792156982023","0","0.00974500444268333","**","Impseqrob-MinProb"
"60","Impseqrob","missForest","E","K","0.000157826939376554","0","4.67094298854017e-05","****","Impseqrob-missForest"
"61","Impseqrob","MLE","E","L","0.000482296647668732","0","2.45973640019264e-07","****","Impseqrob-MLE"
"62","Impseqrob","nbavg","E","M","8.68119991326965e-05","0","0.950681112741893","na","Impseqrob-nbavg"
"63","Impseqrob","QRILC","E","N","-0.00262198302667943","0","0.0076119345651258","**","Impseqrob-QRILC"
"64","Impseqrob","SeqKNN","E","O","5.50204733759937e-05","0","0.0386631833773872","*","Impseqrob-SeqKNN"
"65","Impseqrob","zero","E","P","0.00784688393612604","0","1.50656788999556e-06","****","Impseqrob-zero"
"66","knn","mice","F","G","-0.00221428649245047","0","0.151619527987615","na","knn-mice"
"67","knn","min","F","H","-0.00205415551610435","0","0.0134897049891545","*","knn-min"
"68","knn","MinDet","F","I","-0.00200715430835241","0","0.014380581558909","*","knn-MinDet"
"69","knn","MinProb","F","J","-0.00473878315592541","0","0.000204062401157609","***","knn-MinProb"
"70","knn","missForest","F","K","-0.00204303464672863","0","0.0129709649245772","*","knn-missForest"
"71","knn","MLE","F","L","-0.00171856493843645","0","0.0362395833056886","*","knn-MLE"
"72","knn","nbavg","F","M","-0.00211404958697249","0","0.193485507202211","na","knn-nbavg"
"73","knn","QRILC","F","N","-0.00482284461278461","0","0.000159205727688869","***","knn-QRILC"
"74","knn","SeqKNN","F","O","-0.00214584111272919","0","0.00902916927328681","**","knn-SeqKNN"
"75","knn","zero","F","P","0.00564602235002085","0","6.2357759438466e-05","****","knn-zero"
"76","mice","min","G","H","0.000160130976346115","0","0.903050245664638","na","mice-min"
"77","mice","MinDet","G","I","0.000207132184098055","0","0.874205669908955","na","mice-MinDet"
"78","mice","MinProb","G","J","-0.00252449666347494","0","0.00454509993704862","**","mice-MinProb"
"79","mice","missForest","G","K","0.000171251845721838","0","0.895823401199485","na","mice-missForest"
"80","mice","MLE","G","L","0.000495721554014016","0","0.705170115850891","na","mice-MLE"
"81","mice","nbavg","G","M","0.00010023690547798","0","0.940415182673301","na","mice-nbavg"
"82","mice","QRILC","G","N","-0.00260855812033414","0","0.0033406014058782","**","mice-QRILC"
"83","mice","SeqKNN","G","O","6.84453797212777e-05","0","0.958270879377546","na","mice-SeqKNN"
"84","mice","zero","G","P","0.00786030884247132","0","0.000165556053167924","***","mice-zero"
"85","min","MinDet","H","I","4.70012077519406e-05","0","0.720650458104838","na","min-MinDet"
"86","min","MinProb","H","J","-0.00268462763982106","0","0.0066311081634007","**","min-MinProb"
"87","min","missForest","H","K","1.1120869375723e-05","0","0.93561353985857","na","min-missForest"
"88","min","MLE","H","L","0.000335590577667901","0","0.0187835555773762","*","min-MLE"
"89","min","nbavg","H","M","-5.98940708681342e-05","0","0.96605011123545","na","min-nbavg"
"90","min","QRILC","H","N","-0.00276868909668026","0","0.00516413116872411","**","min-QRILC"
"91","min","SeqKNN","H","O","-9.1685596624837e-05","0","0.512131079472975","na","min-SeqKNN"
"92","min","zero","H","P","0.00770017786612521","0","1.63653525037126e-06","****","min-zero"
"93","MinDet","MinProb","I","J","-0.002731628847573","0","0.00531463185874702","**","MinDet-MinProb"
"94","MinDet","missForest","I","K","-3.58803383762176e-05","0","0.455154604278257","na","MinDet-missForest"
"95","MinDet","MLE","I","L","0.00028858936991596","0","0.000176773603581044","***","MinDet-MLE"
"96","MinDet","nbavg","I","M","-0.000106895278620075","0","0.939238804107436","na","MinDet-nbavg"
"97","MinDet","QRILC","I","N","-0.0028156903044322","0","0.00411548640421602","**","MinDet-QRILC"
"98","MinDet","SeqKNN","I","O","-0.000138686804376778","0","0.00317697103630491","**","MinDet-SeqKNN"
"99","MinDet","zero","I","P","0.00765317665837327","0","2.63079580133426e-06","****","MinDet-zero"
"100","MinProb","missForest","J","K","0.00269574850919678","0","0.00601432867570002","**","MinProb-missForest"
"101","MinProb","MLE","J","L","0.00302021821748896","0","0.00211356700587551","**","MinProb-MLE"
"102","MinProb","nbavg","J","M","0.00262473356895292","0","0.0103547949699646","*","MinProb-nbavg"
"103","MinProb","QRILC","J","N","-8.40614568592013e-05","0","0.00174387974428664","**","MinProb-QRILC"
"104","MinProb","SeqKNN","J","O","0.00259294204319622","0","0.00824549942280984","**","MinProb-SeqKNN"
"105","MinProb","zero","J","P","0.0103848055059463","0","4.36290152756815e-08","****","MinProb-zero"
"106","missForest","MLE","K","L","0.000324469708292178","0","0.000119491828938221","***","missForest-MLE"
"107","missForest","nbavg","K","M","-7.10149402438573e-05","0","0.95963941900559","na","missForest-nbavg"
"108","missForest","QRILC","K","N","-0.00277980996605598","0","0.00464074119011773","**","missForest-QRILC"
"109","missForest","SeqKNN","K","O","-0.00010280646600056","0","0.00294721827025634","**","missForest-SeqKNN"
"110","missForest","zero","K","P","0.00768905699674948","0","2.37126163407491e-06","****","missForest-zero"
"111","MLE","nbavg","L","M","-0.000395484648536035","0","0.778263818780154","na","MLE-nbavg"
"112","MLE","QRILC","L","N","-0.00310427967434816","0","0.00160471624343607","**","MLE-QRILC"
"113","MLE","SeqKNN","L","O","-0.000427276174292738","0","2.90626754960388e-06","****","MLE-SeqKNN"
"114","MLE","zero","L","P","0.00736458728845731","0","6.14001370291936e-06","****","MLE-zero"
"115","nbavg","QRILC","M","N","-0.00270879502581212","0","0.0081609713447396","**","nbavg-QRILC"
"116","nbavg","SeqKNN","M","O","-3.17915257567027e-05","0","0.98191908229352","na","nbavg-SeqKNN"
"117","nbavg","zero","M","P","0.00776007193699334","0","0.000306697121651563","***","nbavg-zero"
"118","QRILC","SeqKNN","N","O","0.00267700350005542","0","0.00641744584970729","**","QRILC-SeqKNN"
"119","QRILC","zero","N","P","0.0104688669628055","0","3.45890355325226e-08","****","QRILC-zero"
"120","SeqKNN","zero","O","P","0.00779186346275004","0","1.76804009008869e-06","****","SeqKNN-zero"
