"mat1","mat2","abbr1","abbr2","mean","median","t_pval","significance","contrast"
"1","blank","center.mean","A","B","0.102309763188484","0.0748942460372579","3.88460053913526e-132","****","blank-center.mean"
"2","blank","center.median","A","C","0.101888681529261","0.072377865751086","1.06494953490588e-132","****","blank-center.median"
"3","blank","div.mean","A","D","0.335035476186317","0.393143240244567","0","****","blank-div.mean"
"4","blank","div.median","A","E","0.335041623117207","0.393143240244567","0","****","blank-div.median"
"5","blank","lossf","A","F","0.0293731314624814","0.000445830331433972","3.17403333539285e-28","****","blank-lossf"
"6","blank","max","A","G","0.335022236492659","0.393143240244567","0","****","blank-max"
"7","blank","MBQN","A","H","0.197648141575547","0.173399227599026","5.26647486173821e-277","****","blank-MBQN"
"8","blank","quantiles","A","I","0.103994209214198","0.0894382661291909","4.45479233071933e-142","****","blank-quantiles"
"9","blank","quantiles.robust","A","J","0.108431068861049","0.088656694862289","1.39556664495349e-138","****","blank-quantiles.robust"
"10","blank","Rlr","A","K","0.0345404389413946","0.019536200613591","7.1980538179044e-40","****","blank-Rlr"
"11","blank","sum","A","L","0.335170209364695","0.393143240244567","0","****","blank-sum"
"12","blank","TIC","A","M","0.113325841914102","0.085078333923812","4.29165586268769e-139","****","blank-TIC"
"13","blank","vsn","A","N","0.334730302726448","0.393143240244567","0","****","blank-vsn"
"14","center.mean","center.median","B","C","-0.000421081659222409","0","0.0519876838939175","na","center.mean-center.median"
"15","center.mean","div.mean","B","D","0.232725712997833","0.268921827788483","2.07996588863911e-252","****","center.mean-div.mean"
"16","center.mean","div.median","B","E","0.232731859928724","0.268921827788483","2.0878081835417e-252","****","center.mean-div.median"
"17","center.mean","lossf","B","F","-0.0729366317260024","-0.041082588157323","7.53594259698802e-98","****","center.mean-lossf"
"18","center.mean","max","B","G","0.232712473304175","0.26892306759677","1.77428040796903e-252","****","center.mean-max"
"19","center.mean","MBQN","B","H","0.0953383783870632","0.0788442146006001","2.18264532064074e-82","****","center.mean-MBQN"
"20","center.mean","quantiles","B","I","0.00168444602571395","0.00153241710041396","0.0469185590549335","*","center.mean-quantiles"
"21","center.mean","quantiles.robust","B","J","0.00612130567256535","0.00302586013628203","1.3697956646446e-07","****","center.mean-quantiles.robust"
"22","center.mean","Rlr","B","K","-0.0677693242470892","-0.032197078925178","1.61831543341024e-105","****","center.mean-Rlr"
"23","center.mean","sum","B","L","0.232860446176211","0.269282201749991","1.28754639249641e-252","****","center.mean-sum"
"24","center.mean","TIC","B","M","0.0110160787256184","0","2.99001556269329e-30","****","center.mean-TIC"
