"mat1","mat2","abbr1","abbr2","mean","median","t_pval","significance","contrast"
"1","ANOVA","DEP","A","B","-0.243655187212331","-0.233888544324517","0","****","ANOVA-DEP"
"2","ANOVA","limma","A","C","-0.247168992423175","-0.234131763788841","0","****","ANOVA-limma"
"3","ANOVA","proDA","A","D","-0.251365151306818","-0.238121945599247","0","****","ANOVA-proDA"
"4","ANOVA","ROTS","A","E","-0.186775890960482","-0.189530982499114","0","****","ANOVA-ROTS"
"5","ANOVA","SAM","A","F","-0.123853333614645","-0.040654492936848","5.20639680669939e-299","****","ANOVA-SAM"
"6","ANOVA","ttest","A","G","-0.0927031436180861","-0.059205545049993","0","****","ANOVA-ttest"
"7","DEP","limma","B","C","-0.00351380521084412","0","0.000970744893874124","***","DEP-limma"
"8","DEP","proDA","B","D","-0.00770996409448753","-0.00109008792776899","7.17399223696672e-13","****","DEP-proDA"
"9","DEP","ROTS","B","E","0.0568792962518486","0.0172001221667105","1.76946541152257e-130","****","DEP-ROTS"
"10","DEP","SAM","B","F","0.119801853597686","0.146080177010249","0","****","DEP-SAM"
"11","DEP","ttest","B","G","0.150952043594245","0.163283803736801","0","****","DEP-ttest"
"12","limma","proDA","C","D","-0.0041961588836434","-0.000930467665494483","8.34855556149108e-09","****","limma-proDA"
"13","limma","ROTS","C","E","0.0603931014626927","0.0177108947433205","3.82333967965663e-189","****","limma-ROTS"
"14","limma","SAM","C","F","0.12331565880853","0.144391106710152","0","****","limma-SAM"
"15","limma","ttest","C","G","0.154465848805089","0.163644097972333","0","****","limma-ttest"
"16","proDA","ROTS","D","E","0.0645892603463361","0.018281886412889","9.09101519675375e-198","****","proDA-ROTS"
"17","proDA","SAM","D","F","0.127511817692173","0.153576558590948","0","****","proDA-SAM"
"18","proDA","ttest","D","G","0.158662007688732","0.166967805619849","0","****","proDA-ttest"
"19","ROTS","SAM","E","F","0.062922557345837","0.0113908097315325","1.30621051454175e-156","****","ROTS-SAM"
"20","ROTS","ttest","E","G","0.094072747342396","0.0735444740116425","1.81002263787546e-253","****","ROTS-ttest"
"21","SAM","ttest","F","G","0.031150189996559","-0.003682414966935","1.38717286329288e-45","****","SAM-ttest"
