"mat1","mat2","abbr1","abbr2","mean","median","t_pval","significance","contrast"
"1","blank","center.mean","A","B","0.114038506152581","0.092919597206498","2.30215915947395e-128","****","blank-center.mean"
"2","blank","center.median","A","C","0.111203570071625","0.091747079514664","4.64472803135058e-122","****","blank-center.median"
"3","blank","div.mean","A","D","0.120073173803016","0.095650732742864","4.29868608727523e-131","****","blank-div.mean"
"4","blank","div.median","A","E","0.120599127712068","0.110201849271289","3.15818065591811e-131","****","blank-div.median"
"5","blank","lossf","A","F","0.0159960613623533","0.00975733580272498","1.06565318161827e-08","****","blank-lossf"
"6","blank","max","A","G","-0.00346755288398984","0","0.00483304603045791","**","blank-max"
"7","blank","MBQN","A","H","0.166123185336256","0.093432952516088","6.01854892169924e-150","****","blank-MBQN"
"8","blank","quantiles","A","I","0.121259774325664","0.106195430777931","2.21192110575826e-145","****","blank-quantiles"
"9","blank","quantiles.robust","A","J","0.129429297649563","0.113083667969161","1.43868265717934e-153","****","blank-quantiles.robust"
"10","blank","Rlr","A","K","0.0394203701127293","0.0227326755224709","2.74448380783581e-34","****","blank-Rlr"
"11","blank","sum","A","L","-0.00160610120040277","4.38750022530021e-05","0.359666143062927","na","blank-sum"
"12","blank","TIC","A","M","0.119663968600539","0.093920972038346","2.50803049751918e-136","****","blank-TIC"
"13","blank","vsn","A","N","0.0713189719338828","0.053963315398623","2.99074703455029e-78","****","blank-vsn"
"14","center.mean","center.median","B","C","-0.00283493608095626","-0.000266591589307974","3.6730798875328e-06","****","center.mean-center.median"
"15","center.mean","div.mean","B","D","0.00603466765043466","-5.74037436400499e-05","3.59254863879281e-09","****","center.mean-div.mean"
"16","center.mean","div.median","B","E","0.00656062155948695","7.59047649980249e-05","1.01369790994325e-10","****","center.mean-div.median"
"17","center.mean","lossf","B","F","-0.098042444790228","-0.085558531022343","1.56776306737184e-160","****","center.mean-lossf"
"18","center.mean","max","B","G","-0.117506059036571","-0.0994933257930209","5.41233566364245e-130","****","center.mean-max"
"19","center.mean","MBQN","B","H","0.052084679183675","-0.00385217445991903","8.0187334192275e-22","****","center.mean-MBQN"
"20","center.mean","quantiles","B","I","0.00722126817308226","0.000806777024365934","1.19689692196975e-08","****","center.mean-quantiles"
"21","center.mean","quantiles.robust","B","J","0.0153907914969819","0.000818955769676055","2.79096753098312e-14","****","center.mean-quantiles.robust"
"22","center.mean","Rlr","B","K","-0.074618136039852","-0.066102673072547","2.0836216610875e-149","****","center.mean-Rlr"
"23","center.mean","sum","B","L","-0.115644607352984","-0.103090842450204","1.45817869157762e-118","****","center.mean-sum"
"24","center.mean","TIC","B","M","0.00562546244795727","-0.000291908556404041","0.00234629664888117","**","center.mean-TIC"
"25","center.mean","vsn","B","N","-0.0427195342186985","-0.0241396491307679","1.70910022832743e-70","****","center.mean-vsn"
"26","center.median","div.mean","C","D","0.00886960373139092","0.000981258496334958","7.29319829995555e-20","****","center.median-div.mean"
"27","center.median","div.median","C","E","0.0093955576404432","0.000889358153777997","7.5232750904625e-20","****","center.median-div.median"
"28","center.median","lossf","C","F","-0.0952075087092717","-0.078103869823607","7.01433807293025e-155","****","center.median-lossf"
"29","center.median","max","C","G","-0.114671122955615","-0.089379410596318","5.48185157174418e-124","****","center.median-max"
"30","center.median","MBQN","C","H","0.0549196152646312","-0.00121577821558499","8.76268935610377e-24","****","center.median-MBQN"
"31","center.median","quantiles","C","I","0.0100562042540385","0.00484334359710004","1.67309243317732e-15","****","center.median-quantiles"
"32","center.median","quantiles.robust","C","J","0.0182257275779381","0.00504106645798796","3.67690345235495e-20","****","center.median-quantiles.robust"
"33","center.median","Rlr","C","K","-0.0717831999588957","-0.0612243021383959","3.54012616226137e-141","****","center.median-Rlr"
"34","center.median","sum","C","L","-0.112809671272028","-0.088571027664251","4.92221653575888e-113","****","center.median-sum"
"35","center.median","TIC","C","M","0.00846039852891353","0.000575687356119015","3.33687673120063e-06","****","center.median-TIC"
"36","center.median","vsn","C","N","-0.0398845981377422","-0.02225423843311","2.25349398040752e-64","****","center.median-vsn"
"37","div.mean","div.median","D","E","0.000525953909052284","-9.75086683060455e-05","0.574505031123439","na","div.mean-div.median"
"38","div.mean","lossf","D","F","-0.104077112440663","-0.090198605609509","6.32171107959879e-163","****","div.mean-lossf"
"39","div.mean","max","D","G","-0.123540726687006","-0.117037545108096","4.524444933092e-131","****","div.mean-max"
"40","div.mean","MBQN","D","H","0.0460500115332403","-0.000843704435216974","3.79262920165514e-18","****","div.mean-MBQN"
"41","div.mean","quantiles","D","I","0.0011866005226476","0.000431931610018033","0.369022142789754","na","div.mean-quantiles"
"42","div.mean","quantiles.robust","D","J","0.0093561238465472","0.00161095337994299","1.52259196414419e-06","****","div.mean-quantiles.robust"
"43","div.mean","Rlr","D","K","-0.0806528036902866","-0.065803928020045","7.0312968577453e-147","****","div.mean-Rlr"
