"mat1","mat2","abbr1","abbr2","mean","median","t_pval","significance","contrast"
"1","blank","bpca","A","B","0.000199723315648344","0","0.639465760750075","na","blank-bpca"
"2","blank","GMS","A","C","0.000282183435167817","0","0.509358758867731","na","blank-GMS"
"3","blank","Impseq","A","D","0.000217864393792928","0","0.624911920514026","na","blank-Impseq"
"4","blank","Impseqrob","A","E","4.09143865907044e-06","0","0.992747344132403","na","blank-Impseqrob"
"5","blank","knn","A","F","0.00324878844038963","0","0.0356882358047228","*","blank-knn"
"6","blank","mice","A","G","-0.000231582321031635","0","0.436212462231952","na","blank-mice"
"7","blank","min","A","H","-0.000514154146097947","0","0.577717257036622","na","blank-min"
"8","blank","MinDet","A","I","-0.00247645167750338","0","0.00796152216737567","**","blank-MinDet"
"9","blank","MinProb","A","J","-0.00270460375722101","0","0.00524858388729001","**","blank-MinProb"
"10","blank","missForest","A","K","-0.000211658444154795","0","0.425810414400651","na","blank-missForest"
"11","blank","MLE","A","L","-0.0010882627350904","0","0.202834106735382","na","blank-MLE"
"12","blank","nbavg","A","M","0.000909855060219789","0","0.109727246510731","na","blank-nbavg"
"13","blank","QRILC","A","N","-0.00201191734990023","0","0.026840405631263","*","blank-QRILC"
"14","blank","SeqKNN","A","O","-0.000503063285016969","0","0.205695847217177","na","blank-SeqKNN"
"15","blank","zero","A","P","0.0131114059744119","0","7.90358970770235e-08","****","blank-zero"
"16","bpca","GMS","B","C","8.24601195194736e-05","0","0.580752585104547","na","bpca-GMS"
"17","bpca","Impseq","B","D","1.81410781445847e-05","0","0.883164327946938","na","bpca-Impseq"
"18","bpca","Impseqrob","B","E","-0.000195631876989273","0","0.367564164196719","na","bpca-Impseqrob"
"19","bpca","knn","B","F","0.00304906512474129","0","0.0387313055012412","*","bpca-knn"
"20","bpca","mice","B","G","-0.000431305636679978","0","0.404731936604609","na","bpca-mice"
"21","bpca","min","B","H","-0.000713877461746291","0","0.378810502467691","na","bpca-min"
"22","bpca","MinDet","B","I","-0.00267617499315172","0","0.0049324403725189","**","bpca-MinDet"
"23","bpca","MinProb","B","J","-0.00290432707286936","0","0.00356220103040462","**","bpca-MinProb"
"24","bpca","missForest","B","K","-0.000411381759803139","0","0.340335450515976","na","bpca-missForest"
"25","bpca","MLE","B","L","-0.00128798605073875","0","0.147484922610101","na","bpca-MLE"
"26","bpca","nbavg","B","M","0.000710131744571445","0","0.237434686681491","na","bpca-nbavg"
"27","bpca","QRILC","B","N","-0.00221164066554857","0","0.0173589462347265","*","bpca-QRILC"
"28","bpca","SeqKNN","B","O","-0.000702786600665313","0","0.144314649750165","na","bpca-SeqKNN"
"29","bpca","zero","B","P","0.0129116826587636","0","8.1301185798724e-08","****","bpca-zero"
"30","GMS","Impseq","C","D","-6.43190413748889e-05","0","0.617857045074635","na","GMS-Impseq"
"31","GMS","Impseqrob","C","E","-0.000278091996508747","0","0.183758908693202","na","GMS-Impseqrob"
"32","GMS","knn","C","F","0.00296660500522181","0","0.0431532459012921","*","GMS-knn"
"33","GMS","mice","C","G","-0.000513765756199452","0","0.3017917388437","na","GMS-mice"
"34","GMS","min","C","H","-0.000796337581265764","0","0.315509544560544","na","GMS-min"
"35","GMS","MinDet","C","I","-0.00275863511267119","0","0.00357236155313457","**","GMS-MinDet"
"36","GMS","MinProb","C","J","-0.00298678719238883","0","0.00253167808537929","**","GMS-MinProb"
