"workflow","DEA","Platform","Matrix","Imput","normalization","runTime","mean_pauc001","median_pauc001","rank_mean_pauc001","rank_median_pauc001","mean_pauc005","median_pauc005","rank_mean_pauc005","rank_median_pauc005","mean_pauc01","median_pauc01","rank_mean_pauc01","rank_median_pauc01","mean_nmcc005","median_nmcc005","rank_mean_nmcc005","rank_median_nmcc005","mean_gmean005","median_gmean005","rank_mean_gmean005","rank_median_gmean005","avg_rank_mean","avg_rank_median","exact_rank","setting","rank","label"
"proDA|Maxquant|intensity|bpca|blank","proDA","Maxquant","reporter","bpca","none",0,0.818251866666667,0.8170612,2,3,0.92110662,0.933218,12,34,0.939642086666667,0.9527568,15,25,0.886472473333333,0.9523597,58,15,0.822428846,0.94198431,57,41,28.8,23.6,1,"MQ_TMT","top1","proDA|none|bpca(1)"
"proDA|Maxquant|intensity|Impseq|blank","proDA","Maxquant","reporter","Impseq","none",0,0.818244673333333,0.8171323,3,2,0.921098086666667,0.9332168,13,36,0.939637666666667,0.9527562,16,26,0.886472473333333,0.9523597,59,20,0.822428846,0.94198431,58,43,29.8,25.4,2,"MQ_TMT","top2","proDA|none|Impseq(2)"
"limma|FragPipe|abd|SeqKNN|blank","limma","FragPipe","abd","SeqKNN","none",0,0.809038313333333,0.7885364,9,55,0.907320186666667,0.9159921,10,42,0.929050713333333,0.9428095,10,23,0.875265662666667,0.9320369,23,16,0.789745717533333,0.92936306,139,80,38.2,43.2,1,"FG_TMT","top1","limma|none|SeqKNN(1)"
"limma|FragPipe|abd|GMS|blank","limma","FragPipe","abd","GMS","none",0,0.808861993333333,0.7885364,15,54,0.907271606666667,0.9159895,14,45,0.928986233333333,0.9428095,12,22,0.875251049333333,0.9320369,25,15,0.7896773022,0.92936306,142,79,41.6,43,4,"FG_TMT","top2","limma|none|GMS(4)"
"limma|FragPipe|ratio|GMS|blank","limma","FragPipe","ratio","GMS","none",0,0.808860026666667,0.7885344,16,59,0.907307113333333,0.915987,11,48,0.928981406666667,0.9428095,13,27,0.875293902666667,0.9320369,19,45,0.789717966866667,0.92936306,140,109,39.8,57.6,2,"FG_TMT","top1","limma|none|GMS(2)"
"limma|FragPipe|ratio|GMS|center.median","limma","FragPipe","ratio","GMS","center.median",0,0.808869826666667,0.7885323,14,61,0.907302606666667,0.9159858,12,49,0.928979926666667,0.9428093,14,32,0.875292076,0.9320369,20,46,0.7897016862,0.92936306,141,110,40.2,59.6,3,"FG_TMT","top2","limma|center.median|GMS(3)"
"proDA|FragPipe|phi|Impseqrob|blank","proDA","FragPipe","phi","Impseqrob","none",0,0.78171182,0.7813241,252,170,0.891044266666667,0.9116419,191,167,0.9167732,0.9337492,263,212,0.868158226,0.9248044,183,217,0.798905423133333,0.90590055,56,275,189,208.2,65,"FG_TMT","top1","proDA|none|Impseqrob(65)"
"proDA|FragPipe|phi|bpca|blank","proDA","FragPipe","phi","bpca","none",0,0.781751146666667,0.7817683,250,165,0.891041106666667,0.9116081,192,168,0.916770966666667,0.9337492,264,208,0.868145892666667,0.9246194,184,218,0.798897143133333,0.90590055,57,265,189.4,204.8,66,"FG_TMT","top2","proDA|none|bpca(66)"
"DEqMS|FragPipe|dlfq|missForest|blank","DEqMS","FragPipe","dlfq","missForest","none",0,0.713290486363636,0.70900455,36,135,0.779445054545455,0.7794207,14,165,0.806167172727273,0.81198925,32,128,0.765256572727273,0.82393505,19,6,0.694023872272727,0.794063,232,227,66.6,132.2,1,"FG_DDA","top1","DEqMS|none|missForest(1)"
"DEqMS|FragPipe|dlfq|SeqKNN|blank","DEqMS","FragPipe","dlfq","SeqKNN","none",0,0.715904118181818,0.7124155,27,113,0.780763436363636,0.78470385,13,112,0.798626918181818,0.81140315,66,136,0.764112781818182,0.8196605,30,8,0.678705279545455,0.759131095,380,715,103.2,216.8,2,"FG_DDA","top2","DEqMS|none|SeqKNN(2)"
"DEqMS|FragPipe|LFQ|Impseq|blank","DEqMS","FragPipe","LFQ","Impseq","none",0,0.722492790909091,0.7429771,14,13,0.773848518181818,0.8021906,37,33,0.790516927272727,0.82609115,123,24,0.756580445454546,0.7773615,123,520,0.648863126363636,0.781577265,776,396,214.6,197.2,18,"FG_DDA","top1","DEqMS|none|Impseq(18)"
"DEqMS|FragPipe|LFQ|SeqKNN|blank","DEqMS","FragPipe","LFQ","SeqKNN","none",0,0.731507386363636,0.7274845,2,46,0.778783472727273,0.8089124,18,11,0.789648081818182,0.82486175,128,27,0.764366763636364,0.7853018,27,335,0.636596372272727,0.77546714,974,511,229.8,186,20,"FG_DDA","top2","DEqMS|none|SeqKNN(20)"
"DEqMS|FragPipe|top0|missForest|blank","DEqMS","FragPipe","top0","missForest","none",0,0.66013855,0.66119825,946,935,0.743977213636364,0.74125915,540,979,0.781231254545455,0.7806146,304,764,0.755829145454545,0.781195,135,416,0.714570997727273,0.820715915,112,38,407.4,626.4,103,"FG_DDA","top1","DEqMS|none|missForest(103)"
"ROTS|FragPipe|top0|nbavg|blank","ROTS","FragPipe","top0","nbavg","none",0,0.63540635,0.64079905,1672,1504,0.758038081818182,0.7524118,226,672,0.79576435,0.80296335,80,246,0.756858009090909,0.7672309,120,795,0.700296772727273,0.832435745,190,18,457.6,647,129,"FG_DDA","top2","ROTS|none|nbavg(129)"
"DEqMS|FragPipe|top3|SeqKNN|blank","DEqMS","FragPipe","top3","SeqKNN","none",0,0.65512605,0.6526787,1028,1108,0.743250159090909,0.7389447,562,1066,0.776689177272727,0.7824931,425,699,0.747896159090909,0.7961135,300,161,0.668574295454545,0.78724847,500,309,563,668.6,200,"FG_DDA","top1","DEqMS|none|SeqKNN(200)"
"DEqMS|FragPipe|top3|nbavg|blank","DEqMS","FragPipe","top3","nbavg","none",0,0.651083759090909,0.64514385,1111,1339,0.736791490909091,0.7310395,809,1354,0.772892445454545,0.7748172,528,948,0.753408772727273,0.75588215,184,1094,0.681705835,0.809157675,345,91,595.4,965.2,222,"FG_DDA","top2","DEqMS|none|nbavg(222)"
"plgem|FragPipe|count|blank|blank","plgem","FragPipe","count","none","none",0,0.628445854545455,0.60387685,2067,3221,0.682998236363636,0.68061135,3417,3622,0.708107709090909,0.7114421,3664,3774,0.684975654545455,0.7005209,2383,2380,0.546688135909091,0.62313374,2171,2232,2740.4,3045.8,1926,"FG_DDA","top1","plgem|none|none(1926)"
"plgem|FragPipe|count|QRILC|blank","plgem","FragPipe","count","QRILC","none",0,0.628445854545455,0.60387685,2068,3222,0.682998236363636,0.68061135,3418,3623,0.708107709090909,0.7114421,3665,3775,0.684975654545455,0.7005209,2384,2381,0.546688135909091,0.62313374,2172,2233,2741.4,3046.8,1929,"FG_DDA","top2","plgem|none|QRILC(1929)"
"DEqMS|Maxquant|dlfq|Impseq|blank","DEqMS","Maxquant","dlfq","Impseq","none",0,0.71880045,0.71556875,14,38,0.793700109090909,0.78265845,5,38,0.817308759090909,0.79972165,11,135,0.767566554545455,0.8194422,16,15,0.682630739545455,0.79888341,182,30,45.6,51.2,1,"MQ_DDA","top1","DEqMS|none|Impseq(1)"
"limma|Maxquant|dlfq|Impseq|blank","limma","Maxquant","dlfq","Impseq","none",0,0.714727559090909,0.7095935,30,63,0.793529095454545,0.77849975,7,64,0.817348213636364,0.79845635,10,153,0.767884590909091,0.81801,14,20,0.680887793181818,0.79691103,187,40,49.6,68,2,"MQ_DDA","top2","limma|none|Impseq(2)"
"DEqMS|Maxquant|LFQ|SeqKNN|lossf","DEqMS","Maxquant","LFQ","SeqKNN","lossf",0,0.727645359090909,0.74423405,1,1,0.768099013636364,0.795697,86,8,0.779516227272727,0.80714925,266,68,0.778336536363636,0.82969165,1,4,0.648287018636364,0.778829245,370,115,144.8,39.2,18,"MQ_DDA","top1","DEqMS|lossf|SeqKNN(18)"
"limma|Maxquant|LFQ|SeqKNN|lossf","limma","Maxquant","LFQ","SeqKNN","lossf",0,0.725861940909091,0.73998095,2,3,0.768126440909091,0.7917242,85,15,0.779994063636364,0.80637405,260,71,0.777378431818182,0.83161155,2,3,0.644784855454545,0.76881005,397,219,149.2,62.2,22,"MQ_DDA","top2","limma|lossf|SeqKNN(22)"
"limma|Maxquant|top3|Impseq|Rlr","limma","Maxquant","top3","Impseq","Rlr",0,0.675141222727273,0.6504276,444,849,0.7537496,0.75488455,247,325,0.781569881818182,0.78983585,243,284,0.741850809090909,0.7921353,348,220,0.640713667272727,0.775110285,416,145,339.6,364.6,97,"MQ_DDA","top1","limma|Rlr|Impseq(97)"
"ROTS|Maxquant|top3|SeqKNN|Rlr","ROTS","Maxquant","top3","SeqKNN","Rlr",0,0.649580086363636,0.6432852,1181,1090,0.764001786363636,0.76498295,114,171,0.797010145454546,0.8146881,76,33,0.758467295454545,0.7974375,70,153,0.663565051363636,0.8005564,271,23,342.4,294,99,"MQ_DDA","top2","ROTS|Rlr|SeqKNN(99)"
"ROTS|Maxquant|top0|SeqKNN|Rlr","ROTS","Maxquant","top0","SeqKNN","Rlr",0,0.649348172727273,0.6451769,1196,1011,0.747904431818182,0.7641289,344,179,0.776460159090909,0.80548835,318,79,0.743476309090909,0.80953765,309,60,0.622708329545455,0.790743315,634,63,560.2,278.4,233,"MQ_DDA","top1","ROTS|Rlr|SeqKNN(233)"
"ROTS|Maxquant|top0|missForest|Rlr","ROTS","Maxquant","top0","missForest","Rlr",0,0.644030404545455,0.6349213,1438,1399,0.745033286363636,0.7637477,419,187,0.774799445454545,0.7935927,349,228,0.74331835,0.80635785,314,90,0.630597389090909,0.75760737,517,360,607.4,452.8,259,"MQ_DDA","top2","ROTS|Rlr|missForest(259)"
"plgem|Maxquant|count|blank|blank","plgem","Maxquant","count","none","none",0,0.604385627272727,0.5769927,3264,3973,0.649914404545455,0.6350018,4348,4963,0.672119145454545,0.67245875,4465,4814,0.649702122727273,0.66034195,2973,2778,0.412526861818182,0.440529645,3107,3179,3631.4,3941.4,3341,"MQ_DDA","top1","plgem|none|none(3341)"
"plgem|Maxquant|count|QRILC|blank","plgem","Maxquant","count","QRILC","none",0,0.604385627272727,0.5769927,3265,3974,0.649914404545455,0.6350018,4349,4964,0.672119145454545,0.67245875,4466,4815,0.649702122727273,0.66034195,2974,2779,0.412526861818182,0.440529645,3108,3180,3632.4,3942.4,3344,"MQ_DDA","top2","plgem|none|QRILC(3344)"
"limma|DIANN|dlfq|MinDet|blank","limma","DIANN","dlfq","MinDet","none",0,0.767054894117647,0.7650359,4,101,0.821187847058824,0.8152413,25,386,0.841599817647059,0.8417386,49,406,0.789818723529412,0.8478993,18,117,0.651140802352941,0.78347282,106,184,40.4,238.8,1,"DIANN_DIA","top1","limma|none|MinDet(1)"
"limma|DIANN|dlfq|Impseqrob|blank","limma","DIANN","dlfq","Impseqrob","none",0,0.761513235294118,0.7461999,28,239,0.821540517647059,0.8209511,20,295,0.843744852941177,0.8390438,33,463,0.788634664705882,0.7952502,23,501,0.647138654705882,0.75688955,118,309,44.4,361.4,2,"DIANN_DIA","top2","limma|none|Impseqrob(2)"
"limma|DIANN|LFQ|Impseq|blank","limma","DIANN","LFQ","Impseq","none",0,0.768030782352941,0.8053113,3,10,0.823647258823529,0.8586226,14,50,0.845758488235294,0.8791361,25,94,0.789345782352941,0.8660613,19,22,0.634017767647059,0.7905916,182,133,48.6,61.8,3,"DIANN_DIA","top1","limma|none|Impseq(3)"
"ROTS|DIANN|LFQ|Impseq|blank","ROTS","DIANN","LFQ","Impseq","none",0,0.735061464705882,0.7456964,203,251,0.828525358823529,0.8672811,8,20,0.853167688235294,0.8924508,13,24,0.790595429411765,0.8676113,14,14,0.647113538823529,0.7905916,119,135,71.4,88.8,7,"DIANN_DIA","top2","ROTS|none|Impseq(7)"
