"mat1","mat2","abbr1","abbr2","mean","median","t_pval","significance","contrast"
"1","ANOVA","DEP","A","B","0.12455327991058","0.075617165262911","0","****","ANOVA-DEP"
"2","ANOVA","limma","A","C","0.0772626831325665","0.022949266617195","0","****","ANOVA-limma"
"3","ANOVA","proDA","A","D","0.11180095973237","0.041886256564038","0","****","ANOVA-proDA"
"4","ANOVA","ROTS","A","E","0.0541547409354821","0.00542715647273101","0","****","ANOVA-ROTS"
"5","ANOVA","SAM","A","F","0.301237867515024","0.205736123179631","0","****","ANOVA-SAM"
"6","ANOVA","ttest","A","G","0.15673402057559","0.0888057674879875","0","****","ANOVA-ttest"
"7","DEP","limma","B","C","-0.0472905967780134","0","6.93425699965716e-247","****","DEP-limma"
"8","DEP","proDA","B","D","-0.0127523201782095","0","3.88932032067891e-17","****","DEP-proDA"
"9","DEP","ROTS","B","E","-0.0703985389750979","-0.0120939233022022","0","****","DEP-ROTS"
"10","DEP","SAM","B","F","0.176684587604444","0.0559959554144702","0","****","DEP-SAM"
"11","DEP","ttest","B","G","0.0321807406650096","0.013933285667661","3.4871866914064e-69","****","DEP-ttest"
"12","limma","proDA","C","D","0.0345382765998039","0.00864005676085752","0","****","limma-proDA"
"13","limma","ROTS","C","E","-0.0231079421970844","-0.00659753701703449","0","****","limma-ROTS"
"14","limma","SAM","C","F","0.223975184382457","0.00406503039405883","0","****","limma-SAM"
"15","limma","ttest","C","G","0.0794713374430231","0.016831860526921","0","****","limma-ttest"
"16","proDA","ROTS","D","E","-0.0576462187968883","-0.021459772040345","0","****","proDA-ROTS"
"17","proDA","SAM","D","F","0.189436907782654","0","0","****","proDA-SAM"
"18","proDA","ttest","D","G","0.0449330608432192","0","0","****","proDA-ttest"
"19","ROTS","SAM","E","F","0.247083126579542","0.0280165907340263","0","****","ROTS-SAM"
"20","ROTS","ttest","E","G","0.102579279640107","0.030936947679691","0","****","ROTS-ttest"
"21","SAM","ttest","F","G","-0.144503846939434","0","0","****","SAM-ttest"
