"mat1","mat2","abbr1","abbr2","mean","median","t_pval","significance","contrast"
"1","blank","bpca","A","B","-0.0269146426811975","0","2.29959708624922e-48","****","blank-bpca"
"2","blank","GMS","A","C","-0.0225791893156934","0","1.16828089950705e-36","****","blank-GMS"
"3","blank","Impseq","A","D","-0.0326240861418998","0","5.39423217535757e-58","****","blank-Impseq"
"4","blank","Impseqrob","A","E","-0.0138633314280218","0","6.81286690229051e-22","****","blank-Impseqrob"
"5","blank","knn","A","F","-0.00944493458854184","0","1.87699873413458e-13","****","blank-knn"
"6","blank","mice","A","G","-0.0193570905852529","0","1.46983314593727e-36","****","blank-mice"
"7","blank","min","A","H","-0.0617182864961958","0","2.16549064998564e-128","****","blank-min"
"8","blank","MinDet","A","I","-0.0305250808831156","0","3.88879104259865e-57","****","blank-MinDet"
"9","blank","MinProb","A","J","-0.0295783085288267","0","6.06665740030958e-54","****","blank-MinProb"
"10","blank","missForest","A","K","-0.0182628662926468","0","5.98280432172651e-31","****","blank-missForest"
"11","blank","MLE","A","L","-0.00435048807690683","0","0.00313486324416614","**","blank-MLE"
"12","blank","nbavg","A","M","-0.0470674584212974","0","2.0322884648347e-94","****","blank-nbavg"
"13","blank","QRILC","A","N","-0.0276735039017787","0","1.52527480273968e-52","****","blank-QRILC"
"14","blank","SeqKNN","A","O","-0.0159157997146707","0","1.77803728786587e-26","****","blank-SeqKNN"
"15","blank","zero","A","P","-0.0314074731118391","0","8.14057549287466e-42","****","blank-zero"
"16","bpca","GMS","B","C","0.00433545336550413","0","9.46902545503675e-08","****","bpca-GMS"
"17","bpca","Impseq","B","D","-0.00570944346070235","0","4.53283734912339e-12","****","bpca-Impseq"
"18","bpca","Impseqrob","B","E","0.0130513112531757","0","3.68092253910953e-34","****","bpca-Impseqrob"
"19","bpca","knn","B","F","0.0174697080926557","0","1.27897303743995e-42","****","bpca-knn"
"20","bpca","mice","B","G","0.00755755209594459","0","2.88446618228251e-15","****","bpca-mice"
"21","bpca","min","B","H","-0.0348036438149983","0","6.01904329610824e-52","****","bpca-min"
"22","bpca","MinDet","B","I","-0.00361043820191814","0","0.00179359877930455","**","bpca-MinDet"
"23","bpca","MinProb","B","J","-0.0026636658476292","0","0.0239053833884346","*","bpca-MinProb"
"24","bpca","missForest","B","K","0.0086517763885507","0","1.37169808252837e-35","****","bpca-missForest"
"25","bpca","MLE","B","L","0.0225641546042907","0","6.42767608041738e-33","****","bpca-MLE"
"26","bpca","nbavg","B","M","-0.0201528157400999","0","3.04838947448852e-24","****","bpca-nbavg"
"27","bpca","QRILC","B","N","-0.000758861220581172","0","0.471004525820115","na","bpca-QRILC"
"28","bpca","SeqKNN","B","O","0.0109988429665268","0","2.65520313362023e-24","****","bpca-SeqKNN"
"29","bpca","zero","B","P","-0.00449283043064155","0","0.0762796451093472","na","bpca-zero"
"30","GMS","Impseq","C","D","-0.0100448968262065","0","3.94626918857217e-43","****","GMS-Impseq"
"31","GMS","Impseqrob","C","E","0.0087158578876716","0","2.21616352251052e-16","****","GMS-Impseqrob"
"32","GMS","knn","C","F","0.0131342547271515","0","5.11409872636522e-29","****","GMS-knn"
"33","GMS","mice","C","G","0.00322209873044046","0","0.000491056644911623","***","GMS-mice"
"34","GMS","min","C","H","-0.0391390971805025","0","3.76001674836171e-72","****","GMS-min"
"35","GMS","MinDet","C","I","-0.00794589156742227","0","2.97951593295885e-14","****","GMS-MinDet"
"36","GMS","MinProb","C","J","-0.00699911921313333","0","3.37981914139954e-11","****","GMS-MinProb"
"37","GMS","missForest","C","K","0.00431632302304658","0","1.02968707832466e-09","****","GMS-missForest"
"38","GMS","MLE","C","L","0.0182287012387865","0","2.76271531650103e-24","****","GMS-MLE"
"39","GMS","nbavg","C","M","-0.024488269105604","0","5.19831493402979e-40","****","GMS-nbavg"
"40","GMS","QRILC","C","N","-0.0050943145860853","0","6.2644692338691e-07","****","GMS-QRILC"
"41","GMS","SeqKNN","C","O","0.00666338960102271","0","8.23335404646376e-12","****","GMS-SeqKNN"
"42","GMS","zero","C","P","-0.00882828379614568","0","0.000342562115485852","***","GMS-zero"
"43","Impseq","Impseqrob","D","E","0.0187607547138781","0","4.02009372416214e-57","****","Impseq-Impseqrob"
"44","Impseq","knn","D","F","0.023179151553358","0","2.88199686349369e-59","****","Impseq-knn"
"45","Impseq","mice","D","G","0.0132669955566469","0","4.04128955900883e-36","****","Impseq-mice"
"46","Impseq","min","D","H","-0.029094200354296","0","3.47505461083122e-36","****","Impseq-min"
"47","Impseq","MinDet","D","I","0.00209900525878421","0","0.0903591446029866","na","Impseq-MinDet"
"48","Impseq","MinProb","D","J","0.00304577761307315","0","0.0158616111712421","*","Impseq-MinProb"
"49","Impseq","missForest","D","K","0.0143612198492531","0","3.02754139778169e-50","****","Impseq-missForest"
"50","Impseq","MLE","D","L","0.028273598064993","0","1.37404472961006e-43","****","Impseq-MLE"
"51","Impseq","nbavg","D","M","-0.0144433722793975","0","1.56015816492514e-13","****","Impseq-nbavg"
"52","Impseq","QRILC","D","N","0.00495058224012118","0","7.52231593935096e-05","****","Impseq-QRILC"
"53","Impseq","SeqKNN","D","O","0.0167082864272292","0","8.45117037094278e-57","****","Impseq-SeqKNN"
"54","Impseq","zero","D","P","0.0012166130300608","0","0.643878162187253","na","Impseq-zero"
"55","Impseqrob","knn","E","F","0.00441839683947993","0","3.05397528043212e-05","****","Impseqrob-knn"
"56","Impseqrob","mice","E","G","-0.00549375915723114","0","1.16460639786481e-10","****","Impseqrob-mice"
"57","Impseqrob","min","E","H","-0.0478549550681741","0","2.10264220840125e-90","****","Impseqrob-min"
"58","Impseqrob","MinDet","E","I","-0.0166617494550939","0","7.8313971161948e-29","****","Impseqrob-MinDet"
"59","Impseqrob","MinProb","E","J","-0.0157149771008049","0","2.33368759938264e-25","****","Impseqrob-MinProb"
"60","Impseqrob","missForest","E","K","-0.00439953486462502","0","8.57533316708825e-06","****","Impseqrob-missForest"
"61","Impseqrob","MLE","E","L","0.00951284335111494","0","9.63183628453255e-11","****","Impseqrob-MLE"
"62","Impseqrob","nbavg","E","M","-0.0332041269932756","0","1.20645448448928e-67","****","Impseqrob-nbavg"
"63","Impseqrob","QRILC","E","N","-0.0138101724737569","0","9.54647349365725e-26","****","Impseqrob-QRILC"
"64","Impseqrob","SeqKNN","E","O","-0.00205246828664889","0","0.0149317987362134","*","Impseqrob-SeqKNN"
"65","Impseqrob","zero","E","P","-0.0175441416838173","0","5.83920786854668e-13","****","Impseqrob-zero"
"66","knn","mice","F","G","-0.00991215599671107","0","1.69547640468598e-25","****","knn-mice"
"67","knn","min","F","H","-0.052273351907654","0","1.4133132051662e-110","****","knn-min"
"68","knn","MinDet","F","I","-0.0210801462945738","0","8.97020046673005e-51","****","knn-MinDet"
"69","knn","MinProb","F","J","-0.0201333739402849","0","1.32941825496527e-45","****","knn-MinProb"
"70","knn","missForest","F","K","-0.00881793170410495","0","8.30151872556615e-18","****","knn-missForest"
"71","knn","MLE","F","L","0.00509444651163501","0","9.96582263624051e-05","****","knn-MLE"
"72","knn","nbavg","F","M","-0.0376225238327556","0","1.90877609614395e-72","****","knn-nbavg"
"73","knn","QRILC","F","N","-0.0182285693132368","0","5.57713166677927e-47","****","knn-QRILC"
"74","knn","SeqKNN","F","O","-0.00647086512612882","0","6.27755277860808e-12","****","knn-SeqKNN"
"75","knn","zero","F","P","-0.0219625385232972","0","5.07434788613999e-21","****","knn-zero"
"76","mice","min","G","H","-0.0423611959109429","0","2.0780825328789e-75","****","mice-min"
"77","mice","MinDet","G","I","-0.0111679902978627","0","3.79345044170425e-17","****","mice-MinDet"
"78","mice","MinProb","G","J","-0.0102212179435738","0","1.66207170422142e-14","****","mice-MinProb"
"79","mice","missForest","G","K","0.00109422429260611","0","0.17219028501219","na","mice-missForest"
"80","mice","MLE","G","L","0.0150066025083461","0","3.03184188280555e-21","****","mice-MLE"
"81","mice","nbavg","G","M","-0.0277103678360445","0","1.51576028520099e-46","****","mice-nbavg"
"82","mice","QRILC","G","N","-0.00831641331652576","0","1.70515581155728e-13","****","mice-QRILC"
"83","mice","SeqKNN","G","O","0.00344129087058225","0","7.5977106585425e-07","****","mice-SeqKNN"
"84","mice","zero","G","P","-0.0120503825265861","0","5.16743885416327e-07","****","mice-zero"
"85","min","MinDet","H","I","0.0311932056130802","0","2.82014674628456e-57","****","min-MinDet"
"86","min","MinProb","H","J","0.0321399779673691","0","2.08152337913328e-60","****","min-MinProb"
"87","min","missForest","H","K","0.043455420203549","0","7.96949404497383e-87","****","min-missForest"
"88","min","MLE","H","L","0.057367798419289","0.00612625317029147","3.54409759808614e-139","****","min-MLE"
"89","min","nbavg","H","M","0.0146508280748984","0","3.41652541080325e-24","****","min-nbavg"
"90","min","QRILC","H","N","0.0340447825944172","0","2.13578385937112e-66","****","min-QRILC"
"91","min","SeqKNN","H","O","0.0458024867815252","0","2.93292079047956e-84","****","min-SeqKNN"
"92","min","zero","H","P","0.0303108133843568","0","1.47233740115542e-35","****","min-zero"
"93","MinDet","MinProb","I","J","0.000946772354288941","0","0.00777943651188921","**","MinDet-MinProb"
"94","MinDet","missForest","I","K","0.0122622145904688","0","2.03825390017898e-32","****","MinDet-missForest"
"95","MinDet","MLE","I","L","0.0261745928062088","0","6.66028422718009e-42","****","MinDet-MLE"
"96","MinDet","nbavg","I","M","-0.0165423775381818","0","4.6956562643274e-20","****","MinDet-nbavg"
"97","MinDet","QRILC","I","N","0.00285157698133697","0","6.09185725868929e-05","****","MinDet-QRILC"
"98","MinDet","SeqKNN","I","O","0.014609281168445","0","5.69961071444368e-25","****","MinDet-SeqKNN"
