"mat1","mat2","abbr1","abbr2","mean","median","t_pval","significance","contrast"
"1","blank","center.mean","A","B","0.0344743800289906","0.00935194320146604","1.40384435569686e-141","****","blank-center.mean"
"2","blank","center.median","A","C","0.0391037692144995","0.011324858109056","3.79876682982957e-171","****","blank-center.median"
"3","blank","div.mean","A","D","0.439975779556739","0.472084509280679","0","****","blank-div.mean"
"4","blank","div.median","A","E","0.439648010880328","0.473724157328318","0","****","blank-div.median"
"5","blank","lossf","A","F","0.0493435867933321","0.00119120146728902","4.27794970064735e-191","****","blank-lossf"
"6","blank","max","A","G","0.442713398218345","0.476943375670321","0","****","blank-max"
"7","blank","MBQN","A","H","0.115250313957467","0.067440269753878","0","****","blank-MBQN"
"8","blank","quantiles","A","I","0.0271320964187192","0.00531027625090996","3.42483110357267e-111","****","blank-quantiles"
"9","blank","quantiles.robust","A","J","0.108525135009254","0.0354914625660221","9.68781459501048e-264","****","blank-quantiles.robust"
"10","blank","Rlr","A","K","0.049423240468475","0.00625283559520606","5.03378957972305e-194","****","blank-Rlr"
"11","blank","sum","A","L","0.465172198966187","0.524600470519661","0","****","blank-sum"
"12","blank","TIC","A","M","0.0873640572624511","0.011179864284661","1.58129427994839e-220","****","blank-TIC"
"13","blank","vsn","A","N","0.458806210868581","0.514806544307067","0","****","blank-vsn"
"14","center.mean","center.median","B","C","0.00462938918550886","0","2.46881943149138e-15","****","center.mean-center.median"
"15","center.mean","div.mean","B","D","0.405501399527749","0.408029746711217","0","****","center.mean-div.mean"
"16","center.mean","div.median","B","E","0.405173630851338","0.408147823305835","0","****","center.mean-div.median"
"17","center.mean","lossf","B","F","0.0148692067643415","0","6.17078267024956e-32","****","center.mean-lossf"
"18","center.mean","max","B","G","0.408239018189355","0.418950120179061","0","****","center.mean-max"
"19","center.mean","MBQN","B","H","0.0807759339284766","0.029257714034071","1.00234626448991e-213","****","center.mean-MBQN"
"20","center.mean","quantiles","B","I","-0.00734228361027143","0","5.58055360676282e-19","****","center.mean-quantiles"
"21","center.mean","quantiles.robust","B","J","0.0740507549802637","0.0138774360494459","2.10939397509227e-161","****","center.mean-quantiles.robust"
"22","center.mean","Rlr","B","K","0.0149488604394844","0","7.41223443572303e-32","****","center.mean-Rlr"
"23","center.mean","sum","B","L","0.430697818937196","0.475929084982221","0","****","center.mean-sum"
"24","center.mean","TIC","B","M","0.0528896772334605","0","3.86506043583798e-106","****","center.mean-TIC"
"25","center.mean","vsn","B","N","0.42433183083959","0.459871008181978","0","****","center.mean-vsn"
"26","center.median","div.mean","C","D","0.40087201034224","0.40263208018119","0","****","center.median-div.mean"
"27","center.median","div.median","C","E","0.400544241665829","0.400385985607351","0","****","center.median-div.median"
"28","center.median","lossf","C","F","0.0102398175788327","0","1.45434939762526e-20","****","center.median-lossf"
"29","center.median","max","C","G","0.403609629003846","0.408057118226518","0","****","center.median-max"
"30","center.median","MBQN","C","H","0.0761465447429677","0.027849000466596","1.40740871053276e-191","****","center.median-MBQN"
"31","center.median","quantiles","C","I","-0.0119716727957803","0","1.36322072648146e-48","****","center.median-quantiles"
"32","center.median","quantiles.robust","C","J","0.0694213657947548","0.01421597374771","1.6079366115948e-150","****","center.median-quantiles.robust"
"33","center.median","Rlr","C","K","0.0103194712539755","0","9.27185819528386e-21","****","center.median-Rlr"
"34","center.median","sum","C","L","0.426068429751687","0.458605886092625","0","****","center.median-sum"
"35","center.median","TIC","C","M","0.0482602880479517","0","1.14406038300302e-98","****","center.median-TIC"
"36","center.median","vsn","C","N","0.419702441654081","0.452569637855252","0","****","center.median-vsn"
"37","div.mean","div.median","D","E","-0.000327768676411068","0","0.00114686652807634","**","div.mean-div.median"
"38","div.mean","lossf","D","F","-0.390632192763407","-0.367903886022982","0","****","div.mean-lossf"
"39","div.mean","max","D","G","0.00273761866160601","0","4.65585332891956e-10","****","div.mean-max"
"40","div.mean","MBQN","D","H","-0.324725465599272","-0.317297240535814","0","****","div.mean-MBQN"
"41","div.mean","quantiles","D","I","-0.41284368313802","-0.426141261763923","0","****","div.mean-quantiles"
"42","div.mean","quantiles.robust","D","J","-0.331450644547485","-0.242893672589139","0","****","div.mean-quantiles.robust"
"43","div.mean","Rlr","D","K","-0.390552539088264","-0.368077910776901","0","****","div.mean-Rlr"
"44","div.mean","sum","D","L","0.0251964194094473","0","6.25634384484937e-103","****","div.mean-sum"
"45","div.mean","TIC","D","M","-0.352611722294288","-0.238307217197195","0","****","div.mean-TIC"
"46","div.mean","vsn","D","N","0.0188304313118417","0","7.81238893671647e-56","****","div.mean-vsn"
"47","div.median","lossf","E","F","-0.390304424086996","-0.3657823009176","0","****","div.median-lossf"
"48","div.median","max","E","G","0.00306538733801708","0","1.10015522337633e-11","****","div.median-max"
"49","div.median","MBQN","E","H","-0.324397696922861","-0.315165232989242","0","****","div.median-MBQN"
"50","div.median","quantiles","E","I","-0.412515914461609","-0.424518620836598","0","****","div.median-quantiles"
"51","div.median","quantiles.robust","E","J","-0.331122875871074","-0.23947236027974","0","****","div.median-quantiles.robust"
"52","div.median","Rlr","E","K","-0.390224770411853","-0.367645314676042","0","****","div.median-Rlr"
"53","div.median","sum","E","L","0.0255241880858583","0","2.18773025061294e-103","****","div.median-sum"
"54","div.median","TIC","E","M","-0.352283953617877","-0.238635373342774","0","****","div.median-TIC"
"55","div.median","vsn","E","N","0.0191581999882528","0","4.36597731806301e-57","****","div.median-vsn"
"56","lossf","max","F","G","0.393369811425013","0.381881307912987","0","****","lossf-max"
"57","lossf","MBQN","F","H","0.0659067271641351","0.0117525550937629","4.76647058303475e-139","****","lossf-MBQN"
"58","lossf","quantiles","F","I","-0.022211490374613","0","1.85405614345391e-69","****","lossf-quantiles"
"59","lossf","quantiles.robust","F","J","0.0591815482159221","0.025421098663377","2.04896214080244e-156","****","lossf-quantiles.robust"
"60","lossf","Rlr","F","K","7.9653675142857e-05","0","0.848160465328503","na","lossf-Rlr"
"61","lossf","sum","F","L","0.415828612172854","0.425611223813096","0","****","lossf-sum"
"62","lossf","TIC","F","M","0.038020470469119","0.00190139667214398","4.23958135199416e-110","****","lossf-TIC"
"63","lossf","vsn","F","N","0.409462624075249","0.418604737010203","0","****","lossf-vsn"
"64","max","MBQN","G","H","-0.327463084260878","-0.319260195648453","0","****","max-MBQN"
"65","max","quantiles","G","I","-0.415581301799626","-0.434968100748364","0","****","max-quantiles"
"66","max","quantiles.robust","G","J","-0.334188263209091","-0.249939896621322","0","****","max-quantiles.robust"
"67","max","Rlr","G","K","-0.39329015774987","-0.381998190985347","0","****","max-Rlr"
"68","max","sum","G","L","0.0224588007478413","0","2.69803290324475e-82","****","max-sum"
"69","max","TIC","G","M","-0.355349340955894","-0.252940897951063","0","****","max-TIC"
"70","max","vsn","G","N","0.0160928126502357","0","2.23707371166736e-44","****","max-vsn"
"71","MBQN","quantiles","H","I","-0.088118217538748","-0.038979154560736","1.10751159682243e-258","****","MBQN-quantiles"
"72","MBQN","quantiles.robust","H","J","-0.00672517894821295","0","0.0478491510387489","*","MBQN-quantiles.robust"
"73","MBQN","Rlr","H","K","-0.0658270734889922","-0.016998165032984","7.95065424108894e-138","****","MBQN-Rlr"
"74","MBQN","sum","H","L","0.349921885008719","0.382018697630391","0","****","MBQN-sum"
"75","MBQN","TIC","H","M","-0.0278862566950161","-0.00368176117577002","8.12945934875407e-19","****","MBQN-TIC"
"76","MBQN","vsn","H","N","0.343555896911114","0.37788805784484","0","****","MBQN-vsn"
"77","quantiles","quantiles.robust","I","J","0.0813930385905351","0.015698751690457","3.45976053141825e-194","****","quantiles-quantiles.robust"
"78","quantiles","Rlr","I","K","0.0222911440497558","0","3.00971745140606e-71","****","quantiles-Rlr"
"79","quantiles","sum","I","L","0.438040102547467","0.498241288957942","0","****","quantiles-sum"
"80","quantiles","TIC","I","M","0.060231960843732","0","5.61096655393596e-134","****","quantiles-TIC"
"81","quantiles","vsn","I","N","0.431674114449862","0.478713553878169","0","****","quantiles-vsn"
"82","quantiles.robust","Rlr","J","K","-0.0591018945407793","-0.023448552547338","6.54086865319552e-155","****","quantiles.robust-Rlr"
"83","quantiles.robust","sum","J","L","0.356647063956932","0.31328968451526","0","****","quantiles.robust-sum"
"84","quantiles.robust","TIC","J","M","-0.0211610777468031","-0.00332755757130102","2.67531952895338e-24","****","quantiles.robust-TIC"
"85","quantiles.robust","vsn","J","N","0.350281075859327","0.296637060354404","0","****","quantiles.robust-vsn"
"86","Rlr","sum","K","L","0.415748958497712","0.432599455600688","0","****","Rlr-sum"
"87","Rlr","TIC","K","M","0.0379408167939761","0.000338201421436035","5.43293541783248e-109","****","Rlr-TIC"
"88","Rlr","vsn","K","N","0.409382970400106","0.420942784881001","0","****","Rlr-vsn"
"89","sum","TIC","L","M","-0.377808141703735","-0.279544492448627","0","****","sum-TIC"
"90","sum","vsn","L","N","-0.00636598809760555","0","1.23327438694343e-12","****","sum-vsn"
"91","TIC","vsn","M","N","0.37144215360613","0.26989794051449","0","****","TIC-vsn"
