"pauc001feature","pauc001sr","pauc001rank","pauc005feature","pauc005sr","pauc005rank","pauc01feature","pauc01sr","pauc01rank","nMCCfeature","nMCCsr","nMCCrank","G-meanfeature","G-meansr","G-meanrank","avg_rank"
"1","Impseq",1,1,"Impseq",1,1,"Impseq",1,1,"Impseq",0.8,4,"Impseq",0.866666666666667,3,2
"2","MinDet",0.933333333333333,2,"MinDet",0.8,4,"MinDet",0.8,4,"MinDet",0.866666666666667,3,"MinDet",0.733333333333333,5,3.6
"3","MinProb",0.866666666666667,3,"MinProb",0.733333333333333,5,"MinProb",0.666666666666667,6,"MinProb",0.733333333333333,5,"MinProb",0.666666666666667,6,5
"4","GMS",0.8,4,"GMS",0.866666666666667,3,"GMS",0.866666666666667,3,"GMS",0.466666666666667,9,"GMS",0.466666666666667,9,5.6
"5","bpca",0.733333333333333,5,"bpca",0.933333333333333,2,"bpca",0.933333333333333,2,"bpca",0.533333333333333,8,"bpca",0.533333333333333,8,5
"6","nbavg",0.666666666666667,6,"nbavg",0.6,7,"nbavg",0.533333333333333,8,"nbavg",0.933333333333333,2,"nbavg",0.933333333333333,2,5
"7","SeqKNN",0.6,7,"SeqKNN",0.533333333333333,8,"SeqKNN",0.6,7,"SeqKNN",0.266666666666667,12,"SeqKNN",0.266666666666667,12,9.2
"8","missForest",0.533333333333333,8,"missForest",0.666666666666667,6,"missForest",0.733333333333333,5,"missForest",0.333333333333333,11,"missForest",0.333333333333333,11,8.2
"9","QRILC",0.466666666666667,9,"QRILC",0.466666666666667,9,"QRILC",0.466666666666667,9,"QRILC",0.666666666666667,6,"QRILC",0.6,7,8
"10","min",0.4,10,"min",0.4,10,"min",0.333333333333333,11,"min",1,1,"min",1,1,6.6
"11","mice",0.333333333333333,11,"mice",0.333333333333333,11,"mice",0.4,10,"mice",0.4,10,"mice",0.4,10,10.4
"12","knn",0.266666666666667,12,"knn",0.2,13,"knn",0.2,13,"knn",0.133333333333333,14,"knn",0.133333333333333,14,13.2
"13","Impseqrob",0.2,13,"Impseqrob",0.266666666666667,12,"Impseqrob",0.266666666666667,12,"Impseqrob",0.2,13,"Impseqrob",0.2,13,12.6
"14","blank",0.133333333333333,14,"blank",0.0666666666666667,15,"blank",0.0666666666666667,15,"blank",0.0666666666666667,15,"blank",0,16,15
"15","zero",0.0666666666666667,15,"zero",0.133333333333333,14,"zero",0.133333333333333,14,"zero",0.6,7,"zero",0.8,4,10.8
"16","MLE",0,16,"MLE",0,16,"MLE",0,16,"MLE",0,16,"MLE",0.0666666666666667,15,15.8
