"ANOVA","DEP","limma","proDA","ROTS","SAM","ttest"
"|spt|top1|MLE|blank_nMcc_B.A_HYEtims735_DIA",0.787594048894294,0.759932993001031,0.799259808109802,0.787902235910094,0.8052527998266,0.800589294685685,0.795939698087845
"|spt|top1|MLE|blank_nMcc_C.A_MYtims709_DIA",0.553789472673601,0.578908463481176,0.515321791002688,0.497628863970272,0.526861186136041,0.618061184819301,0.484706993738596
"|spt|top1|MLE|blank_nMcc_C.B_MYtims709_DIA",0.6793793740779,0.651239455404957,0.696907514153341,0.697159807888058,0.688739735345752,0.68026147396081,0.662829003904492
"|spt|top1|MLE|blank_nMcc_E.C_MYtims709_DIA",0.576776812713094,0.564511597438427,0.605940132591048,0.607665247029142,0.594153993380996,0.5,0.565302184175423
"|spt|top1|MLE|blank_nMcc_E.B_HEof_n600_DIA",0.680793845882227,0.572996758114733,0.580900638049995,0.574194642768297,0.58534532507577,0.5,0.568753056456044
"|spt|top1|MLE|blank_nMcc_E.C_HEof_n600_DIA",0.698209413872409,0.734114367050409,0.702917487598686,0.711937316410971,0.69300059447679,0.5,0.702133664653141
"|spt|top1|MLE|blank_nMcc_G.F_HEof_n600_DIA",0.810064245675681,0.934682522161355,0.967152005633761,0.931898035202535,0.957397003745318,0.5,0.828804348234773
"|spt|top1|MLE|blank_nMcc_A.B_HEof_w600_DIA",0.736897941444218,0.572843600047126,0.497615919050444,0.497615919050444,0.498314605677695,0.5,0.497615919050444
"|spt|top1|MLE|blank_nMcc_E.A_HEof_w600_DIA",0.648311853385606,0.526629617518221,0.510805889772233,0.514220242231643,0.54287687127148,0.5,0.49522493938221
"|spt|top1|MLE|blank_nMcc_F.C_HEof_w600_DIA",0.729693030137037,0.769380636346422,0.769380636346422,0.769380636346422,0.780499910123389,0.5,0.67982237013507
"|spt|top1|MLE|blank_nMcc_B.A_HEqe777_DIA",0.576851648782826,0.570320885125171,0.540909393568392,0.496763680697803,0.496763680697803,0.5,0.496763680697803
"|spt|top1|MLE|blank_nMcc_C.A_HEqe777_DIA",0.783981077995279,0.792032442675834,0.78849774989516,0.781895261825577,0.801578875206547,0.5,0.731503288790583
"|spt|top1|MLE|blank_nMcc_C.B_HEqe777_DIA",0.710373268581854,0.729778363443052,0.729778363443052,0.717408507278994,0.73200930027531,0.5,0.66698373217646
"|spt|top1|MLE|blank_nMcc_B.A_HEqe408_DIA",0.848426525548742,0.783633046783845,0.837546372984033,0.831197788892048,0.845916788069827,0.842129266650721,0.831177289625301
"|spt|top1|MLE|sum_nMcc_B.A_HYEtims735_DIA",0.539841229329054,0.515177445350201,0.563322515675939,0.506433427120774,0.563322515675939,0.563225565264194,0.555120427360019
"|spt|top1|MLE|sum_nMcc_E.B_HEof_n600_DIA",0.530182946364697,0.495749795719648,0.495749795719648,0.495749795719648,0.495749795719648,0.5,0.495749795719648
"|spt|top1|MLE|sum_nMcc_E.C_HEof_n600_DIA",0.495749795719648,0.496065978887201,0.496065978887201,0.496065978887201,0.496065978887201,0.5,0.496065978887201
"|spt|top1|MLE|sum_nMcc_G.F_HEof_n600_DIA",0.496065978887201,0.5,0.5,0.5,0.5,0.5,0.5
"|spt|top1|MLE|sum_nMcc_A.B_HEof_w600_DIA",0.55082258447376,0.494396687184349,0.497615919050444,0.497615919050444,0.497615919050444,0.5,0.497615919050444
"|spt|top1|MLE|sum_nMcc_E.A_HEof_w600_DIA",0.536424168351142,0.495534417263812,0.495534417263812,0.495534417263812,0.495534417263812,0.5,0.495534417263812
"|spt|top1|MLE|sum_nMcc_F.C_HEof_w600_DIA",0.519325620057386,0.539265760309559,0.539265760309559,0.539265760309559,0.549271006290826,0.5,0.539265760309559
"|spt|top1|MLE|sum_nMcc_C.B_HYtims134_DIA",0.525725843492279,0.495701577125922,0.495701577125922,0.495701577125922,0.5,0.5,0.495701577125922
"|spt|top1|MLE|sum_nMcc_D.B_HYtims134_DIA",0.52339145784857,0.495701577125922,0.495701577125922,0.495701577125922,0.5,0.5,0.495701577125922
"|spt|top1|MLE|sum_nMcc_D.C_HYtims134_DIA",0.486291149792715,0.495701577125922,0.495701577125922,0.495701577125922,0.5,0.5,0.495701577125922
"|spt|top1|MLE|sum_nMcc_B.A_HEqe777_DIA",0.517496570849659,0.496763680697803,0.496763680697803,0.496763680697803,0.496763680697803,0.5,0.496763680697803
"|spt|top1|MLE|sum_nMcc_C.A_HEqe777_DIA",0.539554586752712,0.496763680697803,0.496763680697803,0.496763680697803,0.496763680697803,0.5,0.496763680697803
"|spt|top1|MLE|sum_nMcc_C.B_HEqe777_DIA",0.515185086961878,0.495422483878466,0.495422483878466,0.495422483878466,0.495422483878466,0.5,0.495422483878466
"|spt|top1|MLE|sum_nMcc_B.A_HEqe408_DIA",0.571968253759303,0.496693664842467,0.513452861973204,0.5,0.529077744964444,0.529077744964444,0.495323694213241
"|spt|top1|MLE|max_nMcc_B.A_HYEtims735_DIA",0.530979926431712,0.515177445350201,0.563136422774544,0.506433427120774,0.571175080621679,0.563073724468281,0.555120427360019
"|spt|top1|MLE|max_nMcc_E.B_HEof_n600_DIA",0.530182946364697,0.495749795719648,0.495749795719648,0.495749795719648,0.494428774831426,0.5,0.495749795719648
"|spt|top1|MLE|max_nMcc_E.C_HEof_n600_DIA",0.495749795719648,0.496065978887201,0.496065978887201,0.496065978887201,0.496065978887201,0.5,0.496065978887201
"|spt|top1|MLE|max_nMcc_G.F_HEof_n600_DIA",0.495749795719648,0.5,0.5,0.5,0.5,0.5,0.5
"|spt|top1|MLE|max_nMcc_A.B_HEof_w600_DIA",0.543717179353116,0.493674022681128,0.497615919050444,0.497615919050444,0.498314605677695,0.5,0.497615919050444
"|spt|top1|MLE|max_nMcc_E.A_HEof_w600_DIA",0.532834834655097,0.49522493938221,0.49522493938221,0.49522493938221,0.49522493938221,0.5,0.49522493938221
"|spt|top1|MLE|max_nMcc_F.C_HEof_w600_DIA",0.517804195062878,0.539265760309559,0.539265760309559,0.539265760309559,0.539265760309559,0.5,0.539265760309559
"|spt|top1|MLE|max_nMcc_B.A_HEqe777_DIA",0.517496570849659,0.496763680697803,0.496763680697803,0.496763680697803,0.496763680697803,0.5,0.496763680697803
"|spt|top1|MLE|max_nMcc_C.A_HEqe777_DIA",0.537370395325747,0.496763680697803,0.496763680697803,0.496763680697803,0.496315706075309,0.5,0.496763680697803
"|spt|top1|MLE|max_nMcc_C.B_HEqe777_DIA",0.512649089391221,0.494881807022548,0.494881807022548,0.494881807022548,0.491742327806499,0.5,0.494881807022548
"|spt|top1|MLE|max_nMcc_B.A_HEqe408_DIA",0.573871363686389,0.496693664842467,0.513452861973204,0.5,0.529077744964444,0.529077744964444,0.495323694213241
"|spt|top1|MLE|center.mean_nMcc_B.A_HYEtims735_DIA",0.776075640988437,0.760301701754284,0.793547531651654,0.782459664610829,0.80001106593593,0.8000312083457,0.790431208963554
"|spt|top1|MLE|center.mean_nMcc_C.A_MYtims709_DIA",0.554976369788216,0.584467199880578,0.519769176245784,0.501610614447232,0.53009693577935,0.612823123191035,0.488367557679598
"|spt|top1|MLE|center.mean_nMcc_C.B_MYtims709_DIA",0.665300756539548,0.653952074834816,0.689388007703858,0.690464191621875,0.671135187627378,0.67279886177363,0.654093117370266
"|spt|top1|MLE|center.mean_nMcc_E.C_MYtims709_DIA",0.569078222003434,0.563484967420841,0.606220665376975,0.60810168388954,0.594890477009183,0.5,0.563472795171539
"|spt|top1|MLE|center.mean_nMcc_E.B_HEof_n600_DIA",0.608551074967494,0.589915314336047,0.577067102793135,0.594826988798564,0.60841259215012,0.5,0.515553003595602
"|spt|top1|MLE|center.mean_nMcc_E.C_HEof_n600_DIA",0.682659498338333,0.747146861206883,0.731647211630926,0.741952048424216,0.697795911969016,0.5,0.64861282387956
"|spt|top1|MLE|center.mean_nMcc_G.F_HEof_n600_DIA",0.859625167081139,0.943370457986716,0.956619311205094,0.956038062493193,0.952579900311347,0.5,0.925759597376809
"|spt|top1|MLE|center.mean_nMcc_A.B_HEof_w600_DIA",0.53810621198891,0.534534873991132,0.497079406257967,0.497079406257967,0.498314605677695,0.5,0.497079406257967
"|spt|top1|MLE|center.mean_nMcc_E.A_HEof_w600_DIA",0.561835784128916,0.537334804617026,0.528587733701224,0.531292504178106,0.55021821090959,0.5,0.494934060761656
"|spt|top1|MLE|center.mean_nMcc_F.C_HEof_w600_DIA",0.730085513217308,0.785359924556076,0.780499910123389,0.780499910123389,0.773756192065752,0.5,0.759751704778107
"|spt|top1|MLE|center.mean_nMcc_C.B_HYtims134_DIA",0.550402629635037,0.525362631532408,0.495701577125922,0.495701577125922,0.5,0.5,0.495701577125922
"|spt|top1|MLE|center.mean_nMcc_D.B_HYtims134_DIA",0.626030033792755,0.613875645148487,0.599915169396984,0.495701577125922,0.610221337026013,0.5,0.501727546216579
"|spt|top1|MLE|center.mean_nMcc_D.C_HYtims134_DIA",0.513502450070938,0.50182642162665,0.495701577125922,0.495701577125922,0.5,0.5,0.495701577125922
"|spt|top1|MLE|center.mean_nMcc_B.A_HEqe777_DIA",0.550728430587949,0.523441438298024,0.527230824765914,0.496763680697803,0.521871266833623,0.5,0.496763680697803
"|spt|top1|MLE|center.mean_nMcc_C.A_HEqe777_DIA",0.784022058454401,0.786451370754109,0.788443668372866,0.778487911821254,0.797747377504613,0.5,0.739627262119961
"|spt|top1|MLE|center.mean_nMcc_C.B_HEqe777_DIA",0.739287055924455,0.744345284507785,0.742715412430612,0.737207901302157,0.752250575395978,0.5,0.699842156393642
"|spt|top1|MLE|center.mean_nMcc_B.A_HEqe408_DIA",0.792360578553222,0.790463777010768,0.814325764674919,0.811082626117848,0.815239568580259,0.8141010879006,0.810697970793301
"|spt|top1|MLE|center.median_nMcc_B.A_HYEtims735_DIA",0.775216853141259,0.758412690873351,0.792987763942174,0.781172161648186,0.804195849978749,0.799258789554418,0.789888908892919
"|spt|top1|MLE|center.median_nMcc_C.A_MYtims709_DIA",0.550051014399025,0.576290478968821,0.513230164408448,0.496072092358725,0.523727234305487,0.613809935105794,0.483108314255088
"|spt|top1|MLE|center.median_nMcc_C.B_MYtims709_DIA",0.663002706135718,0.652829301159436,0.685895921682403,0.686586571575257,0.666763309016265,0.670503983396759,0.65006832912978
"|spt|top1|MLE|center.median_nMcc_E.C_MYtims709_DIA",0.558907999436845,0.560509228516048,0.595750062421026,0.597610403258809,0.580097681056436,0.5,0.551049014827682
"|spt|top1|MLE|center.median_nMcc_E.B_HEof_n600_DIA",0.613203500233203,0.591484022123082,0.579296217177594,0.594826988798564,0.603754008032934,0.5,0.51672564551938
"|spt|top1|MLE|center.median_nMcc_E.C_HEof_n600_DIA",0.683608856013165,0.739097760370402,0.731647211630926,0.744873142822403,0.699043643669573,0.5,0.653276559521821
"|spt|top1|MLE|center.median_nMcc_G.F_HEof_n600_DIA",0.857081948720084,0.934682522161355,0.962365659004264,0.956038062493193,0.952579900311347,0.5,0.913227827586941
"|spt|top1|MLE|center.median_nMcc_A.B_HEof_w600_DIA",0.53810621198891,0.534534873991132,0.497079406257967,0.497079406257967,0.498314605677695,0.5,0.497079406257967
"|spt|top1|MLE|center.median_nMcc_E.A_HEof_w600_DIA",0.571337857800911,0.527287999482292,0.527390133804227,0.529883298959368,0.544415894634927,0.5,0.494658741481137
"|spt|top1|MLE|center.median_nMcc_F.C_HEof_w600_DIA",0.725888739540078,0.791519365534375,0.780499910123389,0.780499910123389,0.780499910123389,0.5,0.759751704778107
"|spt|top1|MLE|center.median_nMcc_C.B_HYtims134_DIA",0.55156993855467,0.525362631532408,0.495701577125922,0.495701577125922,0.5,0.5,0.495701577125922
"|spt|top1|MLE|center.median_nMcc_D.B_HYtims134_DIA",0.613302250518596,0.601985821290424,0.584345538043644,0.495701577125922,0.599470196617566,0.5,0.503749603981548
"|spt|top1|MLE|center.median_nMcc_D.C_HYtims134_DIA",0.507601733804119,0.498142049516663,0.495701577125922,0.495701577125922,0.5,0.5,0.495701577125922
"|spt|top1|MLE|center.median_nMcc_B.A_HEqe777_DIA",0.557964432347462,0.539472477163736,0.528891775403148,0.496763680697803,0.526203435093284,0.5,0.496763680697803
"|spt|top1|MLE|center.median_nMcc_C.A_HEqe777_DIA",0.788353568046291,0.788554362272902,0.788612488653295,0.779426743382186,0.80111828436043,0.5,0.740190424834944
"|spt|top1|MLE|center.median_nMcc_C.B_HEqe777_DIA",0.739287055924455,0.746077862016004,0.743147754568192,0.737207901302157,0.751756515470912,0.5,0.698517597399871
"|spt|top1|MLE|center.median_nMcc_B.A_HEqe408_DIA",0.796247204193031,0.798209304125073,0.815844765131517,0.813825017291403,0.818246206923206,0.815979766742453,0.812651213406996
"|spt|top1|MLE|div.mean_nMcc_B.A_HYEtims735_DIA",0.531293722211474,0.515177445350201,0.563136422774544,0.506433427120774,0.57380908415146,0.575324881543927,0.555120427360019
"|spt|top1|MLE|div.mean_nMcc_C.A_MYtims709_DIA",0.563131146826218,0.494500429135302,0.551056421702152,0.494500429135302,0.56080088512261,0.551032636073628,0.523348392534766
"|spt|top1|MLE|div.mean_nMcc_C.B_MYtims709_DIA",0.502269157651016,0.504628469498384,0.513183409799636,0.504628469498384,0.507834832604653,0.50162134196387,0.496557276483761
"|spt|top1|MLE|div.mean_nMcc_E.C_MYtims709_DIA",0.479481545967087,0.5,0.498993027805137,0.5,0.500858406988145,0.5,0.488473250158172
"|spt|top1|MLE|div.mean_nMcc_E.B_HEof_n600_DIA",0.530182946364697,0.495749795719648,0.495749795719648,0.495749795719648,0.495178506085816,0.5,0.495749795719648
"|spt|top1|MLE|div.mean_nMcc_E.C_HEof_n600_DIA",0.495749795719648,0.496065978887201,0.496065978887201,0.496065978887201,0.496065978887201,0.5,0.496065978887201
"|spt|top1|MLE|div.mean_nMcc_G.F_HEof_n600_DIA",0.495749795719648,0.5,0.5,0.5,0.5,0.5,0.5
"|spt|top1|MLE|div.mean_nMcc_A.B_HEof_w600_DIA",0.543717179353116,0.497615919050444,0.497615919050444,0.497615919050444,0.498314605677695,0.5,0.497615919050444
"|spt|top1|MLE|div.mean_nMcc_E.A_HEof_w600_DIA",0.532834834655097,0.49522493938221,0.49522493938221,0.49522493938221,0.49522493938221,0.5,0.49522493938221
"|spt|top1|MLE|div.mean_nMcc_F.C_HEof_w600_DIA",0.517804195062878,0.539265760309559,0.539265760309559,0.539265760309559,0.539265760309559,0.5,0.539265760309559
"|spt|top1|MLE|div.mean_nMcc_C.B_HYtims134_DIA",0.525725843492279,0.495701577125922,0.495701577125922,0.495701577125922,0.5,0.5,0.495701577125922
"|spt|top1|MLE|div.mean_nMcc_D.B_HYtims134_DIA",0.52339145784857,0.495701577125922,0.495701577125922,0.495701577125922,0.495701577125922,0.5,0.495701577125922
"|spt|top1|MLE|div.mean_nMcc_D.C_HYtims134_DIA",0.486291149792715,0.495701577125922,0.495701577125922,0.495701577125922,0.5,0.5,0.495701577125922
"|spt|top1|MLE|div.mean_nMcc_B.A_HEqe777_DIA",0.515875832939883,0.496763680697803,0.496763680697803,0.496763680697803,0.496763680697803,0.5,0.496763680697803
"|spt|top1|MLE|div.mean_nMcc_C.A_HEqe777_DIA",0.537370395325747,0.496763680697803,0.496763680697803,0.496763680697803,0.496315706075309,0.5,0.496763680697803
"|spt|top1|MLE|div.mean_nMcc_C.B_HEqe777_DIA",0.512649089391221,0.494881807022548,0.494881807022548,0.494881807022548,0.493841851867849,0.5,0.494881807022548
"|spt|top1|MLE|div.mean_nMcc_B.A_HEqe408_DIA",0.572213416756045,0.5,0.511205721712992,0.5,0.544550788619034,0.529077744964444,0.495323694213241
"|spt|top1|MLE|div.median_nMcc_B.A_HYEtims735_DIA",0.531293722211474,0.515177445350201,0.563136422774544,0.506433427120774,0.57380908415146,0.575324881543927,0.555120427360019
"|spt|top1|MLE|div.median_nMcc_C.A_MYtims709_DIA",0.563131146826218,0.494500429135302,0.551056421702152,0.494500429135302,0.56080088512261,0.551032636073628,0.524073186336037
"|spt|top1|MLE|div.median_nMcc_C.B_MYtims709_DIA",0.502269157651016,0.504628469498384,0.513183409799636,0.504628469498384,0.507834832604653,0.50172056464008,0.496557276483761
"|spt|top1|MLE|div.median_nMcc_E.C_MYtims709_DIA",0.479481545967087,0.5,0.498993027805137,0.5,0.500858406988145,0.5,0.488473250158172
"|spt|top1|MLE|div.median_nMcc_E.B_HEof_n600_DIA",0.530182946364697,0.495749795719648,0.495749795719648,0.495749795719648,0.495178506085816,0.5,0.495749795719648
"|spt|top1|MLE|div.median_nMcc_E.C_HEof_n600_DIA",0.495749795719648,0.496065978887201,0.496065978887201,0.496065978887201,0.496065978887201,0.5,0.496065978887201
"|spt|top1|MLE|div.median_nMcc_G.F_HEof_n600_DIA",0.495749795719648,0.5,0.5,0.5,0.5,0.5,0.5
"|spt|top1|MLE|div.median_nMcc_A.B_HEof_w600_DIA",0.543717179353116,0.497615919050444,0.497615919050444,0.497615919050444,0.498314605677695,0.5,0.497615919050444
"|spt|top1|MLE|div.median_nMcc_E.A_HEof_w600_DIA",0.532834834655097,0.49522493938221,0.49522493938221,0.49522493938221,0.49522493938221,0.5,0.49522493938221
"|spt|top1|MLE|div.median_nMcc_F.C_HEof_w600_DIA",0.517804195062878,0.539265760309559,0.539265760309559,0.539265760309559,0.539265760309559,0.5,0.539265760309559
"|spt|top1|MLE|div.median_nMcc_C.B_HYtims134_DIA",0.524527512853725,0.495701577125922,0.495701577125922,0.495701577125922,0.5,0.5,0.495701577125922
"|spt|top1|MLE|div.median_nMcc_D.B_HYtims134_DIA",0.521282872616806,0.495701577125922,0.495701577125922,0.495701577125922,0.495701577125922,0.5,0.495701577125922
"|spt|top1|MLE|div.median_nMcc_D.C_HYtims134_DIA",0.486291149792715,0.495701577125922,0.495701577125922,0.495701577125922,0.5,0.5,0.495701577125922
"|spt|top1|MLE|div.median_nMcc_B.A_HEqe777_DIA",0.515875832939883,0.496763680697803,0.496763680697803,0.496763680697803,0.496763680697803,0.5,0.496763680697803
"|spt|top1|MLE|div.median_nMcc_C.A_HEqe777_DIA",0.537370395325747,0.496763680697803,0.496763680697803,0.496763680697803,0.498899798529107,0.5,0.496763680697803
"|spt|top1|MLE|div.median_nMcc_C.B_HEqe777_DIA",0.512649089391221,0.494881807022548,0.494881807022548,0.494881807022548,0.493489752005427,0.5,0.494881807022548
"|spt|top1|MLE|div.median_nMcc_B.A_HEqe408_DIA",0.572213416756045,0.496693664842467,0.511205721712992,0.5,0.543889802577145,0.529077744964444,0.495323694213241
"|spt|top1|MLE|quantiles_nMcc_A.B_HEof_w600_DIA",0.749351612787581,0.532834834655097,0.49662677669372,0.497615919050444,0.498314605677695,0.5,0.497615919050444
"|spt|top1|MLE|quantiles_nMcc_E.A_HEof_w600_DIA",0.662611465211245,0.535172033814022,0.529883298959368,0.515285142075926,0.54899399936543,0.5,0.519325620057386
"|spt|top1|MLE|quantiles_nMcc_F.C_HEof_w600_DIA",0.73489736788539,0.779553996379217,0.780499910123389,0.780499910123389,0.773756192065752,0.5,0.739424043595274
"|spt|top1|MLE|quantiles_nMcc_C.B_HYtims134_DIA",0.54838481830575,0.521571734342968,0.495701577125922,0.495701577125922,0.5,0.5,0.495701577125922
"|spt|top1|MLE|quantiles_nMcc_D.B_HYtims134_DIA",0.628934681881462,0.621009733715091,0.608785430641598,0.495701577125922,0.622233155741247,0.5,0.514152994420434
"|spt|top1|MLE|quantiles_nMcc_D.C_HYtims134_DIA",0.510113448216403,0.496875968727375,0.495701577125922,0.495701577125922,0.5,0.5,0.495701577125922
"|spt|top1|MLE|quantiles_nMcc_B.A_HEqe777_DIA",0.539750043736658,0.521871266833623,0.52563005711628,0.496763680697803,0.517376398763308,0.5,0.496763680697803
"|spt|top1|MLE|quantiles_nMcc_C.A_HEqe777_DIA",0.778622561332255,0.786561735020346,0.787706677087269,0.78130440650405,0.797044608145051,0.5,0.738466894947835
"|spt|top1|MLE|quantiles_nMcc_C.B_HEqe777_DIA",0.725041835554507,0.745427467802229,0.746723941517611,0.738325801720444,0.749698659613508,0.5,0.696489797592619
"|spt|top1|MLE|quantiles_nMcc_B.A_HEqe408_DIA",0.807197922299325,0.788785429011615,0.809729894233906,0.81032644990413,0.812340426923594,0.811474994902066,0.808757925168396
"|spt|top1|MLE|quantiles.robust_nMcc_B.A_HYEtims735_DIA",0.710937166745053,0.70833949093204,0.722078894014159,0.710266764422927,0.730932154088066,0.7306264388116,0.721011108126239
"|spt|top1|MLE|quantiles.robust_nMcc_C.A_MYtims709_DIA",0.545487883886732,0.5,0.5,0.5,0.332421583830972,0.5,0.5
"|spt|top1|MLE|quantiles.robust_nMcc_C.B_MYtims709_DIA",0.434453762129526,0.498875823778431,0.5,0.5,0.48899942006696,0.5,0.5
"|spt|top1|MLE|quantiles.robust_nMcc_E.C_MYtims709_DIA",0.417139877390833,0.494500429135302,0.5,0.5,0.5,0.5,0.5
"|spt|top1|MLE|quantiles.robust_nMcc_B.A_HEqe408_DIA",0.741735769389095,0.744927943710281,0.75232055137086,0.755497520301993,0.751259828584791,0.752772032600494,0.751833790592354
"|spt|top1|MLE|vsn_nMcc_B.A_HYEtims735_DIA",0.5,0.5,0.5,0.5,0.5,0.5,0.5
"|spt|top1|MLE|vsn_nMcc_A.B_HEof_w600_DIA",0.5,0.5,0.5,0.5,0.5,0.5,0.5
"|spt|top1|MLE|vsn_nMcc_E.A_HEof_w600_DIA",0.5,0.5,0.5,0.5,0.5,0.5,0.5
"|spt|top1|MLE|vsn_nMcc_F.C_HEof_w600_DIA",0.5,0.5,0.5,0.5,0.5,0.5,0.5
"|spt|top1|MLE|lossf_nMcc_B.A_HYEtims735_DIA",0.766438946031715,0.743608099501233,0.777160936864103,0.76496695136117,0.789227417047034,0.783565627172294,0.773410821534756
"|spt|top1|MLE|lossf_nMcc_C.A_MYtims709_DIA",0.447880901200458,0.4385232240388,0.417121812818217,0.397480178628956,0.424824214880475,0.474580834704915,0.393694938744928
"|spt|top1|MLE|lossf_nMcc_C.B_MYtims709_DIA",0.510034534691497,0.559837474365299,0.492607082525917,0.490045931445148,0.493976114213413,0.528616111261306,0.480762232282756
"|spt|top1|MLE|lossf_nMcc_E.C_MYtims709_DIA",0.531011002897523,0.538122025826745,0.533103382210855,0.534956178503723,0.523095519109786,0.5,0.509350323715082
"|spt|top1|MLE|lossf_nMcc_E.B_HEof_n600_DIA",0.698563520577851,0.588408791422351,0.576003633061094,0.594826988798564,0.607603677427897,0.5,0.495178506085816
