"mat1","mat2","abbr1","abbr2","mean","median","t_pval","significance","contrast"
"1","ANOVA","DEP","A","B","0.00774850340294004","0","3.23381173561581e-33","****","ANOVA-DEP"
"2","ANOVA","limma","A","C","-0.00223293694966218","0","6.3327028461387e-05","****","ANOVA-limma"
"3","ANOVA","proDA","A","D","0.00901875315570318","0","4.24566338339126e-48","****","ANOVA-proDA"
"4","ANOVA","ROTS","A","E","-0.0107232016402226","0","2.1616287181431e-84","****","ANOVA-ROTS"
"5","ANOVA","SAM","A","F","0.106462882276331","0.029248928558162","0","****","ANOVA-SAM"
"6","ANOVA","ttest","A","G","0.0347800394703386","0.01199590804359","0","****","ANOVA-ttest"
"7","DEP","limma","B","C","-0.00998144035260221","0","1.95792297696139e-83","****","DEP-limma"
"8","DEP","proDA","B","D","0.00127024975276313","0","0.0211970568851606","*","DEP-proDA"
"9","DEP","ROTS","B","E","-0.0184717050431626","0","3.55855458746484e-233","****","DEP-ROTS"
"10","DEP","SAM","B","F","0.0987143788733908","0.016462271034397","0","****","DEP-SAM"
"11","DEP","ttest","B","G","0.0270315360673985","0.011558521455718","3.15199591998278e-301","****","DEP-ttest"
"12","limma","proDA","C","D","0.0112516901053653","0.000581248711901017","7.80813823183555e-281","****","limma-proDA"
"13","limma","ROTS","C","E","-0.00849026469056039","0","1.60171086627617e-148","****","limma-ROTS"
"14","limma","SAM","C","F","0.108695819225993","0.00199420491587399","0","****","limma-SAM"
"15","limma","ttest","C","G","0.0370129764200007","0.01052718380756","0","****","limma-ttest"
"16","proDA","ROTS","D","E","-0.0197419547959257","-0.00270085657761698","0","****","proDA-ROTS"
"17","proDA","SAM","D","F","0.0974441291206277","0","0","****","proDA-SAM"
"18","proDA","ttest","D","G","0.0257612863146354","7.00435415920131e-05","0","****","proDA-ttest"
"19","ROTS","SAM","E","F","0.117186083916553","0.00674116868320795","0","****","ROTS-SAM"
"20","ROTS","ttest","E","G","0.0455032411105611","0.012571935314129","0","****","ROTS-ttest"
"21","SAM","ttest","F","G","-0.0716828428059923","0","0","****","SAM-ttest"
