"mat1","mat2","abbr1","abbr2","mean","median","t_pval","significance","contrast"
"1","blank","bpca","A","B","-0.00773897513067462","0","3.02947702124661e-22","****","blank-bpca"
"2","blank","GMS","A","C","-0.00585855380473195","0","6.59735510301487e-12","****","blank-GMS"
"3","blank","Impseq","A","D","-0.010421215200229","0","6.9934958278353e-32","****","blank-Impseq"
"4","blank","Impseqrob","A","E","-0.00171474334303199","0","0.00675956223159706","**","blank-Impseqrob"
"5","blank","knn","A","F","-0.00121405247822269","0","0.0485763655068161","*","blank-knn"
"6","blank","mice","A","G","-0.00542635894804853","0","6.81158476250232e-16","****","blank-mice"
"7","blank","min","A","H","-0.0223408247331254","0","1.07605254992081e-95","****","blank-min"
"8","blank","MinDet","A","I","-0.0106658203656624","0","1.67491957681635e-39","****","blank-MinDet"
"9","blank","MinProb","A","J","-0.0101811041977617","0","5.17334165638717e-36","****","blank-MinProb"
"10","blank","missForest","A","K","-0.00469195752820509","0","1.10139120368727e-10","****","blank-missForest"
"11","blank","MLE","A","L","0.00680434661915455","0","3.90367017578522e-21","****","blank-MLE"
"12","blank","nbavg","A","M","-0.0186051814721271","0","5.74170780443566e-83","****","blank-nbavg"
"13","blank","QRILC","A","N","-0.00884077261694479","0","8.3907007849387e-31","****","blank-QRILC"
"14","blank","SeqKNN","A","O","-0.00371981912357087","0","1.44915286721735e-07","****","blank-SeqKNN"
"15","blank","zero","A","P","-0.00828599472832621","0","1.58313183796757e-16","****","blank-zero"
"16","bpca","GMS","B","C","0.00188042132594267","0","6.12635038273006e-07","****","bpca-GMS"
"17","bpca","Impseq","B","D","-0.00268224006955436","0","5.90441447789859e-12","****","bpca-Impseq"
"18","bpca","Impseqrob","B","E","0.00602423178764263","0","4.2556738188739e-34","****","bpca-Impseqrob"
"19","bpca","knn","B","F","0.00652492265245194","0","6.81519691047199e-37","****","bpca-knn"
"20","bpca","mice","B","G","0.00231261618262609","0","4.29255557886756e-09","****","bpca-mice"
"21","bpca","min","B","H","-0.0146018496024508","0","2.24269094666762e-48","****","bpca-min"
"22","bpca","MinDet","B","I","-0.00292684523498774","0","2.93875856820919e-08","****","bpca-MinDet"
"23","bpca","MinProb","B","J","-0.00244212906708707","0","2.6281440248067e-06","****","bpca-MinProb"
"24","bpca","missForest","B","K","0.00304701760246953","0","1.4012182135359e-26","****","bpca-missForest"
"25","bpca","MLE","B","L","0.0145433217498292","0.00160421706173702","3.23744448079216e-75","****","bpca-MLE"
"26","bpca","nbavg","B","M","-0.0108662063414525","0","2.43022008155042e-33","****","bpca-nbavg"
"27","bpca","QRILC","B","N","-0.00110179748627017","0","0.0181661382206627","*","bpca-QRILC"
"28","bpca","SeqKNN","B","O","0.00401915600710375","0","2.6136155152591e-17","****","bpca-SeqKNN"
"29","bpca","zero","B","P","-0.000547019597651584","0","0.608106684724288","na","bpca-zero"
"30","GMS","Impseq","C","D","-0.00456266139549703","0","1.28444186968228e-43","****","GMS-Impseq"
"31","GMS","Impseqrob","C","E","0.00414381046169996","0","1.24893989924491e-15","****","GMS-Impseqrob"
"32","GMS","knn","C","F","0.00464450132650927","0","1.29129482356565e-19","****","GMS-knn"
"33","GMS","mice","C","G","0.000432194856683422","0","0.323266675533105","na","GMS-mice"
"34","GMS","min","C","H","-0.0164822709283935","0","1.17379227159915e-62","****","GMS-min"
"35","GMS","MinDet","C","I","-0.00480726656093041","0","8.25961414183573e-21","****","GMS-MinDet"
"36","GMS","MinProb","C","J","-0.00432255039302974","0","6.42602182797519e-18","****","GMS-MinProb"
"37","GMS","missForest","C","K","0.00116659627652686","0","0.000436333305759421","***","GMS-missForest"
"38","GMS","MLE","C","L","0.0126629004238865","0.000833111365522998","1.65948502292844e-60","****","GMS-MLE"
"39","GMS","nbavg","C","M","-0.0127466276673952","0","1.20740518780768e-46","****","GMS-nbavg"
"40","GMS","QRILC","C","N","-0.00298221881221284","0","2.35747510012974e-09","****","GMS-QRILC"
"41","GMS","SeqKNN","C","O","0.00213873468116108","0","1.8989408135097e-06","****","GMS-SeqKNN"
"42","GMS","zero","C","P","-0.00242744092359425","0","0.0243999845844482","*","GMS-zero"
"43","Impseq","Impseqrob","D","E","0.00870647185719699","0","1.39827880804325e-56","****","Impseq-Impseqrob"
"44","Impseq","knn","D","F","0.0092071627220063","0","2.76352631634177e-54","****","Impseq-knn"
"45","Impseq","mice","D","G","0.00499485625218046","0","2.53904806118879e-27","****","Impseq-mice"
"46","Impseq","min","D","H","-0.0119196095328965","0","9.93814457518324e-32","****","Impseq-min"
"47","Impseq","MinDet","D","I","-0.000244605165433373","0","0.664815384960932","na","Impseq-MinDet"
"48","Impseq","MinProb","D","J","0.000240111002467293","0","0.667955915887941","na","Impseq-MinProb"
"49","Impseq","missForest","D","K","0.0057292576720239","0","2.04790384802749e-41","****","Impseq-missForest"
"50","Impseq","MLE","D","L","0.0172255618193835","0.00165159884301597","1.42996229599206e-86","****","Impseq-MLE"
"51","Impseq","nbavg","D","M","-0.00818396627189816","0","1.39649177032666e-19","****","Impseq-nbavg"
"52","Impseq","QRILC","D","N","0.00158044258328419","0","0.0048978413962544","**","Impseq-QRILC"
"53","Impseq","SeqKNN","D","O","0.00670139607665811","0","2.56567343827602e-50","****","Impseq-SeqKNN"
"54","Impseq","zero","D","P","0.00213522047190278","0","0.0574796779398367","na","Impseq-zero"
"55","Impseqrob","knn","E","F","0.000500690864809307","0","0.251005261339697","na","Impseqrob-knn"
"56","Impseqrob","mice","E","G","-0.00371161560501654","0","1.63690469706877e-21","****","Impseqrob-mice"
"57","Impseqrob","min","E","H","-0.0206260813900934","0","5.22464857500287e-86","****","Impseqrob-min"
"58","Impseqrob","MinDet","E","I","-0.00895107702263037","0","3.53167277012526e-38","****","Impseqrob-MinDet"
