"dlfq","LFQ","top1","top3"
"limma|spt||MLE|blank_nMcc_B.A_HYEtims735_DIA",0.91017719866165,0.906476675369266,0.799259808109802,0.838343806740188
"limma|spt||MLE|blank_nMcc_C.B_MYtims709_DIA",0.619753498041324,0.715855722335034,0.515321791002688,0.580935960390818
"limma|spt||MLE|blank_nMcc_C.A_MYtims709_DIA",0.701734826009245,0.818578991024652,0.696907514153341,0.742544620209424
"limma|spt||MLE|blank_nMcc_E.C_MYtims709_DIA",0.662821692937405,0.512464836224057,0.605940132591048,0.611978138290909
"limma|spt||MLE|blank_nMcc_E.C_HEof_n600_DIA",0.720716936451804,0.68646684509445,0.54821007822566,0.577043471569855
"limma|spt||MLE|blank_nMcc_G.F_HEof_n600_DIA",0.856427819612264,0.78676026071982,0.6350647927392,0.700798038682208
"limma|spt||MLE|blank_nMcc_E.B_HEof_n600_DIA",0.989248541548298,0.842128181518571,0.826512119658766,0.826512119658766
"limma|spt||MLE|blank_nMcc_E.A_HEof_w600_DIA",0.5,0.5,0.496666679012277,0.5
"limma|spt||MLE|blank_nMcc_A.B_HEof_w600_DIA",0.561681002411051,0.567317031475604,0.502964050749088,0.511276044813752
"limma|spt||MLE|blank_nMcc_F.C_HEof_w600_DIA",0.919498647096909,0.818271371202606,0.687744147575766,0.745534050340267
"limma|spt||MLE|blank_nMcc_C.B_HYtims134_DIA",0.52147114333169,0.51805527846693,0.495701577125922,0.496960788313055
"limma|spt||MLE|blank_nMcc_D.B_HYtims134_DIA",0.62525295209484,0.580631216915051,0.646736996255854,0.664863110274081
"limma|spt||MLE|blank_nMcc_D.C_HYtims134_DIA",0.5,0.5,0.495701577125922,0.5
"limma|spt||MLE|blank_nMcc_C.A_HEqe777_DIA",0.579366894146454,0.564294644265197,0.540909393568392,0.554995310030948
"limma|spt||MLE|blank_nMcc_B.A_HEqe777_DIA",0.955490431202338,0.960764563252942,0.78849774989516,0.867242016416395
"limma|spt||MLE|blank_nMcc_C.B_HEqe777_DIA",0.936227869324747,0.931148385936361,0.729778363443052,0.747122420215166
"limma|spt||MLE|blank_nMcc_B.A_HEqe408_DIA",0.922314420904882,0.918547133776433,0.837546372984033,0.873608517579161
"limma|spt||MLE|sum_nMcc_B.A_HYEtims735_DIA",0.543135135637542,0.543135135637542,0.563322515675939,0.550677347468055
"limma|spt||MLE|sum_nMcc_C.B_MYtims709_DIA",0.586300971222208,0.58600636676079,0.55182049699333,0.565589746453666
"limma|spt||MLE|sum_nMcc_C.A_MYtims709_DIA",0.527895336442927,0.518310936061071,0.513183409799636,0.52561110736131
"limma|spt||MLE|sum_nMcc_E.C_MYtims709_DIA",0.508936784873116,0.508946115981833,0.498993027805137,0.503198044332698
"limma|spt||MLE|sum_nMcc_E.C_HEof_n600_DIA",0.5,0.5,0.49405449143581,0.5
"limma|spt||MLE|sum_nMcc_G.F_HEof_n600_DIA",0.498430669118752,0.496825556783232,0.494496765210956,0.496825556783232
"limma|spt||MLE|sum_nMcc_E.B_HEof_n600_DIA",0.5,0.5,0.5,0.5
"limma|spt||MLE|sum_nMcc_E.A_HEof_w600_DIA",0.5,0.5,0.496666679012277,0.5
"limma|spt||MLE|sum_nMcc_A.B_HEof_w600_DIA",0.497146091035073,0.495916571747912,0.493756581386744,0.495283753363206
"limma|spt||MLE|sum_nMcc_F.C_HEof_w600_DIA",0.549311111723838,0.533610986626206,0.526088569388339,0.497643540260871
"limma|spt||MLE|sum_nMcc_C.B_HYtims134_DIA",0.496960788313055,0.496960788313055,0.495701577125922,0.496960788313055
"limma|spt||MLE|sum_nMcc_D.B_HYtims134_DIA",0.5,0.5,0.495701577125922,0.496960788313055
