"mat1","mat2","abbr1","abbr2","mean","median","t_pval","significance","contrast"
"1","blank","center.mean","A","B","0.0165343234010902","0.00333332098772299","5.21085289811838e-104","****","blank-center.mean"
"2","blank","center.median","A","C","0.0197961266235567","0.00514065811723197","7.74400390056581e-132","****","blank-center.median"
"3","blank","div.mean","A","D","0.175732272359507","0.160583721116815","0","****","blank-div.mean"
"4","blank","div.median","A","E","0.175708217744361","0.161218395743829","0","****","blank-div.median"
"5","blank","lossf","A","F","0.0339676535612118","0.00132944731310403","2.29814954490747e-174","****","blank-lossf"
"6","blank","max","A","G","0.176755109720023","0.163162791226114","0","****","blank-max"
"7","blank","MBQN","A","H","0.0717837677440384","0.047487283941439","0","****","blank-MBQN"
"8","blank","quantiles","A","I","0.0161729265699982","0.004773831947399","2.17736887584568e-122","****","blank-quantiles"
"9","blank","quantiles.robust","A","J","0.0536985906726086","0.0229993703847979","1.66805826201642e-313","****","blank-quantiles.robust"
"10","blank","Rlr","A","K","0.0328900734549895","0.00333332098772299","2.24505896626899e-178","****","blank-Rlr"
"11","blank","sum","A","L","0.184834399442323","0.173239787157086","0","****","blank-sum"
"12","blank","TIC","A","M","0.0769178311185096","0.00799966318915002","6.13240262963367e-226","****","blank-TIC"
"13","blank","vsn","A","N","0.182875355286537","0.170275782780439","0","****","blank-vsn"
"14","center.mean","center.median","B","C","0.0032618032224665","0","5.66119304025846e-27","****","center.mean-center.median"
"15","center.mean","div.mean","B","D","0.159197948958417","0.117908973267336","0","****","center.mean-div.mean"
"16","center.mean","div.median","B","E","0.159173894343271","0.117765568812899","0","****","center.mean-div.median"
"17","center.mean","lossf","B","F","0.0174333301601216","0","1.31194532186418e-78","****","center.mean-lossf"
"18","center.mean","max","B","G","0.160220786318933","0.122491266452908","0","****","center.mean-max"
"19","center.mean","MBQN","B","H","0.0552494443429482","0.026881179935424","0","****","center.mean-MBQN"
"20","center.mean","quantiles","B","I","-0.000361396831091961","0","0.325952949333502","na","center.mean-quantiles"
"21","center.mean","quantiles.robust","B","J","0.0371642672715185","0.0117325890324911","1.56211945135298e-205","****","center.mean-quantiles.robust"
"22","center.mean","Rlr","B","K","0.0163557500538993","0","6.08411369976867e-76","****","center.mean-Rlr"
"23","center.mean","sum","B","L","0.168300076041233","0.147976069321938","0","****","center.mean-sum"
"24","center.mean","TIC","B","M","0.0603835077174194","0.00366535280587899","1.14796227978976e-178","****","center.mean-TIC"
"25","center.mean","vsn","B","N","0.166341031885447","0.143539501684585","0","****","center.mean-vsn"
"26","center.median","div.mean","C","D","0.155936145735951","0.111106473483752","0","****","center.median-div.mean"
"27","center.median","div.median","C","E","0.155912091120805","0.111099311982305","0","****","center.median-div.median"
"28","center.median","lossf","C","F","0.0141715269376551","0","2.84591080280375e-69","****","center.median-lossf"
"29","center.median","max","C","G","0.156958983096466","0.114267613071532","0","****","center.median-max"
"30","center.median","MBQN","C","H","0.0519876411204817","0.024234563289428","0","****","center.median-MBQN"
"31","center.median","quantiles","C","I","-0.00362320005355846","0","9.78959274267864e-20","****","center.median-quantiles"
"32","center.median","quantiles.robust","C","J","0.033902464049052","0.011542379617553","2.94973187505164e-191","****","center.median-quantiles.robust"
"33","center.median","Rlr","C","K","0.0130939468314328","0","7.60612907763257e-67","****","center.median-Rlr"
"34","center.median","sum","C","L","0.165038272818766","0.140556344012625","0","****","center.median-sum"
"35","center.median","TIC","C","M","0.0571217044949529","0.00331165106753695","1.21410634256799e-178","****","center.median-TIC"
"36","center.median","vsn","C","N","0.16307922866298","0.134695660857591","0","****","center.median-vsn"
"37","div.mean","div.median","D","E","-2.40546151459716e-05","0","0.590210782549511","na","div.mean-div.median"
"38","div.mean","lossf","D","F","-0.141764618798295","-0.08494157409403","0","****","div.mean-lossf"
"39","div.mean","max","D","G","0.00102283736051552","0","4.9418218418585e-09","****","div.mean-max"
"40","div.mean","MBQN","D","H","-0.103948504615469","-0.053987093731333","0","****","div.mean-MBQN"
"41","div.mean","quantiles","D","I","-0.159559345789509","-0.122732010642423","0","****","div.mean-quantiles"
"42","div.mean","quantiles.robust","D","J","-0.122033681686899","-0.047616628769387","0","****","div.mean-quantiles.robust"
"43","div.mean","Rlr","D","K","-0.142842198904518","-0.078156902041729","0","****","div.mean-Rlr"
"44","div.mean","sum","D","L","0.00910212708281576","0","1.77862953889448e-86","****","div.mean-sum"
"45","div.mean","TIC","D","M","-0.0988144412409976","-0.054875329427482","1.3627412577849e-222","****","div.mean-TIC"
"46","div.mean","vsn","D","N","0.00714308292702993","0","1.24088189690489e-58","****","div.mean-vsn"
"47","div.median","lossf","E","F","-0.141740564183149","-0.085218173989479","0","****","div.median-lossf"
"48","div.median","max","E","G","0.00104689197566149","0","5.36995339177607e-09","****","div.median-max"
"49","div.median","MBQN","E","H","-0.103924450000323","-0.05380504786934","0","****","div.median-MBQN"
