"mat1","mat2","abbr1","abbr2","mean","median","t_pval","significance","contrast"
"1","blank","bpca","A","B","-0.00273340745652823","0","1.38554403380265e-14","****","blank-bpca"
"2","blank","GMS","A","C","-0.00320582055253311","-2.32291335715007e-05","1.27879525432183e-19","****","blank-GMS"
"3","blank","Impseq","A","D","-0.005274710212431","0","6.16483866857756e-36","****","blank-Impseq"
"4","blank","Impseqrob","A","E","0.0022564585395066","0","1.41732318268177e-14","****","blank-Impseqrob"
"5","blank","knn","A","F","0.000294854747828061","0","0.26510084177009","na","blank-knn"
"6","blank","mice","A","G","8.21067859424106e-05","0","0.789443941701617","na","blank-mice"
"7","blank","min","A","H","-0.000378418562303739","0.000434960869500511","0.44160546394318","na","blank-min"
"8","blank","MinDet","A","I","-0.00469640194599805","0","4.00527118515053e-25","****","blank-MinDet"
"9","blank","MinProb","A","J","-0.00406029717393893","0","4.63670848072206e-20","****","blank-MinProb"
"10","blank","missForest","A","K","-0.00170872947187104","0","3.82109665094294e-08","****","blank-missForest"
"11","blank","MLE","A","L","0.0130937657158889","0.00356641728229445","2.49219004046591e-253","****","blank-MLE"
"12","blank","nbavg","A","M","-0.0043679123837004","0","9.57188343986846e-27","****","blank-nbavg"
"13","blank","QRILC","A","N","-0.00140953482321637","0.000171377791050503","0.000347543715680128","***","blank-QRILC"
"14","blank","SeqKNN","A","O","-0.00153403800141319","0","4.18800913005819e-07","****","blank-SeqKNN"
"15","blank","zero","A","P","0.00371114665106373","0.000250780103467518","4.53798990445159e-10","****","blank-zero"
"16","bpca","GMS","B","C","-0.000472413096004879","0","0.039592301280418","*","bpca-GMS"
"17","bpca","Impseq","B","D","-0.00254130275590277","0","4.9453835580849e-36","****","bpca-Impseq"
"18","bpca","Impseqrob","B","E","0.00498986599603483","0","6.6448600394283e-59","****","bpca-Impseqrob"
"19","bpca","knn","B","F","0.00302826220435629","3.55078095698458e-06","2.13190249945436e-25","****","bpca-knn"
"20","bpca","mice","B","G","0.00281551424247064","7.19299482798696e-06","5.69360314814509e-24","****","bpca-mice"
"21","bpca","min","B","H","0.00235498889422449","0.000212678342679462","3.07930809919536e-07","****","bpca-min"
"22","bpca","MinDet","B","I","-0.00196299448946982","0","1.56710530112336e-08","****","bpca-MinDet"
"23","bpca","MinProb","B","J","-0.0013268897174107","7.58022147551163e-06","0.000106359774716389","***","bpca-MinProb"
"24","bpca","missForest","B","K","0.00102467798465719","0","2.65708534807609e-07","****","bpca-missForest"
"25","bpca","MLE","B","L","0.0158271731724172","0.00352668429901998","5.57183998483723e-212","****","bpca-MLE"
"26","bpca","nbavg","B","M","-0.00163450492717217","0","3.2630381940142e-05","****","bpca-nbavg"
"27","bpca","QRILC","B","N","0.00132387263331186","0.000156669235903989","2.06669193139262e-05","****","bpca-QRILC"
"28","bpca","SeqKNN","B","O","0.00119936945511504","0","2.09403727774206e-05","****","bpca-SeqKNN"
"29","bpca","zero","B","P","0.00644455410759196","0.000223900312545017","1.53172083359881e-27","****","bpca-zero"
"30","GMS","Impseq","C","D","-0.00206888965989789","0","4.34198151123887e-19","****","GMS-Impseq"
"31","GMS","Impseqrob","C","E","0.00546227909203971","2.42798689900625e-06","2.48503351073233e-63","****","GMS-Impseqrob"
"32","GMS","knn","C","F","0.00350067530036117","1.02049365435231e-05","1.98496754352092e-35","****","GMS-knn"
"33","GMS","mice","C","G","0.00328792733847552","6.71308606730037e-05","8.02382222877199e-29","****","GMS-mice"
"34","GMS","min","C","H","0.00282740199022937","0.000490025907167513","1.11902525194999e-11","****","GMS-min"
"35","GMS","MinDet","C","I","-0.00149058139346495","6.84879387852222e-06","8.08032167152431e-07","****","GMS-MinDet"
"36","GMS","MinProb","C","J","-0.000854476621405821","7.06684096019872e-05","0.00319896793959593","**","GMS-MinProb"
