"mat1","mat2","abbr1","abbr2","mean","median","t_pval","significance","contrast"
"1","blank","center.mean","A","B","0.022892063284114","0.0070632886551435","1.02875080795857e-186","****","blank-center.mean"
"2","blank","center.median","A","C","0.0221108287293065","0.00609342111966249","5.65280681455346e-190","****","blank-center.median"
"3","blank","div.mean","A","D","0.0237015489044511","0.00714598272260203","2.28066257491852e-189","****","blank-div.mean"
"4","blank","div.median","A","E","0.0225508955453374","0.00540967633442802","2.0753339340426e-183","****","blank-div.median"
"5","blank","lossf","A","F","0.0139859679790086","0.002450611358917","3.91569032424309e-87","****","blank-lossf"
"6","blank","max","A","G","0.00563147621831668","0","1.42728853242812e-35","****","blank-max"
"7","blank","MBQN","A","H","0.0575863267079063","0.0282729738530185","0","****","blank-MBQN"
"8","blank","quantiles","A","I","0.023424486778009","0.00930114838314905","1.63294704471139e-212","****","blank-quantiles"
"9","blank","quantiles.robust","A","J","0.0455168421080148","0.0245165805763925","0","****","blank-quantiles.robust"
"10","blank","Rlr","A","K","0.015136794431805","0.00386405452459093","2.13792068387463e-110","****","blank-Rlr"
"11","blank","sum","A","L","0.0112586174051749","0.000302780862514451","2.03159400920289e-64","****","blank-sum"
"12","blank","TIC","A","M","0.038327193548869","0.019493224187111","0","****","blank-TIC"
"13","blank","vsn","A","N","0.0230043939112306","0.00574583962295305","7.41071168929477e-165","****","blank-vsn"
"14","center.mean","center.median","B","C","-0.000781234554807504","0","0.00404579393882392","**","center.mean-center.median"
"15","center.mean","div.mean","B","D","0.000809485620337085","0.000164994940034968","0.0139406173146097","*","center.mean-div.mean"
"16","center.mean","div.median","B","E","-0.000341167738776595","0","0.405971853842834","na","center.mean-div.median"
"17","center.mean","lossf","B","F","-0.0089060953051054","-0.000735183407674977","2.07117487256451e-37","****","center.mean-lossf"
"18","center.mean","max","B","G","-0.0172605870657973","-0.00450034423944001","5.43445514663965e-86","****","center.mean-max"
"19","center.mean","MBQN","B","H","0.0346942634237923","0.00834839904356199","2.32304338540546e-130","****","center.mean-MBQN"
"20","center.mean","quantiles","B","I","0.000532423493894975","2.92079647610521e-05","0.239309182585671","na","center.mean-quantiles"
"21","center.mean","quantiles.robust","B","J","0.0226247788239008","0.00866578628048298","9.66384151144809e-139","****","center.mean-quantiles.robust"
"22","center.mean","Rlr","B","K","-0.00775526885230901","-0.000937043168335483","1.49665466781707e-32","****","center.mean-Rlr"
"23","center.mean","sum","B","L","-0.0116334458789391","-0.00307064433049054","6.20524073742668e-33","****","center.mean-sum"
"24","center.mean","TIC","B","M","0.015435130264755","0.00555347980913404","6.35298875745524e-136","****","center.mean-TIC"
"25","center.mean","vsn","B","N","0.000112330627116543","-0.00153501113496401","0.893801078659255","na","center.mean-vsn"
"26","center.median","div.mean","C","D","0.00159072017514459","0","1.78418045274579e-05","****","center.median-div.mean"
"27","center.median","div.median","C","E","0.000440066816030909","0","0.197893764599018","na","center.median-div.median"
"28","center.median","lossf","C","F","-0.00812486075029789","-0.000515207269945028","4.0270478775097e-40","****","center.median-lossf"
"29","center.median","max","C","G","-0.0164793525109898","-0.00382961188311748","6.56351654728564e-84","****","center.median-max"
"30","center.median","MBQN","C","H","0.0354754979785998","0.00856153834095152","6.5675099528754e-141","****","center.median-MBQN"
"31","center.median","quantiles","C","I","0.00131365804870248","0","0.00149149906961678","**","center.median-quantiles"
"32","center.median","quantiles.robust","C","J","0.0234060133787083","0.00892884672287952","2.24524535656401e-148","****","center.median-quantiles.robust"
"33","center.median","Rlr","C","K","-0.00697403429750151","-0.000489475464754474","7.79972481777241e-35","****","center.median-Rlr"
"34","center.median","sum","C","L","-0.0108522113241316","-0.00202394390808402","1.86465762508857e-30","****","center.median-sum"
"35","center.median","TIC","C","M","0.0162163648195625","0.00444170303473002","5.57722116961861e-141","****","center.median-TIC"
"36","center.median","vsn","C","N","0.000893565181924047","-0.00103692426025503","0.254982193960427","na","center.median-vsn"
"37","div.mean","div.median","D","E","-0.00115065335911368","0","9.93933141555259e-06","****","div.mean-div.median"
"38","div.mean","lossf","D","F","-0.00971558092544248","-0.000176444017841948","7.79146770261114e-42","****","div.mean-lossf"
"39","div.mean","max","D","G","-0.0180700726861344","-0.0048460013960015","1.71252291943038e-89","****","div.mean-max"
"40","div.mean","MBQN","D","H","0.0338847778034552","0.005160924408107","3.31472329237148e-124","****","div.mean-MBQN"
"41","div.mean","quantiles","D","I","-0.000277062126442111","0","0.558614820750569","na","div.mean-quantiles"
"42","div.mean","quantiles.robust","D","J","0.0218152932035637","0.00574602807387148","4.60355138342369e-126","****","div.mean-quantiles.robust"
"43","div.mean","Rlr","D","K","-0.0085647544726461","-0.000102464762276017","3.9712764934073e-37","****","div.mean-Rlr"
"44","div.mean","sum","D","L","-0.0124429314992762","-0.00301510378957703","1.84845321697226e-35","****","div.mean-sum"
"45","div.mean","TIC","D","M","0.0146256446444179","0.00360729992032494","9.32968678438736e-122","****","div.mean-TIC"
"46","div.mean","vsn","D","N","-0.000697154993220541","-0.0012829096092935","0.421304721017315","na","div.mean-vsn"
"47","div.median","lossf","E","F","-0.0085649275663288","-0.000143384673502001","7.62401921196366e-39","****","div.median-lossf"
