"mat1","mat2","abbr1","abbr2","mean","median","t_pval","significance","contrast"
"1","ANOVA","DEP","A","B","-0.176801386787581","-0.171590176151983","0","****","ANOVA-DEP"
"2","ANOVA","limma","A","C","-0.177485422194655","-0.171076389153979","0","****","ANOVA-limma"
"3","ANOVA","proDA","A","D","-0.170880055805636","-0.164594168832834","0","****","ANOVA-proDA"
"4","ANOVA","ROTS","A","E","-0.196398378234561","-0.18809960898729","0","****","ANOVA-ROTS"
"5","ANOVA","SAM","A","F","-0.161792244359773","-0.148307027166994","0","****","ANOVA-SAM"
"6","ANOVA","ttest","A","G","-0.126074127071346","-0.112295804425657","0","****","ANOVA-ttest"
"7","DEP","limma","B","C","-0.000684035407073904","0","0.000534900353963463","***","DEP-limma"
"8","DEP","proDA","B","D","0.00592133098194561","0.00152194202884248","6.00465641531277e-67","****","DEP-proDA"
"9","DEP","ROTS","B","E","-0.0195969914469795","-0.00698599730023752","2.01507325291742e-216","****","DEP-ROTS"
"10","DEP","SAM","B","F","0.0150091424278088","0.00183530279210653","8.40304730820942e-141","****","DEP-SAM"
"11","DEP","ttest","B","G","0.0507272597162348","0.041442351748001","0","****","DEP-ttest"
"12","limma","proDA","C","D","0.00660536638901951","0.00142550177662548","6.22483639539784e-119","****","limma-proDA"
"13","limma","ROTS","C","E","-0.0189129560399056","-0.00700433729794053","3.17398793671864e-225","****","limma-ROTS"
"14","limma","SAM","C","F","0.0156931778348827","0.00172687199246152","4.09185147892236e-165","****","limma-SAM"
"15","limma","ttest","C","G","0.0514112951233087","0.041272635988342","0","****","limma-ttest"
"16","proDA","ROTS","D","E","-0.0255183224289251","-0.00954117848386449","0","****","proDA-ROTS"
"17","proDA","SAM","D","F","0.00908781144586315","0.00057392571911552","6.56174567014345e-47","****","proDA-SAM"
"18","proDA","ttest","D","G","0.0448059287342892","0.037026517541657","0","****","proDA-ttest"
"19","ROTS","SAM","E","F","0.0346061338747883","0.00876157271749156","0","****","ROTS-SAM"
"20","ROTS","ttest","E","G","0.0703242511632143","0.045431916894338","0","****","ROTS-ttest"
"21","SAM","ttest","F","G","0.0357181172884261","0.0336730536482615","0","****","SAM-ttest"
