"ANOVA","DEP","limma","proDA","ROTS","SAM","ttest"
"|spt|top1|MLE|blank_pauc01_B.A_HYEtims735_DIA",0.496903264427596,0.697689383583432,0.697679496570496,0.700724610580651,0.740573240584555,0.665651528360252,0.695252621777908
"|spt|top1|MLE|blank_pauc01_C.A_MYtims709_DIA",0.484832988364118,0.557696342146031,0.557852679991129,0.561200970247118,0.505627990958081,0.610186592265139,0.520322975595285
"|spt|top1|MLE|blank_pauc01_C.B_MYtims709_DIA",0.488776540622655,0.650785856692015,0.650774672907809,0.651048756798007,0.64156298131125,0.638848489488237,0.627481483531196
"|spt|top1|MLE|blank_pauc01_E.C_MYtims709_DIA",0.493768688898098,0.584665444093496,0.584661007576063,0.588380435993734,0.579212372290223,0.567339176679254,0.559122103880422
"|spt|top1|MLE|blank_pauc01_E.B_HEof_n600_DIA",0.473684210526316,0.545875016426835,0.545567013272883,0.552394416518825,0.575268784085682,0.531993885127757,0.517769728628688
"|spt|top1|MLE|blank_pauc01_E.C_HEof_n600_DIA",0.478386392009988,0.71048730205664,0.709229622511335,0.726411065115973,0.754629287403903,0.638065493790656,0.629682674617255
"|spt|top1|MLE|blank_pauc01_G.F_HEof_n600_DIA",0.485723528537614,0.963999564688876,0.964589904067284,0.965693582035613,0.965000574939221,0.964795239503253,0.952623663912104
"|spt|top1|MLE|blank_pauc01_A.B_HEof_w600_DIA",0.48201581710181,0.489473252521066,0.489311368973615,0.495058234908136,0.527283853087443,0.501668479762398,0.48430916735737
"|spt|top1|MLE|blank_pauc01_E.A_HEof_w600_DIA",0.486143847561818,0.507992730349496,0.507857827393286,0.515288282221301,0.559674040068977,0.513480582608095,0.49744172330065
"|spt|top1|MLE|blank_pauc01_F.C_HEof_w600_DIA",0.488383236634894,0.724375617836404,0.724375617836404,0.69512365015566,0.755252780080122,0.748167909708754,0.686768570711871
"|spt|top1|MLE|blank_pauc01_B.A_HEqe777_DIA",0.482378212403053,0.644336081411064,0.644334536658139,0.65500215769282,0.678039406037223,0.66079609767172,0.626141820475352
"|spt|top1|MLE|blank_pauc01_C.A_HEqe777_DIA",0.486517250369424,0.739276021359173,0.739386880199132,0.746848501304988,0.767706124999152,0.752701334819471,0.715665244036387
"|spt|top1|MLE|blank_pauc01_C.B_HEqe777_DIA",0.486260490261518,0.669533185434639,0.669533185434639,0.68382268461125,0.710791458314064,0.69096974953262,0.63963599335664
"|spt|top1|MLE|blank_pauc01_B.A_HEqe408_DIA",0.49736254330581,0.805349271383136,0.805327490773489,0.800303780136465,0.811703809875887,0.814194809455758,0.803206726695512
"|spt|top1|MLE|sum_pauc01_B.A_HYEtims735_DIA",0.496903264427596,0.698169071360161,0.698172450139364,0.70117627512376,0.580047045499763,0.702896675556381,0.695252621777908
"|spt|top1|MLE|sum_pauc01_E.B_HEof_n600_DIA",0.473684210526316,0.546362688087259,0.546568023523228,0.55339542676917,0.528139168145082,0.533321150097466,0.517769728628688
"|spt|top1|MLE|sum_pauc01_E.C_HEof_n600_DIA",0.478386392009988,0.711411311518497,0.709922629607727,0.726385398186477,0.682745208247869,0.687962004730929,0.629682674617255
"|spt|top1|MLE|sum_pauc01_G.F_HEof_n600_DIA",0.485723528537614,0.962741885143571,0.96423056705434,0.965796249753597,0.961022200867337,0.965257244234181,0.952623663912104
"|spt|top1|MLE|sum_pauc01_A.B_HEof_w600_DIA",0.48201581710181,0.489203446608648,0.48909552424368,0.496407264470231,0.513745220020344,0.50475505940047,0.48430916735737
"|spt|top1|MLE|sum_pauc01_E.A_HEof_w600_DIA",0.486143847561818,0.507668963254593,0.507534060298384,0.514182077980384,0.493802967292797,0.514101136206658,0.49744172330065
"|spt|top1|MLE|sum_pauc01_F.C_HEof_w600_DIA",0.488383236634894,0.715196284192801,0.715196284192801,0.704264740433625,0.647261146221854,0.763199846445254,0.686768570711871
"|spt|top1|MLE|sum_pauc01_C.B_HYtims134_DIA",0.495415379159369,0.609361020850065,0.609118496399081,0.612024383999388,0.602828136609221,0.612992826750656,0.59804837829426
"|spt|top1|MLE|sum_pauc01_D.B_HYtims134_DIA",0.501089321715365,0.677393093844564,0.677426801986303,0.683863646019986,0.66804002981552,0.69201302043607,0.661497353283745
"|spt|top1|MLE|sum_pauc01_D.C_HYtims134_DIA",0.50287533062069,0.582133689312214,0.582130685297847,0.582672823602472,0.577050305560385,0.580411302765649,0.573996414249689
"|spt|top1|MLE|sum_pauc01_B.A_HEqe777_DIA",0.482378212403053,0.644870480897128,0.644823776478441,0.653979796684682,0.628760638509555,0.634327394628698,0.626141820475352
"|spt|top1|MLE|sum_pauc01_C.A_HEqe777_DIA",0.486517250369424,0.739026794263412,0.739183331051318,0.745460712864016,0.728285140388631,0.752146732678453,0.715665244036387
"|spt|top1|MLE|sum_pauc01_C.B_HEqe777_DIA",0.486260490261518,0.670702438254988,0.670702438254988,0.683437347495317,0.648012056756519,0.692711407987435,0.63963599335664
"|spt|top1|MLE|sum_pauc01_B.A_HEqe408_DIA",0.49736254330581,0.805323370380877,0.805333642908781,0.800018690956035,0.80277066334599,0.813637549040978,0.803206726695512
"|spt|top1|MLE|max_pauc01_B.A_HYEtims735_DIA",0.496903264427596,0.698246944483133,0.698251653710381,0.701174448175717,0.748534628003902,0.70246541264953,0.695252621777908
"|spt|top1|MLE|max_pauc01_E.B_HEof_n600_DIA",0.473684210526316,0.546927360536172,0.546568023523228,0.553292759051186,0.607221577381577,0.534704152703857,0.517769728628688
"|spt|top1|MLE|max_pauc01_E.C_HEof_n600_DIA",0.478386392009988,0.711950317037913,0.710589969774624,0.72695007063539,0.757195980353506,0.638065493790656,0.629682674617255
"|spt|top1|MLE|max_pauc01_G.F_HEof_n600_DIA",0.485723528537614,0.963537559957947,0.964153566265852,0.884183875309424,0.964769572573757,0.964666904855772,0.952623663912104
"|spt|top1|MLE|max_pauc01_A.B_HEof_w600_DIA",0.48201581710181,0.489581174886034,0.489365330156099,0.496569148017682,0.486710439977897,0.500886042616383,0.48430916735737
"|spt|top1|MLE|max_pauc01_E.A_HEof_w600_DIA",0.486143847561818,0.507830846802044,0.507695943845835,0.514424903301561,0.565591583054521,0.512185514228485,0.49744172330065
"|spt|top1|MLE|max_pauc01_F.C_HEof_w600_DIA",0.488383236634894,0.715208250334476,0.715208250334476,0.704429819897959,0.775624007114242,0.757168528487431,0.686768570711871
"|spt|top1|MLE|max_pauc01_B.A_HEqe777_DIA",0.482378212403053,0.645200799181377,0.645173084471387,0.653849636345539,0.676955182716975,0.634289404946597,0.626141820475352
"|spt|top1|MLE|max_pauc01_C.A_HEqe777_DIA",0.486517250369424,0.739393849935459,0.739556499356623,0.745728621727251,0.771300041992576,0.751777116988379,0.715665244036387
"|spt|top1|MLE|max_pauc01_C.B_HEqe777_DIA",0.486260490261518,0.671319902319539,0.671319902319539,0.683670463277416,0.71425003291635,0.691263468361077,0.63963599335664
"|spt|top1|MLE|max_pauc01_B.A_HEqe408_DIA",0.49736254330581,0.805342013914202,0.805352714528188,0.50001056067351,0.80277066334599,0.813415333914218,0.803206726695512
