dataset	ID	test_contrs	output_folder	main_output_protein_file	main_output_peptide_file	design_file	db_file	directlfq_file	organism	trueDE	all_protein_file	mstats_output	msstat_design_path	true_lgfc
HYE5600735_LFQ	PXD028735	conditionB-conditionA	E:/MS_data/PXD028735/FragPipe/5600/	combined_protein.tsv	combined_peptide.tsv	experiment_annotation.tsv	E:/MS_data/PXD028735/human_yeast_ecoli_uniport_reviewed_2023_8_30.fasta	combined_ion.tsv.protein_intensities.tsv	HUMAN;YEAST;ECOLI	YEAST;ECOLI	HYE5600735_LFQ_FragPipe_all_proteins.tsv	MSstats.csv	HYE5600735_LFQ_FragPipe_design_msstats.tsv	D:/data/benchmark/data/dataset_info/PXD028735_true_fc.txt
HYE6600735_LFQ	PXD028735	conditionB-conditionA	E:/MS_data/PXD028735/FragPipe/6600/	combined_protein.tsv	combined_peptide.tsv	experiment_annotation.tsv	E:/MS_data/PXD028735/human_yeast_ecoli_uniport_reviewed_2023_8_30.fasta	combined_ion.tsv.protein_intensities.tsv	HUMAN;YEAST;ECOLI	YEAST;ECOLI	HYE6600735_LFQ_FragPipe_all_proteins.tsv	MSstats.csv	HYE6600735_LFQ_FragPipe_design_msstats.tsv	D:/data/benchmark/data/dataset_info/PXD028735_true_fc.txt
HYEqe735_LFQ	PXD028735	conditionB-conditionA	E:/MS_data/PXD028735/FragPipe/Orbitrap/	combined_protein.tsv	combined_peptide.tsv	experiment_annotation.tsv	E:/MS_data/PXD028735/human_yeast_ecoli_uniport_reviewed_2023_8_30.fasta	combined_ion.tsv.protein_intensities.tsv	HUMAN;YEAST;ECOLI	YEAST;ECOLI	HYEqe735_LFQ_FragPipe_all_proteins.tsv	MSstats.csv	HYEqe735_LFQ_FragPipe_design_msstats.tsv	D:/data/benchmark/data/dataset_info/PXD028735_true_fc.txt
HYEtims735_LFQ	PXD028735	conditionB-conditionA	E:/MS_data/PXD028735/FragPipe/PASEF/	combined_protein.tsv	combined_peptide.tsv	experiment_annotation.tsv	E:/MS_data/PXD028735/human_yeast_ecoli_uniport_reviewed_2023_8_30.fasta	combined_ion.tsv.protein_intensities.tsv	HUMAN;YEAST;ECOLI	YEAST;ECOLI	HYEtims735_LFQ_FragPipe_all_proteins.tsv	MSstats.csv	HYEtims735_LFQ_FragPipe_design_msstats.tsv	D:/data/benchmark/data/dataset_info/PXD028735_true_fc.txt
HYtims134_LFQ	PXD036134	conditionC-conditionB;conditionD-conditionB;conditionD-conditionC	E:/MS_data/PXD036134/FragPipe/	combined_protein.tsv	combined_peptide.tsv	experiment_annotation.tsv	E:/MS_data/PXD036134/human_yeast_2023_08_30.fasta	combined_ion.tsv.protein_intensities.tsv	HUMAN;YEAST	YEAST	HYtims134_LFQ_FragPipe_all_proteins.tsv	MSstats.csv	HYtims134_LFQ_FragPipe_design_msstats.tsv	D:/data/benchmark/data/dataset_info/PXD036134_true_fc.txt
HEtims425_LFQ	PXD021425	conditionB-conditionA;conditionC-conditionA;conditionC-conditionB	E:/MS_data/PXD021425/FragPipe/	combined_protein.tsv	combined_peptide.tsv	experiment_annotation.tsv	E:/MS_data/PXD021425/human_ecoli_2023_08_30.fasta	combined_ion.tsv.protein_intensities.tsv	HUMAN;ECOLI	ECOLI	HEtims425_LFQ_FragPipe_all_proteins.tsv	MSstats.csv	HEtims425_LFQ_FragPipe_design_msstats.tsv	D:/data/benchmark/data/dataset_info/PXD021425_true_fc.txt
YUltq006_LFQ	PDC000006	conditionE-conditionB;conditionD-conditionC	E:/MS_data/CPTAC/FragPipe/	combined_protein.tsv	combined_peptide.tsv	experiment_annotation.tsv	E:/MS_data/CPTAC/yeast_USP1_2023.8.30.fasta	combined_ion.tsv.protein_intensities.tsv	YEAST;UPS;HUMAN	UPS	YUltq006_LFQ_FragPipe_all_proteins.tsv	MSstats.csv	YUltq006_LFQ_FragPipe_design_msstats.tsv	D:/data/benchmark/data/dataset_info/PDC000006_true_fc.txt
YUltq099_LFQ	PXD002099	conditionE-conditionC;conditionD-conditionB	E:/MS_data/PXD002099/FragPipe/	combined_protein.tsv	combined_peptide.tsv	experiment_annotation.tsv	E:/MS_data/PXD002099/yeast_USP1_2023.8.30.fasta	combined_ion.tsv.protein_intensities.tsv	YEAST;UPS;HUMAN	UPS	YUltq099_LFQ_FragPipe_all_proteins.tsv	MSstats.csv	YUltq099_LFQ_FragPipe_design_msstats.tsv	D:/data/benchmark/data/dataset_info/PXD002099_true_fc.txt
YUltq819_LFQ	PXD001819	conditionD-conditionA;conditionF-conditionC;conditionI-conditionH	E:/MS_data/PXD001819/FragPipe/	combined_protein.tsv	combined_peptide.tsv	experiment_annotation.tsv	E:/MS_data/PXD001819/yeast_USP1_2023.8.30.fasta	combined_ion.tsv.protein_intensities.tsv	YEAST;UPS;HUMAN	UPS	YUltq819_LFQ_FragPipe_all_proteins.tsv	MSstats.csv	YUltq819_LFQ_FragPipe_design_msstats.tsv	D:/data/benchmark/data/dataset_info/PXD001819_true_fc.txt
HEqe408_LFQ	PXD018408	conditionB-conditionA	E:/MS_data/PXD018408/FragPipe/	combined_protein.tsv	combined_peptide.tsv	experiment_annotation.tsv	E:/MS_data/PXD018408/human_ecoli_2023_08_30.fasta	combined_ion.tsv.protein_intensities.tsv	HUMAN;ECOLI	ECOLI	HEqe408_LFQ_FragPipe_all_proteins.tsv	MSstats.csv	HEqe408_LFQ_FragPipe_design_msstats.tsv	D:/data/benchmark/data/dataset_info/PXD018408_true_fc.txt
