dataset	ID	test_contrs	output_folder	main_output_protein_file	main_output_peptide_file	main_output_evidence	design_file	db_file	directlfq_file	organism	trueDE	all_protein_file	mstats_output	msstat_design_path	true_lgfc
HYE5600735_LFQ	PXD028735	conditionB-conditionA	E:/MS_data/PXD028735/maxquant/5600/new/combined/txt/	proteinGroups.txt	peptides.txt	evidence.txt	E:/MS_data/PXD028735/maxquant/5600/new/experiment_annotation.tsv	E:/MS_data/PXD028735/human_yeast_ecoli_uniport_reviewed_2023_8_30.fasta	evidence.txt.protein_intensities.tsv	HUMAN;YEAST;ECOLI	YEAST;ECOLI	HYE5600735_LFQ_Maxquant_all_proteins.tsv	"NULL"	HYE5600735_LFQ_Maxquant_design_msstats.tsv	D:/data/benchmark/data/dataset_info/PXD028735_true_fc.txt
HYE6600735_LFQ	PXD028735	conditionB-conditionA	E:/MS_data/PXD028735/maxquant/6600/combined/txt/	proteinGroups.txt	peptides.txt	evidence.txt	E:/MS_data/PXD028735/maxquant/6600/experiment_annotation.tsv	E:/MS_data/PXD028735/human_yeast_ecoli_uniport_reviewed_2023_8_30.fasta	evidence.txt.protein_intensities.tsv	HUMAN;YEAST;ECOLI	YEAST;ECOLI	HYE6600735_LFQ_Maxquant_all_proteins.tsv	"NULL"	HYE6600735_LFQ_Maxquant_design_msstats.tsv	D:/data/benchmark/data/dataset_info/PXD028735_true_fc.txt
HYEqe735_LFQ	PXD028735	conditionB-conditionA	E:/MS_data/PXD028735/maxquant/Orbitrap/combined/txt/	proteinGroups.txt	peptides.txt	evidence.txt	E:/MS_data/PXD028735/maxquant/Orbitrap/experiment_annotation.tsv	E:/MS_data/PXD028735/human_yeast_ecoli_uniport_reviewed_2023_8_30.fasta	evidence.txt.protein_intensities.tsv	HUMAN;YEAST;ECOLI	YEAST;ECOLI	HYEqe735_LFQ_Maxquant_all_proteins.tsv	"NULL"	HYEqe735_LFQ_Maxquant_design_msstats.tsv	D:/data/benchmark/data/dataset_info/PXD028735_true_fc.txt
HYEtims735_LFQ	PXD028735	conditionB-conditionA	E:/MS_data/PXD028735/maxquant/PASEF/combined/txt/	proteinGroups.txt	peptides.txt	evidence.txt	E:/MS_data/PXD028735/maxquant/PASEF/experiment_annotation.tsv	E:/MS_data/PXD028735/human_yeast_ecoli_uniport_reviewed_2023_8_30.fasta	evidence.txt.protein_intensities.tsv	HUMAN;YEAST;ECOLI	YEAST;ECOLI	HYEtims735_LFQ_Maxquant_all_proteins.tsv	"NULL"	HYEtims735_LFQ_Maxquant_design_msstats.tsv	D:/data/benchmark/data/dataset_info/PXD028735_true_fc.txt
HYtims134_LFQ	PXD036134	conditionC-conditionB;conditionD-conditionB;conditionD-conditionC	E:/MS_data/PXD036134/maxquant/combined/txt/	proteinGroups.txt	peptides.txt	evidence.txt	E:/MS_data/PXD036134/maxquant/experiment_annotation.tsv	E:/MS_data/PXD036134/human_yeast_2023_08_30.fasta	evidence.txt.protein_intensities.tsv	HUMAN;YEAST	YEAST	HYtims134_LFQ_Maxquant_all_proteins.tsv	"NULL"	HYtims134_LFQ_Maxquant_design_msstats.tsv	D:/data/benchmark/data/dataset_info/PXD036134_true_fc.txt
HEtims425_LFQ	PXD021425	conditionB-conditionA;conditionC-conditionA;conditionC-conditionB	E:/MS_data/PXD021425/maxquant/combined/txt/	proteinGroups.txt	peptides.txt	evidence.txt	E:/MS_data/PXD021425/maxquant/experiment_annotation.tsv	E:/MS_data/PXD021425/human_ecoli_2023_08_30.fasta	evidence.txt.protein_intensities.tsv	HUMAN;ECOLI	ECOLI	HEtims425_LFQ_Maxquant_all_proteins.tsv	"NULL"	HEtims425_LFQ_Maxquant_design_msstats.tsv	D:/data/benchmark/data/dataset_info/PXD021425_true_fc.txt
YUltq006_LFQ	PDC000006	conditionE-conditionB;conditionD-conditionC	E:/MS_data/CPTAC/maxquant/new/combined/txt/	proteinGroups.txt	peptides.txt	evidence.txt	E:/MS_data/CPTAC/maxquant/experiment_annotation.tsv	E:/MS_data/CPTAC/yeast_USP1_2023.8.30.fasta	evidence.txt.protein_intensities.tsv	YEAST;UPS;HUMAN	UPS	YUltq006_LFQ_Maxquant_all_proteins.tsv	"NULL"	YUltq006_LFQ_Maxquant_design_msstats.tsv	D:/data/benchmark/data/dataset_info/PDC000006_true_fc.txt
YUltq099_LFQ	PXD002099	conditionE-conditionC;conditionD-conditionB	E:/MS_data/PXD002099/maxquant/new1/combined/txt/	proteinGroups.txt	peptides.txt	evidence.txt	E:/MS_data/PXD002099/maxquant/experiment_annotation.tsv	E:/MS_data/PXD002099/yeast_USP1_2023.8.30.fasta	evidence.txt.protein_intensities.tsv	YEAST;UPS;HUMAN	UPS	YUltq099_LFQ_Maxquant_all_proteins.tsv	"NULL"	YUltq099_LFQ_Maxquant_design_msstats.tsv	D:/data/benchmark/data/dataset_info/PXD002099_true_fc.txt
YUltq819_LFQ	PXD001819	conditionD-conditionA;conditionF-conditionC;conditionI-conditionH	E:/MS_data/PXD001819/maxquant/new/combined/txt/	proteinGroups.txt	peptides.txt	evidence.txt	E:/MS_data/PXD001819/maxquant/experiment_annotation.tsv	E:/MS_data/PXD001819/yeast_USP1_2023.8.30.fasta	evidence.txt.protein_intensities.tsv	YEAST;UPS;HUMAN	UPS	YUltq819_LFQ_Maxquant_all_proteins.tsv	"NULL"	YUltq819_LFQ_Maxquant_design_msstats.tsv	D:/data/benchmark/data/dataset_info/PXD001819_true_fc.txt
HEqe408_LFQ	PXD018408	conditionB-conditionA	E:/MS_data/PXD018408/maxquant/new/combined/txt/	proteinGroups.txt	peptides.txt	evidence.txt	E:/MS_data/PXD018408/maxquant/experiment_annotation.tsv	E:/MS_data/PXD018408/human_ecoli_2023_08_30.fasta	evidence.txt.protein_intensities.tsv	HUMAN;ECOLI	ECOLI	HEqe408_LFQ_Maxquant_all_proteins.tsv	"NULL"	HEqe408_LFQ_Maxquant_design_msstats.tsv	D:/data/benchmark/data/dataset_info/PXD018408_true_fc.txt
