iter	Passed	Remaining
0	49	49710
1	101	50451
2	153	50856
3	204	50805
4	255	50782
5	309	51256
6	365	51828
7	424	52696
8	481	52972
9	543	53821
10	606	54529
11	671	55291
12	730	55464
13	791	55740
14	850	55848
15	904	55610
16	958	55415
17	1026	56002
18	1083	55961
19	1141	55942
20	1196	55778
21	1251	55615
22	1306	55515
23	1362	55415
24	1414	55183
25	1466	54925
26	1518	54719
27	1573	54632
28	1624	54407
29	1677	54231
30	1729	54058
31	1783	53944
32	1836	53821
33	1890	53702
34	1944	53615
35	1998	53528
36	2057	53545
37	2109	53402
38	2163	53317
39	2218	53240
40	2270	53114
41	2322	52982
42	2375	52876
43	2428	52773
44	2482	52684
45	2535	52584
46	2586	52453
47	2641	52385
48	2695	52316
49	2749	52235
50	2801	52127
51	2854	52041
52	2905	51918
53	2958	51836
54	3012	51763
55	3068	51719
56	3120	51628
57	3172	51524
58	3222	51401
59	3274	51295
60	3325	51190
61	3379	51131
62	3441	51182
63	3501	51204
64	3575	51439
65	3650	51655
66	3713	51706
67	3770	51683
68	3828	51655
69	3884	51607
70	3939	51542
71	3995	51503
72	4050	51440
73	4102	51341
74	4154	51238
75	4207	51153
76	4267	51154
77	4319	51061
78	4371	50966
79	4424	50878
80	4475	50775
81	4529	50705
82	4581	50618
83	4633	50530
84	4686	50452
85	4738	50363
86	4789	50264
87	4841	50170
88	4894	50095
89	4946	50014
90	5005	49997
91	5069	50034
92	5132	50054
93	5196	50085
94	5261	50119
95	5320	50105
96	5383	50116
97	5446	50130
98	5508	50128
99	5567	50105
100	5627	50094
101	5685	50052
102	5743	50019
103	5795	49934
104	5849	49861
105	5902	49780
106	5956	49713
107	6012	49662
108	6069	49613
109	6123	49544
110	6177	49478
111	6230	49399
112	6283	49320
113	6336	49247
114	6388	49166
115	6441	49086
116	6493	49007
117	6569	49105
118	6624	49042
119	6678	48977
120	6735	48932
121	6797	48919
122	6860	48916
123	6914	48844
124	6969	48783
125	7027	48744
126	7082	48688
127	7137	48625
128	7191	48555
129	7240	48458
130	7294	48391
131	7347	48312
132	7398	48231
133	7463	48231
134	7535	48285
135	7598	48271
136	7655	48223
137	7712	48172
138	7769	48124
139	7824	48066
140	7880	48011
141	7935	47949
142	7994	47910
143	8054	47880
144	8123	47898
145	8183	47865
146	8240	47815
147	8341	48019
148	8405	48007
149	8465	47969
150	8522	47920
151	8578	47856
152	8634	47800
153	8692	47750
154	8746	47684
155	8800	47611
156	8852	47532
157	8905	47459
158	8967	47431
159	9020	47355
160	9074	47286
161	9127	47217
162	9180	47142
163	9235	47076
164	9290	47017
165	9345	46951
166	9402	46900
167	9457	46838
168	9512	46773
169	9577	46758
170	9638	46727
171	9700	46699
172	9764	46678
173	9826	46647
174	9883	46594
175	9941	46544
176	10002	46510
177	10058	46448
178	10112	46381
179	10168	46322
180	10223	46259
181	10276	46187
182	10332	46128
183	10388	46069
184	10442	46003
185	10494	45928
186	10547	45855
187	10601	45790
188	10655	45723
189	10705	45641
190	10757	45564
191	10816	45520
192	10869	45450
193	10922	45377
194	10977	45319
195	11030	45249
196	11081	45171
197	11133	45097
198	11185	45021
199	11238	44953
200	11289	44877
201	11340	44802
202	11392	44729
203	11445	44658
204	11509	44633
205	11577	44624
206	11632	44564
207	11687	44502
208	11741	44438
209	11795	44371
210	11853	44322
211	11909	44268
212	11982	44272
213	12052	44267
214	12111	44221
215	12170	44175
216	12228	44122
217	12282	44057
218	12338	44003
219	12393	43940
220	12447	43875
221	12502	43813
222	12555	43745
223	12608	43679
224	12660	43607
225	12713	43541
226	12769	43484
227	12824	43422
228	12876	43354
229	12929	43284
230	12984	43224
231	13039	43164
232	13090	43092
233	13141	43020
234	13195	42954
235	13247	42887
236	13299	42817
237	13353	42754
238	13406	42688
239	13459	42621
240	13512	42554
241	13563	42485
242	13614	42412
243	13667	42345
244	13717	42273
245	13770	42205
246	13818	42126
247	13870	42057
248	13923	41995
249	13977	41932
250	14033	41875
251	14088	41816
252	14144	41761
253	14198	41701
254	14251	41637
255	14307	41581
256	14362	41523
257	14417	41464
258	14470	41400
259	14523	41336
260	14576	41273
261	14629	41207
262	14682	41144
263	14735	41081
264	14790	41022
265	14845	40964
266	14899	40903
267	14961	40866
268	15019	40814
269	15075	40759
270	15130	40701
271	15187	40649
272	15246	40601
273	15303	40549
274	15358	40490
275	15415	40436
276	15474	40389
277	15528	40328
278	15583	40271
279	15637	40211
280	15690	40147
281	15742	40081
282	15794	40017
283	15845	39949
284	15902	39896
285	15963	39851
286	16018	39793
287	16071	39733
288	16124	39669
289	16178	39610
290	16233	39550
291	16290	39497
292	16344	39438
293	16395	39371
294	16446	39303
295	16497	39237
296	16550	39175
297	16602	39110
298	16653	39043
299	16704	38977
300	16756	38913
301	16808	38848
302	16860	38784
303	16913	38722
304	16967	38663
305	17020	38601
306	17074	38543
307	17129	38484
308	17181	38421
309	17234	38360
310	17288	38300
311	17340	38238
312	17392	38174
313	17445	38113
314	17497	38049
315	17549	37986
316	17601	37924
317	17653	37859
318	17704	37795
319	17758	37737
320	17810	37673
321	17861	37609
322	17915	37549
323	17970	37493
324	18022	37431
325	18077	37374
326	18128	37311
327	18181	37250
328	18234	37189
329	18286	37127
330	18336	37060
331	18389	36999
332	18439	36934
333	18491	36873
334	18543	36810
335	18595	36747
336	18646	36684
337	18698	36622
338	18752	36564
339	18805	36504
340	18859	36447
341	18912	36387
342	18969	36334
343	19025	36281
344	19083	36230
345	19143	36184
346	19197	36125
347	19248	36063
348	19300	36001
349	19354	35943
350	19408	35886
351	19461	35826
352	19513	35765
353	19567	35708
354	19633	35671
355	19687	35614
356	19742	35558
357	19798	35503
358	19851	35445
359	19908	35392
360	19964	35338
361	20019	35282
362	20071	35221
363	20123	35161
364	20177	35103
365	20230	35044
366	20284	34986
367	20336	34925
368	20391	34870
369	20446	34813
370	20515	34781
371	20567	34721
372	20626	34671
373	20684	34621
374	20739	34565
375	20792	34507
376	20847	34450
377	20908	34405
378	20970	34359
379	21031	34314
380	21087	34260
381	21143	34205
382	21199	34152
383	21255	34097
384	21309	34040
385	21366	33987
386	21422	33932
387	21478	33878
388	21533	33822
389	21587	33764
390	21641	33707
391	21695	33650
