DEA,expression_type,MVI,Normalization,label
ROTS,norm,QRILC,No_norm,1.0
ROTS,pro_LFQ,MinProb,No_norm,1.0
ROTS,pro_LFQ,MinDet,No_norm,1.0
ROTS,norm,MinDet,No_norm,1.0
ROTS,pro_LFQ,QRILC,No_norm,1.0
ROTS,norm,MinProb,No_norm,1.0
ROTS,norm,bpca,No_norm,1.0
ROTS,norm,MLE,No_norm,1.0
ROTS,pro_LFQ,missForest,No_norm,1.0
ROTS,norm,min,No_norm,1.0
limma,pro_LFQ,nbavg,No_norm,1.0
ROTS,norm,missForest,No_norm,1.0
limma,pro_LFQ,MinDet,No_norm,1.0
limma,pro_LFQ,MinProb,No_norm,1.0
ROTS,norm,mice,No_norm,1.0
ROTS,pro_LFQ,QRILC,center.mean,1.0
ROTS,pro_LFQ,MinProb,center.mean,1.0
ROTS,pro_LFQ,QRILC,quantiles,1.0
ROTS,pro_LFQ,min,No_norm,1.0
limma,pro_LFQ,bpca,No_norm,1.0
ROTS,pro_LFQ,QRILC,center.median,1.0
ROTS,norm,QRILC,quantiles,1.0
ROTS,pro_LFQ,MinProb,center.median,1.0
ROTS,pro_LFQ,bpca,No_norm,1.0
ROTS,pro_LFQ,MinDet,center.mean,1.0
ROTS,pro_LFQ,MinProb,quantiles,1.0
ROTS,pro_LFQ,MinDet,center.median,1.0
limma,pro_LFQ,MLE,No_norm,1.0
ROTS,norm,QRILC,center.mean,1.0
ROTS,pro_LFQ,MinDet,quantiles,1.0
ROTS,norm,QRILC,center.median,1.0
ROTS,norm,MinDet,center.mean,1.0
ROTS,pro_LFQ,MLE,No_norm,1.0
ROTS,norm,MinDet,quantiles,1.0
ROTS,norm,MinProb,center.mean,1.0
ROTS,norm,MinProb,quantiles,1.0
ROTS,norm,knn,No_norm,1.0
ROTS,norm,MinDet,center.median,1.0
ROTS,norm,MinProb,center.median,1.0
ROTS,norm,min,quantiles,1.0
ROTS,norm,bpca,quantiles,1.0
limma,pro_LFQ,missForest,No_norm,1.0
limma,pro_LFQ,min,No_norm,1.0
ROTS,norm,MLE,center.median,1.0
ROTS,pro_LFQ,missForest,center.median,1.0
ROTS,norm,MLE,quantiles,1.0
ROTS,pro_LFQ,min,quantiles,1.0
proDA,pro_LFQ,MinDet,No_norm,1.0
limma,pro_LFQ,QRILC,No_norm,1.0
ROTS,pro_LFQ,missForest,center.mean,1.0
proDA,pro_LFQ,MinProb,No_norm,1.0
ROTS,norm,bpca,center.mean,1.0
ROTS,norm,MLE,center.mean,1.0
ROTS,norm,missForest,center.mean,1.0
ROTS,pro_LFQ,missForest,quantiles,1.0
ROTS,norm,bpca,center.median,1.0
ROTS,norm,min,center.mean,1.0
ROTS,norm,missForest,center.median,1.0
ROTS,norm,missForest,quantiles,1.0
limma,norm,MinDet,No_norm,1.0
ROTS,norm,min,center.median,1.0
ROTS,pro_LFQ,knn,No_norm,1.0
limma,norm,MinProb,No_norm,1.0
ROTS,pro_LFQ,bpca,center.mean,1.0
ROTS,pro_LFQ,bpca,center.median,1.0
limma,pro_LFQ,MinProb,center.mean,1.0
limma,pro_LFQ,MinDet,center.mean,1.0
limma,pro_LFQ,nbavg,quantiles,1.0
limma,pro_LFQ,nbavg,center.mean,1.0
ROTS,norm,knn,center.median,1.0
limma,pro_LFQ,MinProb,quantiles,1.0
limma,pro_LFQ,MinProb,center.median,1.0
ROTS,norm,knn,center.mean,1.0
limma,pro_LFQ,MinDet,center.median,1.0
limma,pro_LFQ,bpca,center.mean,1.0
ROTS,pro_LFQ,min,center.mean,1.0
ROTS,pro_LFQ,bpca,quantiles,1.0
limma,pro_LFQ,MLE,center.mean,1.0
limma,pro_LFQ,nbavg,center.median,1.0
ROTS,pro_LFQ,min,center.median,1.0
ROTS,pro_LFQ,MLE,quantiles,1.0
limma,pro_LFQ,bpca,center.median,1.0
limma,norm,bpca,No_norm,1.0
limma,norm,nbavg,No_norm,1.0
ROTS,pro_LFQ,MLE,center.mean,1.0
ROTS,norm,knn,quantiles,1.0
ROTS,pro_LFQ,MLE,center.median,1.0
limma,pro_LFQ,MLE,center.median,1.0
ROTS,norm,mice,center.mean,1.0
limma,pro_LFQ,bpca,quantiles,1.0
proDA,pro_LFQ,nbavg,No_norm,1.0
limma,pro_LFQ,MinDet,quantiles,1.0
limma,pro_LFQ,MLE,quantiles,1.0
proDA,pro_LFQ,MLE,No_norm,1.0
ROTS,norm,mice,quantiles,1.0
limma,norm,MLE,No_norm,1.0
proDA,pro_LFQ,bpca,No_norm,1.0
ROTS,norm,mice,center.median,1.0
limma,norm,QRILC,No_norm,1.0
ROTS,norm,zero,No_norm,1.0
limma,pro_LFQ,missForest,center.mean,1.0
ROTS,pro_LFQ,knn,quantiles,1.0
ROTS,pro_LFQ,mice,No_norm,1.0
proDA,pro_LFQ,missForest,No_norm,1.0
limma,pro_LFQ,missForest,center.median,1.0
ROTS,pro_LFQ,knn,center.mean,1.0
limma,pro_LFQ,min,quantiles,1.0
ROTS,pro_LFQ,knn,center.median,1.0
limma,pro_LFQ,zero,No_norm,1.0
limma,norm,min,No_norm,1.0
ROTS,pro_LFQ,zero,No_norm,1.0
limma,pro_LFQ,missForest,quantiles,1.0
proDA,pro_LFQ,MinDet,center.mean,1.0
proDA,pro_LFQ,MinProb,center.mean,1.0
limma,pro_LFQ,QRILC,center.mean,1.0
limma,norm,missForest,No_norm,1.0
limma,pro_LFQ,QRILC,center.median,1.0
proDA,pro_LFQ,min,No_norm,1.0
proDA,pro_LFQ,MinDet,center.median,1.0
limma,pro_LFQ,QRILC,quantiles,1.0
proDA,norm,MinDet,No_norm,1.0
proDA,pro_LFQ,MinProb,center.median,1.0
limma,pro_LFQ,min,center.mean,1.0
proDA,norm,MinProb,No_norm,1.0
limma,norm,MinDet,center.mean,1.0
limma,pro_LFQ,min,center.median,1.0
limma,norm,MinProb,center.mean,1.0
ROTS,pro_LFQ,mice,quantiles,1.0
proDA,pro_LFQ,QRILC,No_norm,1.0
proDA,pro_LFQ,bpca,center.mean,1.0
limma,norm,bpca,center.mean,1.0
limma,norm,MinDet,center.median,1.0
proDA,pro_LFQ,MLE,center.mean,1.0
limma,norm,MinProb,center.median,1.0
