DEA,expression_type,MVI,Normalization,label
ProteoMM,pep_LFQ,MinDet,max,1.0
ProteoMM,pep_inten,MinDet,max,1.0
ProteoMM,pep_inten,MinProb,max,1.0
ProteoMM,pep_LFQ,MinProb,max,1.0
ProteoMM,pep_inten,MinDet,vsn,1.0
ProteoMM,pep_LFQ,MinDet,vsn,1.0
DEqMS,pro_LFQ,MinProb,No_norm,1.0
ProteoMM,pep_inten,missForest,max,1.0
DEqMS,pro_LFQ,missForest,No_norm,1.0
DEqMS,pro_LFQ,MinDet,No_norm,1.0
limma,pro_LFQ,MinProb,No_norm,1.0
limma,pro_LFQ,MinDet,No_norm,1.0
limma,pro_LFQ,missForest,No_norm,1.0
DEP,pro_LFQ,MinProb,No_norm,1.0
ProteoMM,pep_LFQ,missForest,max,1.0
ProteoMM,pep_LFQ,MinProb,vsn,1.0
ProteoMM,pep_LFQ,missForest,vsn,1.0
ROTS,pro_LFQ,MinDet,No_norm,1.0
ROTS,pro_LFQ,MinProb,No_norm,1.0
ROTS,pro_LFQ,QRILC,No_norm,1.0
DEP,pro_LFQ,MinDet,No_norm,1.0
ProteoMM,pep_inten,MinProb,vsn,1.0
ProteoMM,pep_inten,MinDet,div.mean,1.0
ProteoMM,pep_inten,missForest,vsn,1.0
limma,pro_LFQ,QRILC,No_norm,1.0
ProteoMM,pep_inten,MinDet,div.median,1.0
DEqMS,pro_LFQ,QRILC,No_norm,1.0
DEP,pro_LFQ,missForest,No_norm,1.0
DEP,pro_LFQ,QRILC,No_norm,1.0
proDA,pro_LFQ,MinProb,No_norm,1.0
proDA,pro_LFQ,MinDet,No_norm,1.0
limma,pro_inten,missForest,No_norm,1.0
DEqMS,pro_inten,missForest,No_norm,1.0
ProteoMM,pep_LFQ,MinDet,div.mean,1.0
ProteoMM,pep_LFQ,MinDet,div.median,1.0
ProteoMM,pep_LFQ,nbavg,max,1.0
ROTS,pro_inten,missForest,No_norm,1.0
ProteoMM,pep_LFQ,bpca,max,1.0
DEqMS,pro_LFQ,MLE,No_norm,1.0
DEqMS,pro_inten,MinProb,No_norm,1.0
DEqMS,pro_inten,MLE,No_norm,1.0
ProteoMM,pep_LFQ,nbavg,vsn,1.0
DEP,pro_inten,missForest,No_norm,1.0
ProteoMM,pep_LFQ,MinProb,div.median,1.0
DEqMS,pro_LFQ,bpca,No_norm,1.0
ProteoMM,pep_LFQ,MinProb,div.mean,1.0
limma,pro_LFQ,MLE,No_norm,1.0
proDA,pro_LFQ,missForest,No_norm,1.0
ROTS,pro_LFQ,missForest,No_norm,1.0
DEqMS,pro_inten,MinDet,No_norm,1.0
limma,pro_inten,MinProb,No_norm,1.0
ProteoMM,pep_inten,bpca,max,1.0
ProteoMM,pep_inten,MinProb,div.median,1.0
ProteoMM,pep_inten,nbavg,max,1.0
limma,pro_LFQ,bpca,No_norm,1.0
ProteoMM,pep_inten,nbavg,vsn,1.0
ProteoMM,pep_inten,MinProb,div.mean,1.0
DEP,pro_inten,MinProb,No_norm,1.0
limma,pro_LFQ,MinProb,center.median,1.0
ROTS,pro_inten,MinProb,No_norm,1.0
ROTS,pro_inten,QRILC,No_norm,1.0
limma,pro_LFQ,missForest,center.median,1.0
limma,pro_inten,MinDet,No_norm,1.0
limma,pro_LFQ,MinProb,center.mean,1.0
proDA,pro_LFQ,QRILC,No_norm,1.0
DEP,pro_inten,MLE,No_norm,1.0
msqrob2,pep_LFQ,missForest,No_norm,1.0
limma,pro_inten,MLE,No_norm,1.0
ProteoMM,pep_LFQ,nbavg,div.median,1.0
ROTS,pro_LFQ,MinDet,center.median,1.0
limma,pro_LFQ,MinDet,center.median,1.0
ROTS,pro_inten,MinDet,No_norm,1.0
ROTS,pro_LFQ,QRILC,center.median,1.0
DEqMS,pro_LFQ,mice,No_norm,1.0
DEqMS,pro_LFQ,MinProb,center.median,1.0
ROTS,pro_LFQ,MinProb,center.median,1.0
ROTS,pro_LFQ,MinDet,center.mean,1.0
DEqMS,pro_inten,QRILC,No_norm,1.0
ProteoMM,pep_LFQ,bpca,vsn,1.0
DEP,pro_inten,QRILC,No_norm,1.0
DEqMS,pro_LFQ,missForest,center.median,1.0
limma,pro_LFQ,MinDet,center.mean,1.0
DEP,pro_LFQ,MLE,No_norm,1.0
DEqMS,pro_LFQ,MinProb,center.mean,1.0
msqrob2,pep_LFQ,missForest,center.mean,1.0
ProteoMM,pep_LFQ,nbavg,div.mean,1.0
ROTS,pro_LFQ,QRILC,center.mean,1.0
ROTS,pro_LFQ,MinProb,center.mean,1.0
limma,pro_LFQ,missForest,center.mean,1.0
msqrob2,pep_LFQ,missForest,center.median,1.0
msqrob2,pep_inten,missForest,No_norm,1.0
ProteoMM,pep_LFQ,nbavg,center.median,1.0
DEqMS,pro_LFQ,MinDet,center.median,1.0
limma,pro_inten,bpca,No_norm,1.0
ROTS,pro_LFQ,MinProb,quantiles,1.0
ROTS,pro_LFQ,MinDet,quantiles,1.0
ProteoMM,pep_LFQ,nbavg,center.mean,1.0
DEqMS,pro_inten,bpca,No_norm,1.0
DEqMS,pro_LFQ,MinDet,center.mean,1.0
limma,pro_LFQ,MinProb,quantiles,1.0
DEP,pro_inten,MinDet,No_norm,1.0
ProteoMM,pep_LFQ,nbavg,quantiles,1.0
ProteoMM,pep_inten,nbavg,div.median,1.0
msqrob2,pep_inten,MinProb,center.median,1.0
msqrob2,pep_inten,missForest,center.mean,1.0
limma,pro_LFQ,mice,No_norm,1.0
limma,pro_inten,QRILC,No_norm,1.0
proDA,pro_inten,missForest,No_norm,1.0
ROTS,pro_LFQ,QRILC,quantiles,1.0
proDA,pro_LFQ,MinProb,center.median,1.0
DEqMS,pro_LFQ,missForest,center.mean,1.0
proDA,pro_LFQ,bpca,No_norm,1.0
DEP,pro_LFQ,bpca,No_norm,1.0
ProteoMM,pep_inten,nbavg,div.mean,1.0
proDA,pro_LFQ,MinProb,center.mean,1.0
msqrob2,pep_inten,missForest,center.median,1.0
ProteoMM,pep_inten,MinDet,center.mean,1.0
msqrob2,pep_LFQ,MinProb,center.median,1.0
ProteoMM,pep_inten,MinDet,center.median,1.0
ProteoMM,pep_LFQ,MLE,max,1.0
ProteoMM,pep_inten,nbavg,quantiles,1.0
ROTS,pro_inten,bpca,No_norm,1.0
proDA,pro_LFQ,MLE,No_norm,1.0
msqrob2,pep_inten,MinProb,quantiles,1.0
msqrob2,pep_LFQ,MinProb,quantiles,1.0
limma,pro_LFQ,QRILC,center.median,1.0
limma,pro_LFQ,missForest,quantiles,1.0
limma,pro_LFQ,nbavg,No_norm,1.0
msqrob2,pep_inten,MinProb,No_norm,1.0
proDA,pro_LFQ,MinDet,center.median,1.0
ProteoMM,pep_inten,MLE,max,1.0
ProteoMM,pep_inten,nbavg,center.median,1.0
DEP,pro_LFQ,mice,No_norm,1.0
limma,pro_LFQ,QRILC,center.mean,1.0
ProteoMM,pep_inten,min,max,1.0
ProteoMM,pep_inten,nbavg,center.mean,1.0
ROTS,pro_inten,MLE,No_norm,1.0
msqrob2,pep_inten,missForest,quantiles,1.0
ROTS,pro_inten,missForest,center.median,1.0
ProteoMM,pep_inten,QRILC,vsn,1.0
ProteoMM,pep_LFQ,MinDet,center.median,1.0
ProteoMM,pep_LFQ,MinDet,center.mean,1.0
DEqMS,pro_inten,MinProb,center.median,1.0
DEP,pro_LFQ,MinProb,quantiles,1.0
proDA,pro_LFQ,MinDet,center.mean,1.0
ROTS,pro_inten,QRILC,center.median,1.0
ProteoMM,pep_inten,bpca,vsn,1.0
ProteoMM,pep_LFQ,min,max,1.0
msqrob2,pep_LFQ,MinProb,No_norm,1.0
proDA,pro_inten,MinProb,No_norm,1.0
ProteoMM,pep_LFQ,nbavg,No_norm,1.0
proDA,pro_LFQ,missForest,center.median,2.0
proDA,pro_inten,MinDet,No_norm,2.0
msqrob2,pep_LFQ,missForest,quantiles,2.0
ROTS,pro_inten,nbavg,No_norm,2.0
limma,pro_inten,missForest,center.median,2.0
ProteoMM,pep_LFQ,QRILC,vsn,2.0
ProteoMM,pep_inten,MLE,vsn,2.0
ProteoMM,pep_LFQ,MLE,vsn,2.0
DEqMS,pro_inten,missForest,center.median,2.0
msqrob2,pep_inten,MinProb,center.mean,2.0
ROTS,pro_LFQ,nbavg,No_norm,2.0
ProteoMM,pep_LFQ,MLE,sum,2.0
ProteoMM,pep_LFQ,MinProb,center.median,2.0
msqrob2,pep_LFQ,MinProb,center.mean,2.0
ProteoMM,pep_inten,min,vsn,2.0
DEqMS,pro_inten,MLE,center.median,2.0
DEqMS,pro_inten,mice,No_norm,2.0
ProteoMM,pep_LFQ,MinProb,center.mean,2.0
DEP,pro_LFQ,nbavg,No_norm,2.0
ProteoMM,pep_LFQ,MinDet,quantiles,2.0
limma,pro_inten,MinProb,center.median,2.0
ProteoMM,pep_LFQ,missForest,div.median,2.0
ProteoMM,pep_LFQ,min,vsn,2.0
ProteoMM,pep_inten,MinDet,quantiles,2.0
ProteoMM,pep_inten,nbavg,No_norm,2.0
ROTS,pro_inten,MinProb,center.median,2.0
DEP,pro_inten,bpca,No_norm,2.0
ROTS,pro_LFQ,missForest,center.median,2.0
ROTS,pro_inten,missForest,center.mean,2.0
ProteoMM,pep_inten,MinProb,center.median,2.0
ProteoMM,pep_inten,MinProb,center.mean,2.0
proDA,pro_LFQ,missForest,center.mean,2.0
msqrob2,pep_inten,MinDet,No_norm,2.0
DEqMS,pro_inten,MinProb,center.mean,2.0
ROTS,pro_inten,MinDet,center.median,2.0
limma,pro_inten,MinDet,center.median,2.0
ROTS,pro_inten,MinProb,quantiles,2.0
DEqMS,pro_inten,MinDet,center.median,2.0
limma,pro_LFQ,QRILC,quantiles,2.0
ProteoMM,pep_inten,min,div.median,2.0
ProteoMM,pep_inten,min,quantiles,2.0
ROTS,pro_inten,missForest,quantiles,2.0
limma,pro_inten,missForest,center.mean,2.0
ROTS,pro_LFQ,missForest,center.mean,2.0
DEqMS,pro_LFQ,QRILC,center.median,2.0
proDA,pro_LFQ,zero,No_norm,2.0
ProteoMM,pep_inten,MLE,sum,2.0
proDA,pro_LFQ,mice,No_norm,2.0
DEqMS,pro_LFQ,MLE,center.median,2.0
ProteoMM,pep_LFQ,MinProb,quantiles,2.0
proDA,pro_inten,MLE,No_norm,2.0
DEqMS,pro_LFQ,nbavg,No_norm,2.0
limma,pro_inten,missForest,quantiles,2.0
ROTS,pro_inten,QRILC,center.mean,2.0
ProteoMM,pep_inten,MinProb,quantiles,2.0
DEqMS,pro_LFQ,QRILC,center.mean,2.0
DEqMS,pro_inten,missForest,center.mean,2.0
ProteoMM,pep_LFQ,min,div.median,2.0
DEqMS,pro_LFQ,MLE,center.mean,2.0
ROTS,pro_inten,MinProb,center.mean,2.0
limma,pro_inten,MinProb,center.mean,2.0
ProteoMM,pep_inten,min,div.mean,2.0
ROTS,pro_inten,QRILC,quantiles,2.0
limma,pro_inten,MinProb,quantiles,2.0
proDA,pro_inten,bpca,No_norm,2.0
msqrob2,pep_LFQ,MinDet,No_norm,2.0
ProteoMM,pep_LFQ,min,quantiles,2.0
limma,pro_LFQ,bpca,center.median,2.0
limma,pro_inten,MLE,center.median,2.0
limma,pro_LFQ,min,No_norm,2.0
msqrob2,pep_inten,QRILC,center.median,2.0
DEqMS,pro_inten,MLE,center.mean,2.0
ProteoMM,pep_LFQ,min,div.mean,2.0
DEqMS,pro_LFQ,MinProb,quantiles,2.0
limma,pro_LFQ,MLE,center.median,2.0
ProteoMM,pep_inten,min,center.median,2.0
ROTS,pro_LFQ,min,No_norm,2.0
limma,pro_inten,mice,No_norm,2.0
limma,pro_inten,bpca,center.median,2.0
ROTS,pro_inten,MinDet,center.mean,2.0
ProteoMM,pep_inten,min,center.mean,2.0
DEP,pro_inten,mice,No_norm,2.0
ROTS,pro_inten,MinDet,quantiles,2.0
limma,pro_LFQ,MLE,center.mean,2.0
msqrob2,pep_inten,MinDet,center.mean,2.0
msqrob2,pep_inten,QRILC,No_norm,2.0
ProteoMM,pep_LFQ,bpca,div.median,2.0
ProteoMM,pep_LFQ,QRILC,max,2.0
DEqMS,pro_inten,bpca,center.median,2.0
DEP,pro_inten,MinProb,quantiles,2.0
DEP,pro_LFQ,QRILC,quantiles,2.0
ProteoMM,pep_LFQ,missForest,div.mean,2.0
msqrob2,pep_LFQ,MinDet,center.mean,2.0
DEqMS,pro_LFQ,bpca,center.median,2.0
ProteoMM,pep_LFQ,min,center.median,2.0
DEqMS,pro_inten,MinDet,center.mean,2.0
limma,pro_inten,nbavg,No_norm,2.0
msqrob2,pep_LFQ,bpca,No_norm,2.0
ProteoMM,pep_LFQ,min,center.mean,2.0
limma,pro_inten,MinDet,center.mean,2.0
proDA,pro_LFQ,QRILC,center.median,2.0
ProteoMM,pep_inten,missForest,div.median,2.0
msqrob2,pep_inten,bpca,No_norm,2.0
limma,pro_LFQ,bpca,center.mean,2.0
msqrob2,pep_LFQ,QRILC,center.median,2.0
msqrob2,pep_LFQ,QRILC,No_norm,2.0
ProteoMM,pep_inten,QRILC,div.median,2.0
DEqMS,pro_LFQ,bpca,center.mean,2.0
ProteoMM,pep_LFQ,QRILC,div.median,2.0
DEqMS,pro_inten,QRILC,center.median,2.0
ROTS,pro_LFQ,missForest,quantiles,2.0
limma,pro_inten,QRILC,center.median,2.0
ROTS,pro_LFQ,MLE,No_norm,2.0
ProteoMM,pep_inten,QRILC,max,2.0
proDA,pro_LFQ,QRILC,center.mean,2.0
proDA,pro_inten,QRILC,No_norm,2.0
plgem,sc,QRILC,div.mean,2.0
ProteoMM,pep_inten,missForest,div.mean,2.0
ROTS,pro_LFQ,knn,No_norm,2.0
ROTS,pro_inten,bpca,center.median,2.0
msqrob2,pep_inten,QRILC,center.mean,2.0
ProteoMM,pep_inten,QRILC,div.mean,2.0
plgem,sc,QRILC,center.median,2.0
ProteoMM,pep_LFQ,QRILC,div.mean,2.0
limma,pro_inten,MLE,center.mean,2.0
limma,pro_LFQ,knn,No_norm,2.0
DEqMS,pro_LFQ,min,No_norm,2.0
ProteoMM,pep_LFQ,bpca,div.mean,2.0
plgem,sc,QRILC,quantiles,2.0
msqrob2,pep_LFQ,QRILC,center.mean,2.0
DEP,pro_inten,nbavg,No_norm,2.0
ProteoMM,pep_LFQ,bpca,sum,2.0
DEqMS,pro_inten,MinProb,quantiles,2.0
msqrob2,pep_inten,QRILC,quantiles,2.0
ROTS,pro_LFQ,bpca,No_norm,2.0
plgem,sc,QRILC,No_norm,2.0
proDA,pro_inten,missForest,center.median,2.0
ROTS,pro_inten,nbavg,center.median,2.0
limma,pro_LFQ,MinDet,quantiles,2.0
limma,pro_inten,MLE,quantiles,2.0
siggenes,pro_LFQ,QRILC,No_norm,2.0
DEqMS,pro_LFQ,knn,No_norm,2.0
siggenes,pro_LFQ,MinProb,No_norm,2.0
proDA,pro_inten,MinProb,center.median,2.0
msqrob2,pep_LFQ,nbavg,No_norm,2.0
plgem,sc,QRILC,center.mean,2.0
DEP,pro_LFQ,min,No_norm,2.0
limma,pro_inten,bpca,center.mean,2.0
limma,pro_LFQ,MLE,quantiles,2.0
msqrob2,pep_LFQ,QRILC,quantiles,2.0
limma,pro_inten,QRILC,center.mean,2.0
proDA,pro_inten,MinDet,center.median,2.0
ROTS,pro_inten,bpca,center.mean,2.0
DEqMS,pro_inten,bpca,center.mean,2.0
ProteoMM,pep_LFQ,nbavg,sum,2.0
plgem,sc,MinDet,center.median,2.0
DEqMS,pro_inten,QRILC,center.mean,2.0
ROTS,pro_inten,bpca,quantiles,2.0
DEP,pro_LFQ,missForest,quantiles,2.0
siggenes,pro_LFQ,MinProb,center.mean,2.0
ROTS,pro_inten,min,No_norm,2.0
ROTS,pro_inten,nbavg,center.mean,2.0
msqrob2,pep_inten,nbavg,No_norm,2.0
ProteoMM,pep_inten,bpca,div.median,2.0
ROTS,pro_inten,MLE,center.median,2.0
DEP,pro_LFQ,MinDet,quantiles,2.0
limma,pro_inten,QRILC,quantiles,2.0
ttest,pro_LFQ,MinDet,No_norm,2.0
DEP,pro_LFQ,knn,No_norm,2.0
limma,pro_LFQ,nbavg,center.median,2.0
ttest,pro_LFQ,MinProb,No_norm,2.0
siggenes,pro_LFQ,MinProb,quantiles,2.0
ROTS,pro_inten,nbavg,quantiles,2.0
proDA,pro_LFQ,bpca,center.median,2.0
DEqMS,pro_LFQ,missForest,quantiles,2.0
proDA,pro_inten,MinProb,center.mean,2.0
siggenes,pro_LFQ,MinProb,center.median,2.0
msqrob2,pep_LFQ,bpca,center.mean,2.0
proDA,pro_LFQ,MLE,center.median,2.0
proDA,pro_LFQ,bpca,center.mean,2.0
limma,pro_inten,bpca,quantiles,2.0
limma,pro_LFQ,nbavg,center.mean,2.0
limma,pro_LFQ,bpca,quantiles,2.0
proDA,pro_inten,missForest,center.mean,2.0
proDA,pro_inten,bpca,center.median,2.0
proDA,pro_LFQ,knn,No_norm,2.0
plgem,sc,min,center.median,2.0
proDA,pro_LFQ,MLE,center.mean,2.0
siggenes,pro_inten,bpca,No_norm,2.0
siggenes,pro_LFQ,QRILC,quantiles,2.0
DEqMS,pro_inten,missForest,quantiles,2.0
ProteoMM,pep_LFQ,missForest,center.median,2.0
ROTS,pro_LFQ,nbavg,center.median,2.0
proDA,pro_inten,MinDet,center.mean,2.0
DEqMS,pro_LFQ,mice,center.mean,2.0
proDA,pro_inten,MLE,center.median,2.0
ttest,pro_LFQ,min,No_norm,2.0
ROTS,pro_LFQ,nbavg,center.mean,2.0
ProteoMM,pep_inten,bpca,div.mean,2.0
limma,pro_LFQ,mice,center.mean,2.0
DEqMS,pro_LFQ,MinDet,quantiles,2.0
ProteoMM,pep_inten,QRILC,center.median,2.0
msqrob2,pep_LFQ,bpca,center.median,2.0
ROTS,pro_inten,MLE,quantiles,2.0
DEqMS,pro_LFQ,mice,center.median,2.0
ProteoMM,pep_LFQ,QRILC,center.median,2.0
ProteoMM,pep_LFQ,missForest,center.mean,2.0
ProteoMM,pep_inten,missForest,center.median,2.0
SAM,pro_LFQ,QRILC,No_norm,2.0
limma,pro_LFQ,mice,center.median,2.0
DEP,pro_inten,QRILC,quantiles,2.0
ROTS,pro_inten,MLE,center.mean,2.0
proDA,pro_inten,zero,No_norm,2.0
siggenes,pro_LFQ,QRILC,center.mean,2.0
msqrob2,pep_inten,bpca,center.mean,2.0
siggenes,pro_LFQ,QRILC,center.median,2.0
limma,pro_inten,nbavg,center.median,2.0
ProteoMM,pep_LFQ,knn,max,2.0
ProteoMM,pep_inten,QRILC,center.mean,2.0
msqrob2,pep_LFQ,bpca,quantiles,2.0
ProteoMM,pep_LFQ,missForest,quantiles,2.0
ProteoMM,pep_inten,QRILC,quantiles,2.0
proDA,pro_inten,mice,No_norm,2.0
msqrob2,pep_LFQ,MinDet,quantiles,2.0
limma,pro_inten,min,No_norm,2.0
msqrob2,pep_LFQ,nbavg,center.median,2.0
DEqMS,pro_inten,MLE,quantiles,2.0
msqrob2,pep_LFQ,MLE,No_norm,2.0
ProteoMM,pep_LFQ,QRILC,center.mean,2.0
ProteoMM,pep_LFQ,QRILC,sum,2.0
siggenes,pro_inten,MinProb,No_norm,2.0
ProteoMM,pep_LFQ,QRILC,quantiles,2.0
siggenes,pro_LFQ,MinDet,quantiles,2.0
ROTS,pro_inten,mice,No_norm,2.0
msqrob2,pep_inten,bpca,center.median,2.0
ProteoMM,pep_LFQ,bpca,center.median,2.0
msqrob2,pep_inten,MinDet,quantiles,2.0
ProteoMM,pep_inten,missForest,center.mean,2.0
limma,pro_LFQ,nbavg,quantiles,2.0
SAM,pro_LFQ,MinProb,No_norm,2.0
ROTS,pro_LFQ,mice,No_norm,2.0
SAM,pro_LFQ,missForest,No_norm,2.0
proDA,pro_inten,bpca,center.mean,2.0
DEqMS,pro_inten,nbavg,No_norm,2.0
msqrob2,pep_inten,nbavg,center.median,2.0
proDA,pro_inten,MLE,center.mean,2.0
DEqMS,pro_inten,mice,center.median,2.0
limma,pro_inten,MinDet,quantiles,2.0
ROTS,pro_LFQ,min,quantiles,2.0
DEP,pro_LFQ,QRILC,center.median,2.0
ProteoMM,pep_inten,QRILC,sum,2.0
DEP,pro_LFQ,zero,No_norm,2.0
msqrob2,pep_inten,MLE,No_norm,2.0
ProteoMM,pep_inten,knn,max,2.0
DEP,pro_inten,MLE,quantiles,2.0
siggenes,pro_inten,QRILC,No_norm,2.0
limma,pro_LFQ,mice,quantiles,2.0
siggenes,pro_inten,MLE,No_norm,2.0
limma,pro_LFQ,min,quantiles,2.0
limma,pro_LFQ,zero,No_norm,2.0
limma,pro_inten,nbavg,center.mean,2.0
siggenes,pro_LFQ,MLE,No_norm,2.0
ROTS,pro_LFQ,nbavg,quantiles,2.0
limma,pro_inten,nbavg,quantiles,2.0
SAM,pro_inten,missForest,No_norm,2.0
MSstats,pro_inten,No_MVI,FALSE,2.0
ROTS,pro_inten,min,quantiles,2.0
limma,pro_LFQ,min,center.median,2.0
DEqMS,pro_LFQ,QRILC,quantiles,2.0
msqrob2,pep_LFQ,No_MVI,No_norm,2.0
msqrob2,pep_inten,bpca,quantiles,2.0
DEP,pro_LFQ,MLE,quantiles,2.0
siggenes,pro_inten,bpca,center.median,2.0
proDA,pro_inten,QRILC,center.median,2.0
proDA,pro_LFQ,nbavg,center.median,2.0
ROTS,pro_inten,knn,No_norm,2.0
ProteoMM,pep_inten,missForest,quantiles,2.0
DEP,pro_inten,min,No_norm,2.0
DEP,pro_inten,bpca,quantiles,2.0
ProteoMM,pep_LFQ,bpca,center.mean,2.0
DEP,pro_LFQ,MinProb,center.median,2.0
ProteoMM,pep_inten,mice,max,2.0
plgem,sc,MinDet,No_norm,2.0
plgem,sc,min,No_norm,2.0
plgem,sc,zero,No_norm,2.0
siggenes,pro_inten,bpca,quantiles,2.0
limma,pro_LFQ,knn,center.median,2.0
ProteoMM,pep_LFQ,bpca,quantiles,2.0
DEP,pro_inten,MinProb,center.mean,2.0
limma,pro_LFQ,min,center.mean,2.0
msqrob2,pep_inten,No_MVI,No_norm,2.0
DEqMS,pro_LFQ,nbavg,center.median,2.0
limma,pro_inten,mice,center.median,2.0
plgem,sc,nbavg,No_norm,2.0
ROTS,pro_LFQ,bpca,center.median,2.0
DEP,pro_inten,knn,No_norm,2.0
siggenes,pro_LFQ,nbavg,No_norm,2.0
DEP,pro_inten,MinProb,center.median,2.0
msqrob2,pep_inten,MinProb,vsn,2.0
siggenes,pro_inten,MinProb,quantiles,2.0
plgem,sc,MinProb,center.median,2.0
DEqMS,pro_LFQ,zero,No_norm,2.0
limma,pro_inten,knn,No_norm,2.0
ROTS,pro_LFQ,knn,center.mean,2.0
DEqMS,pro_inten,QRILC,quantiles,2.0
ProteoMM,pep_inten,zero,quantiles,2.0
DEP,pro_LFQ,QRILC,vsn,2.0
msqrob2,pep_LFQ,MinProb,vsn,2.0
siggenes,pro_inten,bpca,center.mean,2.0
proDA,pro_LFQ,zero,center.mean,2.0
limma,pro_LFQ,knn,center.mean,2.0
ProteoMM,pep_LFQ,mice,max,2.0
DEqMS,pro_LFQ,nbavg,center.mean,2.0
ProteoMM,pep_inten,nbavg,sum,2.0
DEP,pro_LFQ,missForest,vsn,2.0
DEP,pro_LFQ,bpca,quantiles,2.0
DEP,pro_inten,missForest,quantiles,2.0
proDA,pro_LFQ,mice,center.mean,2.0
ProteoMM,pep_LFQ,MLE,div.median,2.0
SAM,pro_inten,MinProb,No_norm,2.0
ROTS,pro_LFQ,bpca,center.mean,2.0
ROTS,pro_LFQ,knn,center.median,2.0
plgem,sc,MinProb,center.mean,2.0
ROTS,pro_inten,min,center.median,2.0
ROTS,pro_LFQ,min,center.median,2.0
DEP,pro_LFQ,MinProb,vsn,2.0
ProteoMM,pep_inten,bpca,center.median,2.0
DEqMS,pro_inten,mice,center.mean,2.0
DEqMS,pro_inten,knn,No_norm,2.0
DEP,pro_inten,MLE,center.mean,2.0
DEqMS,pro_LFQ,MLE,quantiles,2.0
DEP,pro_inten,MLE,center.median,2.0
siggenes,pro_inten,MinProb,center.median,2.0
ttest,pro_LFQ,missForest,No_norm,2.0
proDA,pro_inten,QRILC,center.mean,2.0
DEP,pro_inten,MinDet,quantiles,2.0
siggenes,pro_LFQ,bpca,No_norm,2.0
DEqMS,pro_inten,MinDet,quantiles,2.0
plgem,sc,QRILC,div.median,2.0
DEqMS,pro_inten,bpca,quantiles,2.0
DEqMS,pro_inten,min,No_norm,2.0
limma,pro_LFQ,No_MVI,No_norm,2.0
DEP,pro_LFQ,nbavg,quantiles,2.0
ProteoMM,pep_inten,MLE,div.median,2.0
DEqMS,pro_LFQ,missForest,vsn,2.0
ROTS,pro_LFQ,MLE,center.median,2.0
DEqMS,pro_LFQ,MinProb,vsn,2.0
proDA,pro_LFQ,mice,center.median,2.0
